half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,238,238,
1,19,45,Tyler Haws makes a jump shot from 14 feet out. Matt Carlino with the assist.,88516,97371,true,true,false,Tyler,Matt,Haws,Carlino,BYU,BYU,0,2,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,14,9.8,9.6,207,207,
1,19,28,Damyean Dotson makes a jump shot from 15 feet out.,116609,,true,false,false,Damyean,,Dotson,,Oregon,,2,2,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,15,14.5,4.5,238,238,
1,19,02,Eric Mika with a lost ball turnover: Lost Ball,121157,,true,false,false,Eric,,Mika,,BYU,,2,2,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,207,207,
1,18,57,Joseph Young makes a jump shot from 7 feet out. Mike Moser with the assist.,97687,88881,true,true,false,Joseph,Mike,Young,Moser,Oregon,Oregon,4,2,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,7,-1.4,6.9,238,238,
1,18,43,Anson Winder misses a 3-point jump shot from 28 feet out.,97803,,true,false,false,Anson,,Winder,,BYU,,4,2,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,28,18.5,21.3,207,207,
1,18,43,Nate Austin with an offensive rebound.,110532,,true,false,false,Nate,,Austin,,BYU,,4,2,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,207,207,
1,18,35,Matt Carlino misses a 3-point jump shot from 27 feet out.,97371,,true,false,false,Matt,,Carlino,,BYU,,4,2,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,27,-18.6,19.1,207,207,
1,18,35,Oregon with a defensive rebound.,,,false,false,false,,,,,,,4,2,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,238,238,
1,18,16,Damyean Dotson makes a jump shot from 6 feet out.,116609,,true,false,false,Damyean,,Dotson,,Oregon,,6,2,0,0,0,,,,,4,2,45,Jump Shot,3,Field Goal Made,6,-4.2,4.3,238,238,
1,17,53,Shooting foul committed by Waverly Austin.,116631,,true,false,false,Waverly,,Austin,,Oregon,,6,2,0,1,1,,,,,0,,2,Shooting,8,Foul,,,,238,238,
1,17,53,Eric Mika makes free throw 1 of 2.,121157,,true,false,false,Eric,,Mika,,BYU,,6,3,0,1,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,207,207,
1,17,53,Eric Mika makes free throw 2 of 2.,121157,,true,false,false,Eric,,Mika,,BYU,,6,4,0,1,0,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,207,207,
1,17,28,Mike Moser makes a jump shot from 9 feet out. Johnathan Loyd with the assist.,88881,97344,true,true,false,Mike,Johnathan,Moser,Loyd,Oregon,Oregon,8,4,0,1,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,9,-.8,9.3,238,238,
1,17,09,Personal foul committed by Waverly Austin.,116631,,true,false,false,Waverly,,Austin,,Oregon,,8,4,0,2,2,,,,,0,,1,Personal,8,Foul,,,,238,238,
1,17,07,Tyler Haws misses a jump shot from 15 feet out.,88516,,true,false,false,Tyler,,Haws,,BYU,,8,4,0,2,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,15,-11.8,8.6,207,207,
1,17,07,Richard Amardi with a defensive rebound.,120681,,true,false,false,Richard,,Amardi,,Oregon,,8,4,0,2,0,,,,,0,,,,6,Defensive Rebound,,,,238,238,
1,16,57,Joseph Young misses a 3-point jump shot from 24 feet out.,97687,,true,false,false,Joseph,,Young,,Oregon,,8,4,0,2,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,24,16.4,17.9,238,238,
1,16,57,Matt Carlino with a defensive rebound.,97371,,true,false,false,Matt,,Carlino,,BYU,,8,4,0,2,0,,,,,0,,,,6,Defensive Rebound,,,,207,207,
1,16,51,Shooting foul committed by Richard Amardi.,120681,,true,false,false,Richard,,Amardi,,Oregon,,8,4,0,3,1,,,,,0,,2,Shooting,8,Foul,,,,238,238,
1,16,51,Matt Carlino makes free throw 1 of 2.,97371,,true,false,false,Matt,,Carlino,,BYU,,8,5,0,3,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,207,207,
1,16,51,Matt Carlino misses free throw 2 of 2.,97371,,true,false,false,Matt,,Carlino,,BYU,,8,5,0,3,0,,,,,1,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,207,207,
1,16,51,Mike Moser with a defensive rebound.,88881,,true,false,false,Mike,,Moser,,Oregon,,8,5,0,3,0,,,,,2,,,,6,Defensive Rebound,,,,238,238,
1,16,25,Mike Moser misses a 3-point jump shot from 27 feet out.,88881,,true,false,false,Mike,,Moser,,Oregon,,8,5,0,3,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,27,-20.5,17.6,238,238,
1,16,25,Eric Mika with a defensive rebound.,121157,,true,false,false,Eric,,Mika,,BYU,,8,5,0,3,0,,,,,2,,,,6,Defensive Rebound,,,,207,207,
1,16,14,Matt Carlino misses a jump shot from 11 feet out.,97371,,true,false,false,Matt,,Carlino,,BYU,,8,5,0,3,0,,,,,1,2,45,Jump Shot,4,Field Goal Missed,11,-1.1,11.3,207,207,
1,16,14,Richard Amardi with a defensive rebound.,120681,,true,false,false,Richard,,Amardi,,Oregon,,8,5,0,3,1,,,,,0,,,,6,Defensive Rebound,,,,238,238,
1,16,04,Shooting foul committed by Eric Mika.,121157,,true,false,false,Eric,,Mika,,BYU,,8,5,1,3,1,,,,,2,,2,Shooting,8,Foul,,,,207,207,
1,16,04,Joseph Young misses free throw 1 of 2.,97687,,true,false,false,Joseph,,Young,,Oregon,,8,5,1,3,0,,,,,2,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,238,238,
1,16,04,Oregon with an offensive rebound.,,,false,false,false,,,,,,,8,5,1,3,0,,,,,0,,,,5,Offensive Rebound,,,,238,238,
1,16,04,Joseph Young makes free throw 2 of 2.,97687,,true,false,false,Joseph,,Young,,Oregon,,9,5,1,3,0,,,,,3,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,238,238,
1,15,50,Nate Austin makes a jump shot from 6 feet out. Anson Winder with the assist.,110532,97803,true,true,false,Nate,Anson,Austin,Winder,BYU,BYU,9,7,1,3,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,6,-2.5,5,207,207,
1,15,30,Jason Calliste with a lost ball turnover: Lost Ball,89763,,true,false,false,Jason,,Calliste,,Oregon,,9,7,1,3,0,,,,,0,,2,Lost Ball,7,Turnover,,,,238,238,
1,15,28,Official TV timeout.,,,false,false,false,,,,,,,9,7,1,3,0,,,,,0,,3,Official TV,11,Timeout,,,,238,238,
1,15,14,Tyler Haws misses a jump shot from 11 feet out.,88516,,true,false,false,Tyler,,Haws,,BYU,,9,7,1,3,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,11,.8,11.3,207,207,
1,15,14,Mike Moser with a defensive rebound.,88881,,true,false,false,Mike,,Moser,,Oregon,,9,7,1,3,0,,,,,2,,,,6,Defensive Rebound,,,,238,238,
1,14,54,Joseph Young misses a jump shot from 8 feet out.,97687,,true,false,false,Joseph,,Young,,Oregon,,9,7,1,3,0,,,,,3,2,45,Jump Shot,4,Field Goal Missed,8,6.7,4,238,238,
1,14,54,Mike Moser with an offensive rebound.,88881,,true,false,false,Mike,,Moser,,Oregon,,9,7,1,3,0,,,,,2,,,,5,Offensive Rebound,,,,238,238,
1,14,51,Shooting foul committed by Tyler Haws.,88516,,true,false,false,Tyler,,Haws,,BYU,,9,7,2,3,1,,,,,2,,2,Shooting,8,Foul,,,,207,207,
