half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,53,53,
1,19,30,Austin Arians misses a 3-point jump shot from 23 feet out.,116312,,true,false,false,Austin,,Arians,,UW-Mil,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-13,19.5,135,135,
1,19,30,Vill with a defensive rebound.,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,53,53,
1,19,29,Ryan Arcidiacono misses a jump shot from 14 feet out.,116692,,true,false,false,Ryan,,Arcidiacono,,Vill,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,14,11,8.2,53,53,
1,19,29,Matt Tiby with a defensive rebound.,121276,,true,false,false,Matt,,Tiby,,UW-Mil,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,135,135,
1,19,02,Jordan Aaron misses a jump shot from 14 feet out.,116308,,true,false,false,Jordan,,Aaron,,UW-Mil,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,14,-10.1,9.6,135,135,
1,19,02,JayVaughn Pinkston with a defensive rebound.,97368,,true,false,false,JayVaughn,,Pinkston,,Vill,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,53,53,
1,18,54,James Bell misses a 3-point jump shot from 25 feet out.,97366,,true,false,false,James,,Bell,,Vill,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,25,19.3,15.7,53,53,
1,18,54,James Bell with an offensive rebound.,97366,,true,false,false,James,,Bell,,Vill,,0,0,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,53,53,
1,18,45,James Bell with a lost ball turnover: Lost Ball,97366,,true,false,false,James,,Bell,,Vill,,0,0,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,53,53,
1,18,31,Austin Arians with a out of bounds turnover: Out of Bounds,116312,,true,false,false,Austin,,Arians,,UW-Mil,,0,0,0,0,0,,,,,0,,3,Out of Bounds,7,Turnover,,,,135,135,
1,18,15,JayVaughn Pinkston misses a jump shot from 15 feet out.,97368,,true,false,false,JayVaughn,,Pinkston,,Vill,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,15,11.5,8.9,53,53,
1,18,15,Steve McWhorter with a defensive rebound.,97881,,true,false,false,Steve,,McWhorter,,UW-Mil,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,135,135,
1,18,07,Steve McWhorter misses a jump shot from 12 feet out.,97881,,true,false,false,Steve,,McWhorter,,UW-Mil,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,12,-10.3,6.2,135,135,
1,18,07,Daniel Ochefu with a defensive rebound.,116695,,true,false,false,Daniel,,Ochefu,,Vill,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,53,53,
1,17,59,Darrun Hilliard II makes a jump shot from 9 feet out.,109502,,true,false,false,Darrun,,Hilliard II,,Vill,,2,0,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,9,3.1,8.9,53,53,
1,17,27,Jordan Aaron misses a jump shot from 8 feet out.,116308,,true,false,false,Jordan,,Aaron,,UW-Mil,,2,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,8,-4.2,6.9,135,135,
1,17,27,JayVaughn Pinkston with a defensive rebound.,97368,,true,false,false,JayVaughn,,Pinkston,,Vill,,2,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,53,53,
1,17,25,Personal foul committed by Matt Tiby.,121276,,true,false,false,Matt,,Tiby,,UW-Mil,,2,0,1,0,1,,,,,0,,1,Personal,8,Foul,,,,135,135,
1,17,25,JayVaughn Pinkston makes free throw 1 of 2.,97368,,true,false,false,JayVaughn,,Pinkston,,Vill,,3,0,1,0,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,53,53,
1,17,25,JayVaughn Pinkston makes free throw 2 of 2.,97368,,true,false,false,JayVaughn,,Pinkston,,Vill,,4,0,1,0,0,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,53,53,
1,17,08,Matt Tiby with a lost ball turnover: Lost Ball,121276,,true,false,false,Matt,,Tiby,,UW-Mil,,4,0,1,0,1,,,,,0,,2,Lost Ball,7,Turnover,,,,135,135,
1,16,59,James Bell misses a 3-point jump shot from 23 feet out.,97366,,true,false,false,James,,Bell,,Vill,,4,0,1,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,20.7,11,53,53,
1,16,59,Austin Arians with a defensive rebound.,116312,,true,false,false,Austin,,Arians,,UW-Mil,,4,0,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,135,135,
1,16,33,Kyle Kelm misses a jump shot from 11 feet out.,97916,,true,false,false,Kyle,,Kelm,,UW-Mil,,4,0,1,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,11,-5.5,9.9,135,135,
1,16,33,James Bell with a defensive rebound.,97366,,true,false,false,James,,Bell,,Vill,,4,0,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,53,53,
1,16,26,James Bell with a bad pass turnover: Bad Pass,97366,,true,false,false,James,,Bell,,Vill,,4,0,1,0,0,,,,,0,,1,Bad Pass,7,Turnover,,,,53,53,
1,16,06,Jordan Aaron misses a 3-point jump shot from 26 feet out.,116308,,true,false,false,Jordan,,Aaron,,UW-Mil,,4,0,1,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,26,-13.9,22,135,135,
1,16,06,JayVaughn Pinkston with a defensive rebound.,97368,,true,false,false,JayVaughn,,Pinkston,,Vill,,4,0,1,0,0,,,,,2,,,,6,Defensive Rebound,,,,53,53,
1,16,00,Shooting foul committed by Jordan Aaron.,116308,,true,false,false,Jordan,,Aaron,,UW-Mil,,4,0,2,0,1,,,,,0,,2,Shooting,8,Foul,,,,135,135,
