half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,92,92,
1,19,45,Cameron Ridley makes a jump shot from 3 feet out. Isaiah Taylor with the assist.,116649,122133,true,true,false,Cameron,Isaiah,Ridley,Taylor,Tex,Tex,2,0,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,3,1,3,92,92,
1,19,21,Jordan Bachynski with a lost ball turnover: Lost Ball,97125,,true,false,false,Jordan,,Bachynski,,AriSt,,2,0,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,236,236,
1,19,17,Demarcus Holland makes a layup shot.,116644,,true,false,false,Demarcus,,Holland,,Tex,,4,0,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,92,92,
1,18,57,Jermaine Marshall makes a 3-point jump shot from 23 feet out. Eric Jacobsen with the assist.,88907,116488,true,true,false,Jermaine,Eric,Marshall,Jacobsen,AriSt,AriSt,4,3,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,6.7,22,236,236,
1,18,31,Javan Felix makes a jump shot from 16 feet out. Isaiah Taylor with the assist.,116643,122133,true,true,false,Javan,Isaiah,Felix,Taylor,Tex,Tex,6,3,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,16,7,14,92,92,
1,18,12,Jahii Carson makes a jump shot from 19 feet out.,109674,,true,false,false,Jahii,,Carson,,AriSt,,6,5,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,19,2.5,19.1,236,236,
1,18,03,Cameron Ridley makes a layup shot. Jonathan Holmes with the assist.,116649,110935,true,true,false,Cameron,Jonathan,Ridley,Holmes,Tex,Tex,8,5,0,0,0,,,,,4,2,40,Layup Shot,3,Field Goal Made,0,0,0,92,92,
1,18,03,Shooting foul committed by Jordan Bachynski.,97125,,true,false,false,Jordan,,Bachynski,,AriSt,,8,5,1,0,1,,,,,0,,2,Shooting,8,Foul,,,,236,236,
1,18,03,Cameron Ridley misses free throw 1 of 1.,116649,,true,false,false,Cameron,,Ridley,,Tex,,8,5,1,0,0,,,,,4,1,10,Free Throw 1 of 1,2,Free Throw Missed,,,,92,92,
1,18,03,Jordan Bachynski with a defensive rebound.,97125,,true,false,false,Jordan,,Bachynski,,AriSt,,8,5,1,0,1,,,,,0,,,,6,Defensive Rebound,,,,236,236,
1,17,55,Jahii Carson misses a jump shot from 7 feet out.,109674,,true,false,false,Jahii,,Carson,,AriSt,,8,5,1,0,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,7,5.9,4.3,236,236,
