half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,83,83,
1,19,45,Shavon Shields makes a layup shot.,117684,,true,false,false,Shavon,,Shields,,Neb,,0,2,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,89,89,
1,19,28,Cory Jefferson makes a layup shot. Royce O'Neale with the assist.,88704,110021,true,true,false,Cory,Royce,Jefferson,O'Neale,Baylor,Baylor,2,2,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,83,83,
1,19,11,Personal foul committed by Brady Heslip.,95395,,true,false,false,Brady,,Heslip,,Baylor,,2,2,0,1,1,,,,,0,,1,Personal,8,Foul,,,,83,83,
1,18,54,Tai Webster misses a 3-point jump shot from 24 feet out.,122099,,true,false,false,Tai,,Webster,,Neb,,2,2,0,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,14.9,19.5,89,89,
1,18,54,Cory Jefferson with a defensive rebound.,88704,,true,false,false,Cory,,Jefferson,,Baylor,,2,2,0,1,0,,,,,2,,,,6,Defensive Rebound,,,,83,83,
1,18,42,Royce O'Neale misses a layup shot.,110021,,true,false,false,Royce,,O'Neale,,Baylor,,2,2,0,1,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,83,83,
1,18,42,Walter Pitchford with a defensive rebound.,110262,,true,false,false,Walter,,Pitchford,,Neb,,2,2,0,1,0,,,,,0,,,,6,Defensive Rebound,,,,89,89,
1,18,35,Walter Pitchford misses a 3-point jump shot from 25 feet out.,110262,,true,false,false,Walter,,Pitchford,,Neb,,2,2,0,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,25,-10.5,22.5,89,89,
1,18,35,Tai Webster with an offensive rebound.,122099,,true,false,false,Tai,,Webster,,Neb,,2,2,0,1,0,,,,,0,,,,5,Offensive Rebound,,,,89,89,
1,18,16,Terran Petteway misses a jump shot from 18 feet out.,110830,,true,false,false,Terran,,Petteway,,Neb,,2,2,0,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,18,2.8,18.1,89,89,
