half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,241,241,
1,19,50,Rashad Smith misses a layup shot.,110523,,true,false,false,Rashad,,Smith,,Tulsa,,0,0,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,325,325,
1,19,50,Travis Wear with a defensive rebound.,88223,,true,false,false,Travis,,Wear,,UCLA,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,241,241,
1,19,40,Jordan Adams makes a jump shot from 20 feet out. Kyle Anderson with the assist.,116665,116666,true,true,false,Jordan,Kyle,Adams,Anderson,UCLA,UCLA,2,0,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,20,19.5,5.2,241,241,
1,19,00,James Woodard makes a 3-point jump shot from 24 feet out.,116282,,true,false,false,James,,Woodard,,Tulsa,,2,3,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,24,-4.8,23.4,325,325,
1,18,26,Travis Wear makes a jump shot from 8 feet out. David Wear with the assist.,88223,88222,true,true,false,Travis,David,Wear,Wear,UCLA,UCLA,4,3,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,8,8.1,1.1,241,241,
1,18,10,Rashad Smith misses a jump shot from 6 feet out.,110523,,true,false,false,Rashad,,Smith,,Tulsa,,4,3,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,6,-1.6,5.3,325,325,
1,18,10,Norman Powell with a defensive rebound.,110511,,true,false,false,Norman,,Powell,,UCLA,,4,3,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,241,241,
1,18,00,Travis Wear makes a layup shot. Kyle Anderson with the assist.,88223,116666,true,true,false,Travis,Kyle,Wear,Anderson,UCLA,UCLA,6,3,0,0,0,,,,,4,2,40,Layup Shot,3,Field Goal Made,0,0,0,241,241,
1,17,37,Shaquille Harrison with a lost ball turnover: Lost Ball,116284,,true,false,false,Shaquille,,Harrison,,Tulsa,,6,3,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,325,325,
