half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,258,258,
1,20,00,Admin Technical Foul foul committed by Brian Rohleder.,111466,,true,false,false,Brian,,Rohleder,,KanSt,,0,0,0,0,1,,,,,0,,30,Admin Technical Foul,8,Foul,,,,87,87,
1,20,00,Andrew Harrison misses free throw technical.,121086,,true,false,false,Andrew,,Harrison,,Kty,,0,0,0,0,0,,,,,0,1,16,Free Throw Technical,2,Free Throw Missed,,,,258,258,
1,20,00,Kty with an offensive rebound.,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,258,258,
1,20,00,Andrew Harrison makes free throw technical.,121086,,true,false,false,Andrew,,Harrison,,Kty,,1,0,0,0,0,,,,,1,1,16,Free Throw Technical,1,Free Throw Made,,,,258,258,
1,19,31,Dakari Johnson with a traveling turnover: Traveling,121091,,true,false,false,Dakari,,Johnson,,Kty,,1,0,0,0,0,,,,,0,,4,Traveling,7,Turnover,,,,258,258,
1,19,16,Thomas Gipson makes a jump shot from 15 feet out. Marcus Foster with the assist.,109485,121724,true,true,false,Thomas,Marcus,Gipson,Foster,KanSt,KanSt,1,2,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,15,-13.4,5.5,87,87,
1,19,09,Personal foul committed by Will Spradling.,97568,,true,false,false,Will,,Spradling,,KanSt,,1,2,1,0,1,,,,,0,,1,Personal,8,Foul,,,,87,87,
1,18,45,James Young misses a 3-point jump shot from 23 feet out.,121084,,true,false,false,James,,Young,,Kty,,1,2,1,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-12.7,18.8,258,258,
1,18,45,Thomas Gipson with a defensive rebound.,109485,,true,false,false,Thomas,,Gipson,,KanSt,,1,2,1,0,0,,,,,2,,,,6,Defensive Rebound,,,,87,87,
1,18,15,Marcus Foster misses a layup shot.,121724,,true,false,false,Marcus,,Foster,,KanSt,,1,2,1,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,87,87,
1,18,15,Julius Randle with a defensive rebound.,121089,,true,false,false,Julius,,Randle,,Kty,,1,2,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,258,258,
1,18,12,Aaron Harrison makes a layup shot. Andrew Harrison with the assist.,121085,121086,true,true,false,Aaron,Andrew,Harrison,Harrison,Kty,Kty,3,2,1,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,258,258,
1,17,55,Will Spradling misses a 3-point jump shot from 24 feet out.,97568,,true,false,false,Will,,Spradling,,KanSt,,3,2,1,0,1,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,17.9,15.7,87,87,
1,17,55,Julius Randle with a defensive rebound.,121089,,true,false,false,Julius,,Randle,,Kty,,3,2,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,258,258,
1,17,48,Andrew Harrison misses a layup shot.,121086,,true,false,false,Andrew,,Harrison,,Kty,,3,2,1,0,0,,,,,1,2,40,Layup Shot,4,Field Goal Missed,0,0,0,258,258,
1,17,48,Nino Williams with a defensive rebound.,97567,,true,false,false,Nino,,Williams,,KanSt,,3,2,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,87,87,
1,17,35,Thomas Gipson makes a layup shot.,109485,,true,false,false,Thomas,,Gipson,,KanSt,,3,4,1,0,0,,,,,4,2,40,Layup Shot,3,Field Goal Made,0,0,0,87,87,
1,17,24,James Young with a traveling turnover: Traveling,121084,,true,false,false,James,,Young,,Kty,,3,4,1,0,0,,,,,0,,4,Traveling,7,Turnover,,,,258,258,
1,17,07,Will Spradling with a lost ball turnover: Lost Ball,97568,,true,false,false,Will,,Spradling,,KanSt,,3,4,1,0,1,,,,,0,,2,Lost Ball,7,Turnover,,,,87,87,
1,16,50,Andrew Harrison misses a jump shot from 8 feet out.,121086,,true,false,false,Andrew,,Harrison,,Kty,,3,4,1,0,0,,,,,1,2,45,Jump Shot,4,Field Goal Missed,8,-1.2,8.1,258,258,
1,16,50,Thomas Gipson with a defensive rebound.,109485,,true,false,false,Thomas,,Gipson,,KanSt,,3,4,1,0,0,,,,,4,,,,6,Defensive Rebound,,,,87,87,
1,16,37,Nino Williams misses a jump shot from 6 feet out.,97567,,true,false,false,Nino,,Williams,,KanSt,,3,4,1,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,6,-1.2,6.1,87,87,
1,16,37,KanSt with an offensive rebound.,,,false,false,false,,,,,,,3,4,1,0,0,,,,,0,,,,5,Offensive Rebound,,,,87,87,
1,16,33,Will Spradling with a lost ball turnover: Lost Ball,97568,,true,false,false,Will,,Spradling,,KanSt,,3,4,1,0,1,,,,,0,,2,Lost Ball,7,Turnover,,,,87,87,
1,16,25,James Young makes a layup shot.,121084,,true,false,false,James,,Young,,Kty,,5,4,1,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,258,258,
1,16,11,Marcus Foster makes a jump shot from 20 feet out. Wesley Iwundu with the assist.,121724,121725,true,true,false,Marcus,Wesley,Foster,Iwundu,KanSt,KanSt,5,6,1,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,20,-16.8,11.1,87,87,
1,15,45,Julius Randle misses a 3-point jump shot from 23 feet out.,121089,,true,false,false,Julius,,Randle,,Kty,,5,6,1,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,17.3,14.9,258,258,
1,15,45,Willie Cauley-Stein with an offensive rebound.,116777,,true,false,false,Willie,,Cauley-Stein,,Kty,,5,6,1,0,0,,,,,0,,,,5,Offensive Rebound,,,,258,258,
1,15,37,Willie Cauley-Stein misses a jump shot from 6 feet out.,116777,,true,false,false,Willie,,Cauley-Stein,,Kty,,5,6,1,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,6,2.3,5.7,258,258,
1,15,37,Alex Poythress with an offensive rebound.,116778,,true,false,false,Alex,,Poythress,,Kty,,5,6,1,0,0,,,,,0,,,,5,Offensive Rebound,,,,258,258,
1,15,36,Alex Poythress misses a jump shot from 5 feet out.,116778,,true,false,false,Alex,,Poythress,,Kty,,5,6,1,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,5,1.2,4.4,258,258,
1,15,36,Willie Cauley-Stein with an offensive rebound.,116777,,true,false,false,Willie,,Cauley-Stein,,Kty,,5,6,1,0,0,,,,,0,,,,5,Offensive Rebound,,,,258,258,
1,15,36,Willie Cauley-Stein misses a jump shot from 6 feet out.,116777,,true,false,false,Willie,,Cauley-Stein,,Kty,,5,6,1,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,6,1.2,5.5,258,258,
1,15,36,James Young with an offensive rebound.,121084,,true,false,false,James,,Young,,Kty,,5,6,1,0,0,,,,,2,,,,5,Offensive Rebound,,,,258,258,
1,15,36,James Young misses a jump shot from 5 feet out.,121084,,true,false,false,James,,Young,,Kty,,5,6,1,0,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,5,-1.4,4.8,258,258,
1,15,36,Julius Randle with an offensive rebound.,121089,,true,false,false,Julius,,Randle,,Kty,,5,6,1,0,0,,,,,0,,,,5,Offensive Rebound,,,,258,258,
1,15,35,Shooting foul committed by Nino Williams.,97567,,true,false,false,Nino,,Williams,,KanSt,,5,6,2,0,1,,,,,0,,2,Shooting,8,Foul,,,,87,87,
1,15,35,Official TV timeout.,,,false,false,false,,,,,,,5,6,2,0,0,,,,,0,,3,Official TV,11,Timeout,,,,258,258,
1,15,10,James Young misses a jump shot from 17 feet out.,121084,,true,false,false,James,,Young,,Kty,,5,6,2,0,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,17,-12.3,11.2,258,258,
1,15,10,Kty with an offensive rebound.,,,false,false,false,,,,,,,5,6,2,0,0,,,,,0,,,,5,Offensive Rebound,,,,258,258,
1,14,55,Julius Randle misses a 3-point jump shot from 24 feet out.,121089,,true,false,false,Julius,,Randle,,Kty,,5,6,2,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,12.7,19.9,258,258,
1,14,55,D.J. Johnson with a defensive rebound.,117653,,true,false,false,D.J.,,Johnson,,KanSt,,5,6,2,0,0,,,,,0,,,,6,Defensive Rebound,,,,87,87,
1,14,54,Personal foul committed by Willie Cauley-Stein.,116777,,true,false,false,Willie,,Cauley-Stein,,Kty,,5,6,2,1,1,,,,,0,,1,Personal,8,Foul,,,,258,258,
1,14,38,Marcus Foster misses a 3-point jump shot from 24 feet out.,121724,,true,false,false,Marcus,,Foster,,KanSt,,5,6,2,1,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,24,-20.8,10.9,87,87,
1,14,38,Alex Poythress with a defensive rebound.,116778,,true,false,false,Alex,,Poythress,,Kty,,5,6,2,1,0,,,,,0,,,,6,Defensive Rebound,,,,258,258,
1,14,31,Andrew Harrison with a lost ball turnover: Lost Ball,121086,,true,false,false,Andrew,,Harrison,,Kty,,5,6,2,1,0,,,,,1,,2,Lost Ball,7,Turnover,,,,258,258,
1,14,22,Marcus Foster makes a layup shot.,121724,,true,false,false,Marcus,,Foster,,KanSt,,5,8,2,1,0,,,,,4,2,40,Layup Shot,3,Field Goal Made,0,0,0,87,87,
1,14,15,Personal foul committed by Shane Southwell.,97565,,true,false,false,Shane,,Southwell,,KanSt,,5,8,3,1,1,,,,,0,,1,Personal,8,Foul,,,,87,87,
1,14,08,Alex Poythress misses a 3-point jump shot from 24 feet out.,116778,,true,false,false,Alex,,Poythress,,Kty,,5,8,3,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,-2.5,23.7,258,258,
1,14,08,Wesley Iwundu with a defensive rebound.,121725,,true,false,false,Wesley,,Iwundu,,KanSt,,5,8,3,1,0,,,,,0,,,,6,Defensive Rebound,,,,87,87,
1,13,54,Will Spradling misses a 3-point jump shot from 23 feet out.,97568,,true,false,false,Will,,Spradling,,KanSt,,5,8,3,1,1,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,17.5,15.5,87,87,
1,13,54,Julius Randle with a defensive rebound.,121089,,true,false,false,Julius,,Randle,,Kty,,5,8,3,1,0,,,,,0,,,,6,Defensive Rebound,,,,258,258,
1,13,36,Alex Poythress makes a 3-point jump shot from 23 feet out. Aaron Harrison with the assist.,116778,121085,true,true,false,Alex,Aaron,Poythress,Harrison,Kty,Kty,8,8,3,1,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,-21,9.2,258,258,
1,13,14,Shooting foul committed by Dakari Johnson.,121091,,true,false,false,Dakari,,Johnson,,Kty,,8,8,3,2,1,,,,,0,,2,Shooting,8,Foul,,,,258,258,
1,13,14,Wesley Iwundu misses free throw 1 of 2.,121725,,true,false,false,Wesley,,Iwundu,,KanSt,,8,8,3,2,0,,,,,0,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,87,87,
1,13,14,KanSt with an offensive rebound.,,,false,false,false,,,,,,,8,8,3,2,0,,,,,0,,,,5,Offensive Rebound,,,,87,87,
