half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,205,205,
1,19,48,Kadeem Coleby misses a dunk shot.,88843,,true,false,false,Kadeem,,Coleby,,Wich,,0,0,0,0,0,,,,,0,2,48,Dunk Shot,4,Field Goal Missed,0,0,0,205,205,
1,19,48,Joel Awich with a defensive rebound.,110955,,true,false,false,Joel,,Awich,,CalPly,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,95,95,
1,19,16,Kyle Odister misses a 3-point jump shot from 24 feet out.,89029,,true,false,false,Kyle,,Odister,,CalPly,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,18.1,15.1,95,95,
1,19,16,Cleanthony Early with a defensive rebound.,117127,,true,false,false,Cleanthony,,Early,,Wich,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,205,205,
1,19,05,Cleanthony Early with a lost ball turnover: Lost Ball,117127,,true,false,false,Cleanthony,,Early,,Wich,,0,0,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,205,205,
1,18,47,Chris Eversley makes a 3-point jump shot from 23 feet out. Dave Nwaba with the assist.,88388,121124,true,true,false,Chris,Dave,Eversley,Nwaba,CalPly,CalPly,0,3,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,-19.5,11.2,95,95,
1,18,16,Cleanthony Early makes a 3-point jump shot from 23 feet out. Fred VanVleet with the assist.,117127,117130,true,true,false,Cleanthony,Fred,Early,VanVleet,Wich,Wich,3,3,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,-20.1,11.2,205,205,
1,17,43,Kyle Odister misses a 3-point jump shot from 25 feet out.,89029,,true,false,false,Kyle,,Odister,,CalPly,,3,3,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,25,15.1,20.1,95,95,
1,17,43,Kadeem Coleby with a defensive rebound.,88843,,true,false,false,Kadeem,,Coleby,,Wich,,3,3,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,205,205,
1,17,30,Fred VanVleet misses a layup shot.,117130,,true,false,false,Fred,,VanVleet,,Wich,,3,3,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,205,205,
1,17,30,Chris Eversley with a defensive rebound.,88388,,true,false,false,Chris,,Eversley,,CalPly,,3,3,0,0,0,,,,,3,,,,6,Defensive Rebound,,,,95,95,
1,17,21,Chris Eversley misses a 3-point jump shot from 24 feet out.,88388,,true,false,false,Chris,,Eversley,,CalPly,,3,3,0,0,0,,,,,3,3,45,Jump Shot,4,Field Goal Missed,24,17.3,17,95,95,
1,17,21,Fred VanVleet with a defensive rebound.,117130,,true,false,false,Fred,,VanVleet,,Wich,,3,3,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,205,205,
1,17,15,Ron Baker makes a 3-point jump shot from 23 feet out. Fred VanVleet with the assist.,111024,117130,true,true,false,Ron,Fred,Baker,VanVleet,Wich,Wich,6,3,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,16,18,205,205,
1,16,55,Shooting foul committed by Tekele Cotton.,109842,,true,false,false,Tekele,,Cotton,,Wich,,6,3,0,1,1,,,,,0,,2,Shooting,8,Foul,,,,205,205,
1,16,55,Dave Nwaba misses free throw 1 of 2.,121124,,true,false,false,Dave,,Nwaba,,CalPly,,6,3,0,1,0,,,,,0,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,95,95,
1,16,55,CalPly with an offensive rebound.,,,false,false,false,,,,,,,6,3,0,1,0,,,,,0,,,,5,Offensive Rebound,,,,95,95,
1,16,55,Dave Nwaba makes free throw 2 of 2.,121124,,true,false,false,Dave,,Nwaba,,CalPly,,6,4,0,1,0,,,,,1,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,95,95,
1,16,38,Cleanthony Early misses a 3-point jump shot from 24 feet out.,117127,,true,false,false,Cleanthony,,Early,,Wich,,6,4,0,1,0,,,,,3,3,45,Jump Shot,4,Field Goal Missed,24,-1.8,24,205,205,
1,16,38,Dave Nwaba with a defensive rebound.,121124,,true,false,false,Dave,,Nwaba,,CalPly,,6,4,0,1,0,,,,,1,,,,6,Defensive Rebound,,,,95,95,
1,16,20,Chris Eversley misses a jump shot from 14 feet out.,88388,,true,false,false,Chris,,Eversley,,CalPly,,6,4,0,1,0,,,,,3,2,45,Jump Shot,4,Field Goal Missed,14,-12.7,4.8,95,95,
1,16,20,Ron Baker with a defensive rebound.,111024,,true,false,false,Ron,,Baker,,Wich,,6,4,0,1,0,,,,,3,,,,6,Defensive Rebound,,,,205,205,
1,15,58,Personal foul committed by Chris Eversley.,88388,,true,false,false,Chris,,Eversley,,CalPly,,6,4,1,1,1,,,,,3,,1,Personal,8,Foul,,,,95,95,
1,15,58,Official TV timeout.,,,false,false,false,,,,,,,6,4,1,1,0,,,,,0,,3,Official TV,11,Timeout,,,,205,205,
1,15,47,Chadrack Lufile misses a hook shot from 7 feet out.,117129,,true,false,false,Chadrack,,Lufile,,Wich,,6,4,1,1,0,,,,,0,2,55,Hook Shot,4,Field Goal Missed,7,3.4,5.9,205,205,
1,15,47,Brian Bennett with a defensive rebound.,116213,,true,false,false,Brian,,Bennett,,CalPly,,6,4,1,1,0,,,,,0,,,,6,Defensive Rebound,,,,95,95,
1,15,17,Shooting foul committed by Chadrack Lufile.,117129,,true,false,false,Chadrack,,Lufile,,Wich,,6,4,1,2,1,,,,,0,,2,Shooting,8,Foul,,,,205,205,
1,15,17,Brian Bennett misses free throw 1 of 2.,116213,,true,false,false,Brian,,Bennett,,CalPly,,6,4,1,2,0,,,,,0,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,95,95,
1,15,17,CalPly with an offensive rebound.,,,false,false,false,,,,,,,6,4,1,2,0,,,,,0,,,,5,Offensive Rebound,,,,95,95,
1,15,17,Brian Bennett makes free throw 2 of 2.,116213,,true,false,false,Brian,,Bennett,,CalPly,,6,5,1,2,0,,,,,1,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,95,95,
1,14,52,Cleanthony Early makes a 3-point jump shot from 22 feet out. Ron Baker with the assist.,117127,111024,true,true,false,Cleanthony,Ron,Early,Baker,Wich,Wich,9,5,1,2,0,,,,,6,3,45,Jump Shot,3,Field Goal Made,22,-22,3,205,205,
1,14,20,Chris Eversley misses a jump shot from 7 feet out.,88388,,true,false,false,Chris,,Eversley,,CalPly,,9,5,1,2,1,,,,,3,2,45,Jump Shot,4,Field Goal Missed,7,-2.3,6.8,95,95,
1,14,20,Ron Baker with a defensive rebound.,111024,,true,false,false,Ron,,Baker,,Wich,,9,5,1,2,0,,,,,3,,,,6,Defensive Rebound,,,,205,205,
1,14,18,Cleanthony Early makes a layup shot. Ron Baker with the assist.,117127,111024,true,true,false,Cleanthony,Ron,Early,Baker,Wich,Wich,11,5,1,2,0,,,,,8,2,40,Layup Shot,3,Field Goal Made,0,0,0,205,205,
1,14,18,Shooting foul committed by Kyle Odister.,89029,,true,false,false,Kyle,,Odister,,CalPly,,11,5,2,2,1,,,,,0,,2,Shooting,8,Foul,,,,95,95,
1,14,18,Cleanthony Early makes free throw 1 of 1.,117127,,true,false,false,Cleanthony,,Early,,Wich,,12,5,2,2,0,,,,,9,1,10,Free Throw 1 of 1,1,Free Throw Made,,,,205,205,
1,13,47,Chris Eversley misses a 3-point jump shot from 23 feet out.,88388,,true,false,false,Chris,,Eversley,,CalPly,,12,5,2,2,1,,,,,3,3,45,Jump Shot,4,Field Goal Missed,23,17.3,15.7,95,95,
1,13,47,Dave Nwaba with an offensive rebound.,121124,,true,false,false,Dave,,Nwaba,,CalPly,,12,5,2,2,0,,,,,1,,,,5,Offensive Rebound,,,,95,95,
1,13,40,Dave Nwaba misses a layup shot.,121124,,true,false,false,Dave,,Nwaba,,CalPly,,12,5,2,2,0,,,,,1,2,40,Layup Shot,4,Field Goal Missed,0,0,0,95,95,
1,13,40,Cleanthony Early with a defensive rebound.,117127,,true,false,false,Cleanthony,,Early,,Wich,,12,5,2,2,0,,,,,9,,,,6,Defensive Rebound,,,,205,205,
1,13,28,Cleanthony Early misses a layup shot.,117127,,true,false,false,Cleanthony,,Early,,Wich,,12,5,2,2,0,,,,,9,2,40,Layup Shot,4,Field Goal Missed,0,0,0,205,205,
1,13,28,Darius Carter with an offensive rebound.,122231,,true,false,false,Darius,,Carter,,Wich,,12,5,2,2,0,,,,,0,,,,5,Offensive Rebound,,,,205,205,
1,13,27,Shooting foul committed by Dave Nwaba.,121124,,true,false,false,Dave,,Nwaba,,CalPly,,12,5,3,2,1,,,,,1,,2,Shooting,8,Foul,,,,95,95,
1,13,27,Darius Carter makes free throw 1 of 2.,122231,,true,false,false,Darius,,Carter,,Wich,,13,5,3,2,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,205,205,
1,13,27,Darius Carter makes free throw 2 of 2.,122231,,true,false,false,Darius,,Carter,,Wich,,14,5,3,2,0,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,205,205,
1,13,13,Shooting foul committed by Evan Wessel.,109845,,true,false,false,Evan,,Wessel,,Wich,,14,5,3,3,1,,,,,0,,2,Shooting,8,Foul,,,,205,205,
1,13,13,Dave Nwaba misses free throw 1 of 2.,121124,,true,false,false,Dave,,Nwaba,,CalPly,,14,5,3,3,1,,,,,1,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,95,95,
1,13,13,CalPly with an offensive rebound.,,,false,false,false,,,,,,,14,5,3,3,0,,,,,0,,,,5,Offensive Rebound,,,,95,95,
1,13,13,Dave Nwaba misses free throw 2 of 2.,121124,,true,false,false,Dave,,Nwaba,,CalPly,,14,5,3,3,1,,,,,1,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,95,95,
1,13,13,Nick Wiggins with a defensive rebound.,117131,,true,false,false,Nick,,Wiggins,,Wich,,14,5,3,3,0,,,,,0,,,,6,Defensive Rebound,,,,205,205,
1,13,01,Personal foul committed by Reese Morgan.,109558,,true,false,false,Reese,,Morgan,,CalPly,,14,5,4,3,1,,,,,0,,1,Personal,8,Foul,,,,95,95,
1,12,50,Nick Wiggins misses a 3-point jump shot from 22 feet out.,117131,,true,false,false,Nick,,Wiggins,,Wich,,14,5,4,3,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,22,-21.8,1.8,205,205,
1,12,50,Brian Bennett with a defensive rebound.,116213,,true,false,false,Brian,,Bennett,,CalPly,,14,5,4,3,0,,,,,1,,,,6,Defensive Rebound,,,,95,95,
1,12,29,Dave Nwaba misses a jump shot from 7 feet out.,121124,,true,false,false,Dave,,Nwaba,,CalPly,,14,5,4,3,1,,,,,1,2,45,Jump Shot,4,Field Goal Missed,7,.3,7.2,95,95,
1,12,29,Darius Carter with a defensive rebound.,122231,,true,false,false,Darius,,Carter,,Wich,,14,5,4,3,0,,,,,2,,,,6,Defensive Rebound,,,,205,205,
1,12,17,Kadeem Coleby misses a jump shot from 7 feet out.,88843,,true,false,false,Kadeem,,Coleby,,Wich,,14,5,4,3,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,7,-.5,7.2,205,205,
1,12,17,Nick Wiggins with an offensive rebound.,117131,,true,false,false,Nick,,Wiggins,,Wich,,14,5,4,3,0,,,,,0,,,,5,Offensive Rebound,,,,205,205,
1,12,11,Nick Wiggins misses a layup shot.,117131,,true,false,false,Nick,,Wiggins,,Wich,,14,5,4,3,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,205,205,
1,12,11,Joel Awich with a defensive rebound.,110955,,true,false,false,Joel,,Awich,,CalPly,,14,5,4,3,0,,,,,0,,,,6,Defensive Rebound,,,,95,95,
1,11,52,Ridge Shipley with a lost ball turnover: Lost Ball,121127,,true,false,false,Ridge,,Shipley,,CalPly,,14,5,4,3,0,,,,,0,,2,Lost Ball,7,Turnover,,,,95,95,
1,11,47,Personal foul committed by Ridge Shipley.,121127,,true,false,false,Ridge,,Shipley,,CalPly,,14,5,5,3,1,,,,,0,,1,Personal,8,Foul,,,,95,95,
1,11,47,Official TV timeout.,,,false,false,false,,,,,,,14,5,5,3,0,,,,,0,,3,Official TV,11,Timeout,,,,205,205,
1,11,33,Cleanthony Early makes a jump shot from 15 feet out. Darius Carter with the assist.,117127,122231,true,true,false,Cleanthony,Darius,Early,Carter,Wich,Wich,16,5,5,3,0,,,,,11,2,45,Jump Shot,3,Field Goal Made,15,-15.1,3.3,205,205,
1,11,03,Reese Morgan misses a 3-point jump shot from 23 feet out.,109558,,true,false,false,Reese,,Morgan,,CalPly,,16,5,5,3,1,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,16.9,15.9,95,95,
1,11,03,Darius Carter with a defensive rebound.,122231,,true,false,false,Darius,,Carter,,Wich,,16,5,5,3,0,,,,,2,,,,6,Defensive Rebound,,,,205,205,
1,10,56,Fred VanVleet with a lost ball turnover: Lost Ball,117130,,true,false,false,Fred,,VanVleet,,Wich,,16,5,5,3,0,,,,,0,,2,Lost Ball,7,Turnover,,,,205,205,
1,10,50,Ridge Shipley misses a 3-point jump shot from 23 feet out.,121127,,true,false,false,Ridge,,Shipley,,CalPly,,16,5,5,3,1,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-19.7,11.6,95,95,
1,10,50,Reese Morgan with an offensive rebound.,109558,,true,false,false,Reese,,Morgan,,CalPly,,16,5,5,3,1,,,,,0,,,,5,Offensive Rebound,,,,95,95,
1,10,42,Joel Awich with a lost ball turnover: Lost Ball,110955,,true,false,false,Joel,,Awich,,CalPly,,16,5,5,3,0,,,,,0,,2,Lost Ball,7,Turnover,,,,95,95,
1,10,42,Shooting foul committed by Maliik Love.,97555,,true,false,false,Maliik,,Love,,CalPly,,16,5,6,3,1,,,,,0,,2,Shooting,8,Foul,,,,95,95,
1,10,42,Cleanthony Early makes free throw 1 of 2.,117127,,true,false,false,Cleanthony,,Early,,Wich,,17,5,6,3,0,,,,,12,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,205,205,
1,10,42,Cleanthony Early misses free throw 2 of 2.,117127,,true,false,false,Cleanthony,,Early,,Wich,,17,5,6,3,0,,,,,12,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,205,205,
1,10,42,Zach Gordon with a defensive rebound.,116214,,true,false,false,Zach,,Gordon,,CalPly,,17,5,6,3,0,,,,,0,,,,6,Defensive Rebound,,,,95,95,
1,10,11,Zach Gordon with a lost ball turnover: Lost Ball,116214,,true,false,false,Zach,,Gordon,,CalPly,,17,5,6,3,0,,,,,0,,2,Lost Ball,7,Turnover,,,,95,95,
1,10,04,Cleanthony Early misses a 3-point jump shot from 23 feet out.,117127,,true,false,false,Cleanthony,,Early,,Wich,,17,5,6,3,0,,,,,12,3,45,Jump Shot,4,Field Goal Missed,23,-18,14,205,205,
1,10,04,Maliik Love with a defensive rebound.,97555,,true,false,false,Maliik,,Love,,CalPly,,17,5,6,3,1,,,,,0,,,,6,Defensive Rebound,,,,95,95,
1,9,42,Joel Awich misses a 3-point jump shot from 23 feet out.,110955,,true,false,false,Joel,,Awich,,CalPly,,17,5,6,3,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,20.3,10.5,95,95,
1,9,42,Nick Wiggins with a defensive rebound.,117131,,true,false,false,Nick,,Wiggins,,Wich,,17,5,6,3,0,,,,,0,,,,6,Defensive Rebound,,,,205,205,
1,9,37,Personal foul committed by Ridge Shipley.,121127,,true,false,false,Ridge,,Shipley,,CalPly,,17,5,7,3,2,,,,,0,,1,Personal,8,Foul,,,,95,95,
1,9,37,Fred VanVleet makes free throw 1st of 1-and-1.,117130,,true,false,false,Fred,,VanVleet,,Wich,,18,5,7,3,0,,,,,1,1,8,Free Throw 1st of 1-and-1,1,Free Throw Made,,,,205,205,
1,9,37,Fred VanVleet makes free throw 2nd of 1-and-1.,117130,,true,false,false,Fred,,VanVleet,,Wich,,19,5,7,3,0,,,,,2,1,9,Free Throw 2nd of 1-and-1,1,Free Throw Made,,,,205,205,
1,9,07,Jamal Johnson misses a jump shot from 9 feet out.,97554,,true,false,false,Jamal,,Johnson,,CalPly,,19,5,7,3,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,9,.6,8.7,95,95,
1,9,07,Cleanthony Early with a defensive rebound.,117127,,true,false,false,Cleanthony,,Early,,Wich,,19,5,7,3,0,,,,,12,,,,6,Defensive Rebound,,,,205,205,
1,9,00,Offensive foul committed by Tekele Cotton.,109842,,true,false,false,Tekele,,Cotton,,Wich,,19,5,7,4,2,,,,,0,,4,Offensive,8,Foul,,,,205,205,
1,9,00,Tekele Cotton with a  turnover:,109842,,true,false,false,Tekele,,Cotton,,Wich,,19,5,7,4,2,,,,,0,,,,7,Turnover,,,,205,205,
1,8,45,Brian Bennett misses a hook shot from 6 feet out.,116213,,true,false,false,Brian,,Bennett,,CalPly,,19,5,7,4,0,,,,,1,2,55,Hook Shot,4,Field Goal Missed,6,5.8,2.5,95,95,
1,8,45,Ron Baker with a defensive rebound.,111024,,true,false,false,Ron,,Baker,,Wich,,19,5,7,4,0,,,,,3,,,,6,Defensive Rebound,,,,205,205,
1,8,32,Chadrack Lufile misses a hook shot from 6 feet out.,117129,,true,false,false,Chadrack,,Lufile,,Wich,,19,5,7,4,1,,,,,0,2,55,Hook Shot,4,Field Goal Missed,6,3.1,5.7,205,205,
1,8,32,Chris Eversley with a defensive rebound.,88388,,true,false,false,Chris,,Eversley,,CalPly,,19,5,7,4,1,,,,,3,,,,6,Defensive Rebound,,,,95,95,
1,8,10,Chris Eversley misses a 3-point jump shot from 23 feet out.,88388,,true,false,false,Chris,,Eversley,,CalPly,,19,5,7,4,1,,,,,3,3,45,Jump Shot,4,Field Goal Missed,23,-7.3,22,95,95,
1,8,10,Tekele Cotton with a defensive rebound.,109842,,true,false,false,Tekele,,Cotton,,Wich,,19,5,7,4,2,,,,,0,,,,6,Defensive Rebound,,,,205,205,
1,7,58,Chadrack Lufile makes a layup shot. Cleanthony Early with the assist.,117129,117127,true,true,false,Chadrack,Cleanthony,Lufile,Early,Wich,Wich,21,5,7,4,1,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,205,205,
1,7,57,CalPly take a 20-second timeout.,,,false,false,false,,,,,,,21,5,7,4,0,,,,,0,,2,Short,11,Timeout,,,,95,95,
1,7,39,Kyle Odister makes a 3-point jump shot from 24 feet out. Jamal Johnson with the assist.,89029,97554,true,true,false,Kyle,Jamal,Odister,Johnson,CalPly,CalPly,21,8,7,4,1,,,,,3,3,45,Jump Shot,3,Field Goal Made,24,18.2,16.1,95,95,
1,7,26,Cleanthony Early misses a 3-point jump shot from 23 feet out.,117127,,true,false,false,Cleanthony,,Early,,Wich,,21,8,7,4,0,,,,,12,3,45,Jump Shot,4,Field Goal Missed,23,-19.9,11.2,205,205,
1,7,26,Jamal Johnson with a defensive rebound.,97554,,true,false,false,Jamal,,Johnson,,CalPly,,21,8,7,4,0,,,,,0,,,,6,Defensive Rebound,,,,95,95,
1,7,15,Kyle Odister misses a 3-point jump shot from 26 feet out.,89029,,true,false,false,Kyle,,Odister,,CalPly,,21,8,7,4,1,,,,,3,3,45,Jump Shot,4,Field Goal Missed,26,-19,17.4,95,95,
1,7,15,Wich with a defensive rebound.,,,false,false,false,,,,,,,21,8,7,4,0,,,,,0,,,,6,Defensive Rebound,,,,205,205,
1,7,14,Official TV timeout.,,,false,false,false,,,,,,,21,8,7,4,0,,,,,0,,3,Official TV,11,Timeout,,,,205,205,
1,7,04,Cleanthony Early makes a layup shot. Evan Wessel with the assist.,117127,109845,true,true,false,Cleanthony,Evan,Early,Wessel,Wich,Wich,23,8,7,4,0,,,,,14,2,40,Layup Shot,3,Field Goal Made,0,0,0,205,205,
1,6,41,Brian Bennett misses a hook shot from 8 feet out.,116213,,true,false,false,Brian,,Bennett,,CalPly,,23,8,7,4,0,,,,,1,2,55,Hook Shot,4,Field Goal Missed,8,-4.5,6.1,95,95,
