half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,197,197,
1,19,40,Shawn Long makes a jump shot from 16 feet out.,109784,,true,false,false,Shawn,,Long,,Louis,,0,2,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,16,12.3,10.3,302,302,
1,19,22,Grant Gibbs with a lost ball turnover: Lost Ball,81539,,true,false,false,Grant,,Gibbs,,Cre,,0,2,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,197,197,
1,19,01,Bryant Mbamalu misses a jump shot from 19 feet out.,98351,,true,false,false,Bryant,,Mbamalu,,Louis,,0,2,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,19,-3,18.3,302,302,
1,19,01,Grant Gibbs with a defensive rebound.,81539,,true,false,false,Grant,,Gibbs,,Cre,,0,2,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,197,197,
1,18,34,Personal foul committed by Bryant Mbamalu.,98351,,true,false,false,Bryant,,Mbamalu,,Louis,,0,2,1,0,1,,,,,0,,1,Personal,8,Foul,,,,302,302,
1,18,34,Austin Chatman with a lost ball turnover: Lost Ball,109694,,true,false,false,Austin,,Chatman,,Cre,,0,2,1,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,197,197,
1,18,31,Elfrid Payton makes a dunk shot.,110318,,true,false,false,Elfrid,,Payton,,Louis,,0,4,1,0,0,,,,,2,2,48,Dunk Shot,3,Field Goal Made,0,0,0,302,302,
1,18,17,Grant Gibbs makes a layup shot. Doug McDermott with the assist.,81539,97718,true,true,false,Grant,Doug,Gibbs,McDermott,Cre,Cre,2,4,1,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,197,197,
1,17,49,Elfrid Payton misses a jump shot from 12 feet out.,110318,,true,false,false,Elfrid,,Payton,,Louis,,2,4,1,0,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,12,3.8,11.6,302,302,
1,17,49,Grant Gibbs with a defensive rebound.,81539,,true,false,false,Grant,,Gibbs,,Cre,,2,4,1,0,0,,,,,2,,,,6,Defensive Rebound,,,,197,197,
1,17,39,Ethan Wragge misses a 3-point jump shot from 28 feet out.,88810,,true,false,false,Ethan,,Wragge,,Cre,,2,4,1,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,28,-10.1,25.9,197,197,
1,17,39,Bryant Mbamalu with a defensive rebound.,98351,,true,false,false,Bryant,,Mbamalu,,Louis,,2,4,1,0,1,,,,,0,,,,6,Defensive Rebound,,,,302,302,
1,17,24,Elridge Moore makes a jump shot from 6 feet out. Elfrid Payton with the assist.,98392,110318,true,true,false,Elridge,Elfrid,Moore,Payton,Louis,Louis,2,6,1,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,6,-.6,5.7,302,302,
1,17,15,Doug McDermott makes a layup shot. Grant Gibbs with the assist.,97718,81539,true,true,false,Doug,Grant,McDermott,Gibbs,Cre,Cre,4,6,1,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,197,197,
1,17,02,Shawn Long misses a 3-point jump shot from 24 feet out.,109784,,true,false,false,Shawn,,Long,,Louis,,4,6,1,0,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,24,10.1,22,302,302,
1,17,02,Doug McDermott with a defensive rebound.,97718,,true,false,false,Doug,,McDermott,,Cre,,4,6,1,0,0,,,,,2,,,,6,Defensive Rebound,,,,197,197,
1,16,52,Shooting foul committed by Shawn Long.,109784,,true,false,false,Shawn,,Long,,Louis,,4,6,2,0,1,,,,,2,,2,Shooting,8,Foul,,,,302,302,
1,16,52,Grant Gibbs misses free throw 1 of 2.,81539,,true,false,false,Grant,,Gibbs,,Cre,,4,6,2,0,0,,,,,2,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,197,197,
1,16,52,Cre with an offensive rebound.,,,false,false,false,,,,,,,4,6,2,0,0,,,,,0,,,,5,Offensive Rebound,,,,197,197,
1,16,52,Grant Gibbs misses free throw 2 of 2.,81539,,true,false,false,Grant,,Gibbs,,Cre,,4,6,2,0,0,,,,,2,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,197,197,
1,16,52,Shawn Long with a defensive rebound.,109784,,true,false,false,Shawn,,Long,,Louis,,4,6,2,0,1,,,,,2,,,,6,Defensive Rebound,,,,302,302,
1,16,30,Elridge Moore misses a jump shot from 12 feet out.,98392,,true,false,false,Elridge,,Moore,,Louis,,4,6,2,0,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,12,-11.5,1.4,302,302,
1,16,30,Austin Chatman with a defensive rebound.,109694,,true,false,false,Austin,,Chatman,,Cre,,4,6,2,0,0,,,,,0,,,,6,Defensive Rebound,,,,197,197,
1,16,25,Austin Chatman makes a layup shot.,109694,,true,false,false,Austin,,Chatman,,Cre,,6,6,2,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,197,197,
1,16,24,Shooting foul committed by Xavian Rimmer.,109955,,true,false,false,Xavian,,Rimmer,,Louis,,6,6,3,0,1,,,,,0,,2,Shooting,8,Foul,,,,302,302,
1,16,24,Austin Chatman makes free throw 1 of 1.,109694,,true,false,false,Austin,,Chatman,,Cre,,7,6,3,0,0,,,,,3,1,10,Free Throw 1 of 1,1,Free Throw Made,,,,197,197,
1,16,10,Bryant Mbamalu misses a jump shot from 16 feet out.,98351,,true,false,false,Bryant,,Mbamalu,,Louis,,7,6,3,0,1,,,,,0,2,45,Jump Shot,4,Field Goal Missed,16,-5.4,15.6,302,302,
1,16,10,Shawn Long with an offensive rebound.,109784,,true,false,false,Shawn,,Long,,Louis,,7,6,3,0,1,,,,,2,,,,5,Offensive Rebound,,,,302,302,
1,16,06,Shawn Long makes a hook shot from 4 feet out.,109784,,true,false,false,Shawn,,Long,,Louis,,7,8,3,0,1,,,,,4,2,55,Hook Shot,3,Field Goal Made,4,-1.6,3.5,302,302,
1,15,48,Personal foul committed by Elfrid Payton.,110318,,true,false,false,Elfrid,,Payton,,Louis,,7,8,4,0,1,,,,,2,,1,Personal,8,Foul,,,,302,302,
1,15,48,Official TV timeout.,,,false,false,false,,,,,,,7,8,4,0,0,,,,,0,,3,Official TV,11,Timeout,,,,197,197,
1,15,46,Jahenns Manigat misses a 3-point jump shot from 25 feet out.,97717,,true,false,false,Jahenns,,Manigat,,Cre,,7,8,4,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,25,20.2,15.4,197,197,
1,15,46,Shawn Long with a defensive rebound.,109784,,true,false,false,Shawn,,Long,,Louis,,7,8,4,0,1,,,,,4,,,,6,Defensive Rebound,,,,302,302,
1,15,40,Elfrid Payton misses a layup shot.,110318,,true,false,false,Elfrid,,Payton,,Louis,,7,8,4,0,1,,,,,2,2,40,Layup Shot,4,Field Goal Missed,0,0,0,302,302,
1,15,40,Doug McDermott with a defensive rebound.,97718,,true,false,false,Doug,,McDermott,,Cre,,7,8,4,0,0,,,,,2,,,,6,Defensive Rebound,,,,197,197,
1,15,12,Grant Gibbs misses a 3-point jump shot from 23 feet out.,81539,,true,false,false,Grant,,Gibbs,,Cre,,7,8,4,0,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,23,-19,12.8,197,197,
1,15,12,Elridge Moore with a defensive rebound.,98392,,true,false,false,Elridge,,Moore,,Louis,,7,8,4,0,0,,,,,2,,,,6,Defensive Rebound,,,,302,302,
1,14,38,Xavian Rimmer misses a 3-point jump shot from 24 feet out.,109955,,true,false,false,Xavian,,Rimmer,,Louis,,7,8,4,0,1,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,-19.1,15.2,302,302,
1,14,38,Grant Gibbs with a defensive rebound.,81539,,true,false,false,Grant,,Gibbs,,Cre,,7,8,4,0,0,,,,,2,,,,6,Defensive Rebound,,,,197,197,
1,14,30,Austin Chatman makes a jump shot from 10 feet out. Grant Gibbs with the assist.,109694,81539,true,true,false,Austin,Grant,Chatman,Gibbs,Cre,Cre,9,8,4,0,0,,,,,5,2,45,Jump Shot,3,Field Goal Made,10,-9.6,.6,197,197,
1,14,09,Personal foul committed by Jahenns Manigat.,97717,,true,false,false,Jahenns,,Manigat,,Cre,,9,8,4,1,1,,,,,0,,1,Personal,8,Foul,,,,197,197,
1,14,05,Bryant Mbamalu misses a jump shot from 5 feet out.,98351,,true,false,false,Bryant,,Mbamalu,,Louis,,9,8,4,1,1,,,,,0,2,45,Jump Shot,4,Field Goal Missed,5,4.3,2.8,302,302,
1,14,05,Doug McDermott with a defensive rebound.,97718,,true,false,false,Doug,,McDermott,,Cre,,9,8,4,1,0,,,,,2,,,,6,Defensive Rebound,,,,197,197,
1,13,50,Austin Chatman misses a 3-point jump shot from 23 feet out.,109694,,true,false,false,Austin,,Chatman,,Cre,,9,8,4,1,0,,,,,5,3,45,Jump Shot,4,Field Goal Missed,23,-22.2,4.8,197,197,
1,13,50,Xavian Rimmer with a defensive rebound.,109955,,true,false,false,Xavian,,Rimmer,,Louis,,9,8,4,1,1,,,,,0,,,,6,Defensive Rebound,,,,302,302,
1,13,37,Shawn Long misses a jump shot from 6 feet out.,109784,,true,false,false,Shawn,,Long,,Louis,,9,8,4,1,1,,,,,4,2,45,Jump Shot,4,Field Goal Missed,6,-2.5,5.3,302,302,
1,13,37,Doug McDermott with a defensive rebound.,97718,,true,false,false,Doug,,McDermott,,Cre,,9,8,4,1,0,,,,,2,,,,6,Defensive Rebound,,,,197,197,
1,13,31,Avery Dingman makes a layup shot. Austin Chatman with the assist.,109695,109694,true,true,false,Avery,Austin,Dingman,Chatman,Cre,Cre,11,8,4,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,197,197,
1,13,22,Shooting foul committed by Grant Gibbs.,81539,,true,false,false,Grant,,Gibbs,,Cre,,11,8,4,2,1,,,,,2,,2,Shooting,8,Foul,,,,197,197,
1,13,22,Bryant Mbamalu makes free throw 1 of 2.,98351,,true,false,false,Bryant,,Mbamalu,,Louis,,11,9,4,2,1,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,302,302,
1,13,22,Bryant Mbamalu makes free throw 2 of 2.,98351,,true,false,false,Bryant,,Mbamalu,,Louis,,11,10,4,2,1,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,302,302,
1,13,10,Offensive foul committed by Avery Dingman.,109695,,true,false,false,Avery,,Dingman,,Cre,,11,10,4,3,1,,,,,2,,4,Offensive,8,Foul,,,,197,197,
1,13,10,Avery Dingman with a  turnover:,109695,,true,false,false,Avery,,Dingman,,Cre,,11,10,4,3,1,,,,,2,,,,7,Turnover,,,,197,197,
1,12,58,Shooting foul committed by Will Artino.,97715,,true,false,false,Will,,Artino,,Cre,,11,10,4,4,1,,,,,0,,2,Shooting,8,Foul,,,,197,197,
1,12,58,J.J. Davenport makes free throw 1 of 2.,121937,,true,false,false,J.J.,,Davenport,,Louis,,11,11,4,4,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,302,302,
1,12,58,J.J. Davenport makes free throw 2 of 2.,121937,,true,false,false,J.J.,,Davenport,,Louis,,11,12,4,4,0,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,302,302,
1,12,32,Doug McDermott misses a jump shot from 14 feet out.,97718,,true,false,false,Doug,,McDermott,,Cre,,11,12,4,4,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,14,13.7,3.1,197,197,
1,12,32,Elfrid Payton with a defensive rebound.,110318,,true,false,false,Elfrid,,Payton,,Louis,,11,12,4,4,1,,,,,2,,,,6,Defensive Rebound,,,,302,302,
1,12,22,Kevin Brown makes a 3-point jump shot from 26 feet out. Elfrid Payton with the assist.,97696,110318,true,true,false,Kevin,Elfrid,Brown,Payton,Louis,Louis,11,15,4,4,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,26,18.6,18.4,302,302,
1,12,10,Shooting foul committed by J.J. Davenport.,121937,,true,false,false,J.J.,,Davenport,,Louis,,11,15,5,4,1,,,,,2,,2,Shooting,8,Foul,,,,302,302,
1,12,10,Will Artino makes free throw 1 of 2.,97715,,true,false,false,Will,,Artino,,Cre,,12,15,5,4,1,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,197,197,
1,12,10,Will Artino makes free throw 2 of 2.,97715,,true,false,false,Will,,Artino,,Cre,,13,15,5,4,1,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,197,197,
1,11,57,Kevin Brown makes a jump shot from 6 feet out.,97696,,true,false,false,Kevin,,Brown,,Louis,,13,17,5,4,0,,,,,5,2,45,Jump Shot,3,Field Goal Made,6,-5,3.6,302,302,
1,11,45,Devin Brooks with a bad pass turnover: Bad Pass,120782,,true,false,false,Devin,,Brooks,,Cre,,13,17,5,4,0,,,,,0,,1,Bad Pass,7,Turnover,,,,197,197,
1,11,45,Official TV timeout.,,,false,false,false,,,,,,,13,17,5,4,0,,,,,0,,3,Official TV,11,Timeout,,,,197,197,
1,11,29,Elfrid Payton misses a jump shot from 12 feet out.,110318,,true,false,false,Elfrid,,Payton,,Louis,,13,17,5,4,1,,,,,2,2,45,Jump Shot,4,Field Goal Missed,12,-5.2,10.3,302,302,
1,11,29,Cre with a defensive rebound.,,,false,false,false,,,,,,,13,17,5,4,0,,,,,0,,,,6,Defensive Rebound,,,,197,197,
1,11,06,Doug McDermott makes a layup shot. Jahenns Manigat with the assist.,97718,97717,true,true,false,Doug,Jahenns,McDermott,Manigat,Cre,Cre,15,17,5,4,0,,,,,4,2,40,Layup Shot,3,Field Goal Made,0,0,0,197,197,
1,10,49,Bryant Mbamalu misses a layup shot.,98351,,true,false,false,Bryant,,Mbamalu,,Louis,,15,17,5,4,1,,,,,2,2,40,Layup Shot,4,Field Goal Missed,0,0,0,302,302,
1,10,49,Ethan Wragge with a defensive rebound.,88810,,true,false,false,Ethan,,Wragge,,Cre,,15,17,5,4,0,,,,,0,,,,6,Defensive Rebound,,,,197,197,
