half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,10,10,
1,19,37,Personal foul committed by Aaron Graham.,89517,,true,false,false,Aaron,,Graham,,Stet,,0,0,1,0,1,,,,,0,,1,Personal,8,Foul,,,,27,27,
1,19,19,K.J. McDaniels makes a 3-point jump shot.,110089,,true,false,false,K.J.,,McDaniels,,Clem,,3,0,1,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,10,10,
1,18,51,Raymone Andrews misses a jump shot.,89224,,true,false,false,Raymone,,Andrews,,Stet,,3,0,1,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,27,27,
1,18,26,Willie Green misses a jump shot.,88893,,true,false,false,Willie,,Green,,Stet,,3,0,1,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,27,27,
1,18,20,K.J. McDaniels makes a 3-point jump shot.,110089,,true,false,false,K.J.,,McDaniels,,Clem,,6,0,1,0,0,,,,,6,3,45,Jump Shot,3,Field Goal Made,,,,10,10,
1,17,59,Aaron Graham makes a 3-point jump shot.,89517,,true,false,false,Aaron,,Graham,,Stet,,6,3,1,0,1,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,27,27,
1,17,37,K.J. McDaniels makes a 3-point jump shot.,110089,,true,false,false,K.J.,,McDaniels,,Clem,,9,3,1,0,0,,,,,9,3,45,Jump Shot,3,Field Goal Made,,,,10,10,
1,17,26,Shooting foul committed by Landry Nnoko.,116772,,true,false,false,Landry,,Nnoko,,Clem,,9,3,1,1,1,,,,,0,,2,Shooting,8,Foul,,,,10,10,
1,17,26,Aaron Graham makes free throw 1 of 2.,89517,,true,false,false,Aaron,,Graham,,Stet,,9,4,1,1,1,,,,,4,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,27,27,
1,17,26,Aaron Graham makes free throw 2 of 2.,89517,,true,false,false,Aaron,,Graham,,Stet,,9,5,1,1,1,,,,,5,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,27,27,
1,17,05,K.J. McDaniels makes a jump shot.,110089,,true,false,false,K.J.,,McDaniels,,Clem,,11,5,1,1,0,,,,,11,2,45,Jump Shot,3,Field Goal Made,,,,10,10,
1,16,30,Rod Hall makes a jump shot.,110088,,true,false,false,Rod,,Hall,,Clem,,13,5,1,1,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,10,10,
1,16,05,Aaron Graham makes a 3-point jump shot.,89517,,true,false,false,Aaron,,Graham,,Stet,,13,8,1,1,1,,,,,8,3,45,Jump Shot,3,Field Goal Made,,,,27,27,
1,15,25,Aaron Graham makes a jump shot.,89517,,true,false,false,Aaron,,Graham,,Stet,,13,10,1,1,1,,,,,10,2,45,Jump Shot,3,Field Goal Made,,,,27,27,
1,15,02,K.J. McDaniels misses a 3-point jump shot.,110089,,true,false,false,K.J.,,McDaniels,,Clem,,13,10,1,1,0,,,,,11,3,45,Jump Shot,4,Field Goal Missed,,,,10,10,
1,14,40,Brian Pegg misses a jump shot.,116063,,true,false,false,Brian,,Pegg,,Stet,,13,10,1,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,27,27,
1,14,22,Jordan Roper makes a jump shot.,116773,,true,false,false,Jordan,,Roper,,Clem,,15,10,1,1,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,10,10,
1,14,07,Jordan Roper makes a layup shot.,116773,,true,false,false,Jordan,,Roper,,Clem,,17,10,1,1,0,,,,,4,2,40,Layup Shot,3,Field Goal Made,,,,10,10,
