half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,13,13,
1,19,52,Solomon Poole misses a 3-point jump shot from 22 feet out.,120442,,true,false,false,Solomon,,Poole,,GaTech,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,22,-21.7,.4,13,13,
1,19,52,Marcus Georges-Hunt with an offensive rebound.,116540,,true,false,false,Marcus,,Georges-Hunt,,GaTech,,0,0,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,13,13,
1,19,46,Marcus Georges-Hunt makes a dunk shot.,116540,,true,false,false,Marcus,,Georges-Hunt,,GaTech,,2,0,0,0,0,,,,,2,2,48,Dunk Shot,3,Field Goal Made,0,0,0,13,13,
1,19,26,Jordan Downing misses a jump shot from 9 feet out.,98241,,true,false,false,Jordan,,Downing,,Presby,,2,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,9,5.9,6.4,726,726,
1,19,26,"Robert Carter, Jr. with a defensive rebound.",116541,,true,false,false,Robert,,"Carter, Jr.",,GaTech,,2,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,13,13,
1,19,18,"Robert Carter, Jr. misses a 3-point jump shot from 23 feet out.",116541,,true,false,false,Robert,,"Carter, Jr.",,GaTech,,2,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,2,23.2,13,13,
1,19,18,Reggie Dillard with a defensive rebound.,121056,,true,false,false,Reggie,,Dillard,,Presby,,2,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,726,726,
1,19,10,Reggie Dillard with a lost ball turnover: Lost Ball,121056,,true,false,false,Reggie,,Dillard,,Presby,,2,0,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,726,726,
1,19,06,Personal foul committed by Jordan Downing.,98241,,true,false,false,Jordan,,Downing,,Presby,,2,0,1,0,1,,,,,0,,1,Personal,8,Foul,,,,726,726,
