half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,46,46,
1,19,40,Tom Knight makes a layup shot. Garrick Sherman with the assist.,88670,88941,true,true,false,Tom,Garrick,Knight,Sherman,ND,ND,2,0,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,46,46,
1,19,02,Quinten Rollins makes a jump shot from 21 feet out.,97805,,true,false,false,Quinten,,Rollins,,Mia-O,,2,2,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,21,1.1,21,172,172,
1,18,49,Jerian Grant makes a 3-point jump shot from 23 feet out. Pat Connaughton with the assist.,97480,109491,true,true,false,Jerian,Pat,Grant,Connaughton,ND,ND,5,2,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,10.8,19.8,46,46,
1,18,34,Will Felder with a traveling turnover: Traveling,88538,,true,false,false,Will,,Felder,,Mia-O,,5,2,0,0,0,,,,,0,,4,Traveling,7,Turnover,,,,172,172,
1,18,11,Tom Knight misses a jump shot from 18 feet out.,88670,,true,false,false,Tom,,Knight,,ND,,5,2,0,0,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,18,18.1,1.8,46,46,
1,18,11,Quinten Rollins with a defensive rebound.,97805,,true,false,false,Quinten,,Rollins,,Mia-O,,5,2,0,0,0,,,,,2,,,,6,Defensive Rebound,,,,172,172,
1,18,04,Jaryd Eustace misses a 3-point jump shot from 24 feet out.,121530,,true,false,false,Jaryd,,Eustace,,Mia-O,,5,2,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,10,22,172,172,
1,18,04,Jerian Grant with a defensive rebound.,97480,,true,false,false,Jerian,,Grant,,ND,,5,2,0,0,0,,,,,3,,,,6,Defensive Rebound,,,,46,46,
1,17,57,Jerian Grant makes a 3-point jump shot from 23 feet out. Eric Atkins with the assist.,97480,97478,true,true,false,Jerian,Eric,Grant,Atkins,ND,ND,8,2,0,0,0,,,,,6,3,45,Jump Shot,3,Field Goal Made,23,14,18,46,46,
1,17,36,Will Felder with a lost ball turnover: Lost Ball,88538,,true,false,false,Will,,Felder,,Mia-O,,8,2,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,172,172,
1,17,22,Tom Knight makes a dunk shot. Pat Connaughton with the assist.,88670,109491,true,true,false,Tom,Pat,Knight,Connaughton,ND,ND,10,2,0,0,0,,,,,4,2,48,Dunk Shot,3,Field Goal Made,0,0,0,46,46,
1,16,44,Reggie Johnson misses a 3-point jump shot from 23 feet out.,117674,,true,false,false,Reggie,,Johnson,,Mia-O,,10,2,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-19.8,12.2,172,172,
1,16,44,Eric Atkins with a defensive rebound.,97478,,true,false,false,Eric,,Atkins,,ND,,10,2,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,46,46,
1,16,23,Garrick Sherman misses a hook shot from 3 feet out.,88941,,true,false,false,Garrick,,Sherman,,ND,,10,2,0,0,0,,,,,0,2,55,Hook Shot,4,Field Goal Missed,3,.4,3.1,46,46,
1,16,23,Quinten Rollins with a defensive rebound.,97805,,true,false,false,Quinten,,Rollins,,Mia-O,,10,2,0,0,0,,,,,2,,,,6,Defensive Rebound,,,,172,172,
1,15,47,Blake McLimans misses a 3-point jump shot from 23 feet out.,88691,,true,false,false,Blake,,McLimans,,Mia-O,,10,2,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,15,18,172,172,
1,15,47,Will Felder with an offensive rebound.,88538,,true,false,false,Will,,Felder,,Mia-O,,10,2,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,172,172,
1,15,19,Will Felder misses a jump shot from 18 feet out.,88538,,true,false,false,Will,,Felder,,Mia-O,,10,2,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,18,18.3,2.1,172,172,
1,15,19,Garrick Sherman with a defensive rebound.,88941,,true,false,false,Garrick,,Sherman,,ND,,10,2,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,46,46,
1,15,11,Jerian Grant makes a layup shot. Eric Atkins with the assist.,97480,97478,true,true,false,Jerian,Eric,Grant,Atkins,ND,ND,12,2,0,0,0,,,,,8,2,40,Layup Shot,3,Field Goal Made,0,0,0,46,46,
1,15,11,Mia-O take a 20-second timeout.,,,false,false,false,,,,,,,12,2,0,0,0,,,,,0,,2,Short,11,Timeout,,,,172,172,
1,14,10,Reggie Johnson misses a 3-point jump shot from 23 feet out.,117674,,true,false,false,Reggie,,Johnson,,Mia-O,,12,2,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-21,8,172,172,
