half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,52,52,
1,19,51,C.J. Fair makes a layup shot.,97404,,true,false,false,C.J.,,Fair,,Syr,,2,0,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,52,52,
1,19,36,Devin Cherry with a lost ball turnover: Lost Ball,109730,,true,false,false,Devin,,Cherry,,Cor,,2,0,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,148,148,
1,19,29,C.J. Fair misses a 3-point jump shot from 24 feet out.,97404,,true,false,false,C.J.,,Fair,,Syr,,2,0,0,0,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,24,-15.6,18.4,52,52,
1,19,29,Cor with a defensive rebound.,,,false,false,false,,,,,,,2,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,148,148,
1,19,18,David Onuorah makes a dunk shot. Robert Hatter with the assist.,121310,121312,true,true,false,David,Robert,Onuorah,Hatter,Cor,Cor,2,2,0,0,0,,,,,2,2,48,Dunk Shot,3,Field Goal Made,0,0,0,148,148,
1,18,48,DaJuan Coleman misses a jump shot from 15 feet out.,116756,,true,false,false,DaJuan,,Coleman,,Syr,,2,2,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,15,-5,15,52,52,
1,18,48,David Onuorah with a defensive rebound.,121310,,true,false,false,David,,Onuorah,,Cor,,2,2,0,0,0,,,,,2,,,,6,Defensive Rebound,,,,148,148,
1,18,17,Cor with a turnover: Shot Clock Turnover,,,false,false,false,,,,,,,2,2,0,0,0,,,,,0,,11,Shot Clock Turnover,7,Turnover,,,,148,148,
1,17,59,Tyler Ennis misses a 3-point jump shot from 23 feet out.,121072,,true,false,false,Tyler,,Ennis,,Syr,,2,2,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-21,8,52,52,
1,17,59,Deion Giddens with a defensive rebound.,109732,,true,false,false,Deion,,Giddens,,Cor,,2,2,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,148,148,
1,17,43,Robert Hatter makes a 3-point jump shot from 23 feet out. Devin Cherry with the assist.,121312,109730,true,true,false,Robert,Devin,Hatter,Cherry,Cor,Cor,2,5,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,1,23,148,148,
1,17,15,Tyler Ennis with a traveling turnover: Traveling,121072,,true,false,false,Tyler,,Ennis,,Syr,,2,5,0,0,0,,,,,0,,4,Traveling,7,Turnover,,,,52,52,
1,16,49,Robert Hatter misses a 3-point jump shot from 22 feet out.,121312,,true,false,false,Robert,,Hatter,,Cor,,2,5,0,0,0,,,,,3,3,45,Jump Shot,4,Field Goal Missed,22,-13,18,148,148,
1,16,49,Nolan Cressler with an offensive rebound.,116330,,true,false,false,Nolan,,Cressler,,Cor,,2,5,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,148,148,
1,16,44,Shooting foul committed by C.J. Fair.,97404,,true,false,false,C.J.,,Fair,,Syr,,2,5,0,1,1,,,,,2,,2,Shooting,8,Foul,,,,52,52,
1,16,44,Nolan Cressler makes free throw 1 of 2.,116330,,true,false,false,Nolan,,Cressler,,Cor,,2,6,0,1,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,148,148,
1,16,44,Nolan Cressler makes free throw 2 of 2.,116330,,true,false,false,Nolan,,Cressler,,Cor,,2,7,0,1,0,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,148,148,
1,16,23,C.J. Fair with a bad pass turnover: Bad Pass,97404,,true,false,false,C.J.,,Fair,,Syr,,2,7,0,1,1,,,,,2,,1,Bad Pass,7,Turnover,,,,52,52,
1,15,56,Nolan Cressler misses a 3-point jump shot from 23 feet out.,116330,,true,false,false,Nolan,,Cressler,,Cor,,2,7,0,1,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,23,-14.7,17.3,148,148,
1,15,56,Tyler Roberson with a defensive rebound.,122113,,true,false,false,Tyler,,Roberson,,Syr,,2,7,0,1,0,,,,,0,,,,6,Defensive Rebound,,,,52,52,
1,15,45,Tyler Ennis misses a jump shot from 13 feet out.,121072,,true,false,false,Tyler,,Ennis,,Syr,,2,7,0,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,13,-6,11.8,52,52,
1,15,45,Robert Hatter with a defensive rebound.,121312,,true,false,false,Robert,,Hatter,,Cor,,2,7,0,1,0,,,,,3,,,,6,Defensive Rebound,,,,148,148,
1,15,39,Robert Hatter misses a jump shot from 10 feet out.,121312,,true,false,false,Robert,,Hatter,,Cor,,2,7,0,1,0,,,,,3,2,45,Jump Shot,4,Field Goal Missed,10,-6.9,7.6,148,148,
1,15,39,Tyler Ennis with a defensive rebound.,121072,,true,false,false,Tyler,,Ennis,,Syr,,2,7,0,1,0,,,,,0,,,,6,Defensive Rebound,,,,52,52,
1,15,31,C.J. Fair with a lost ball turnover: Lost Ball,97404,,true,false,false,C.J.,,Fair,,Syr,,2,7,0,1,1,,,,,2,,2,Lost Ball,7,Turnover,,,,52,52,
1,15,25,Nolan Cressler misses a 3-point jump shot from 23 feet out.,116330,,true,false,false,Nolan,,Cressler,,Cor,,2,7,0,1,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,23,18.3,13.5,148,148,
1,15,25,Tyler Ennis with a defensive rebound.,121072,,true,false,false,Tyler,,Ennis,,Syr,,2,7,0,1,0,,,,,0,,,,6,Defensive Rebound,,,,52,52,
1,15,07,Rakeem Christmas makes a layup shot. Michael Gbinije with the assist.,110466,109414,true,true,false,Rakeem,Michael,Christmas,Gbinije,Syr,Syr,4,7,0,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,52,52,
1,14,38,Nolan Cressler misses a jump shot from 13 feet out.,116330,,true,false,false,Nolan,,Cressler,,Cor,,4,7,0,1,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,13,-4.5,12.2,148,148,
1,14,38,Michael Gbinije with a defensive rebound.,109414,,true,false,false,Michael,,Gbinije,,Syr,,4,7,0,1,0,,,,,0,,,,6,Defensive Rebound,,,,52,52,
1,14,19,Tyler Ennis misses a jump shot from 11 feet out.,121072,,true,false,false,Tyler,,Ennis,,Syr,,4,7,0,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,11,1.8,10.6,52,52,
1,14,19,Cor with a defensive rebound.,,,false,false,false,,,,,,,4,7,0,1,0,,,,,0,,,,6,Defensive Rebound,,,,148,148,
1,14,19,Official TV timeout.,,,false,false,false,,,,,,,4,7,0,1,0,,,,,0,,3,Official TV,11,Timeout,,,,52,52,
1,14,09,Devin Cherry with a lost ball turnover: Lost Ball,109730,,true,false,false,Devin,,Cherry,,Cor,,4,7,0,1,0,,,,,0,,2,Lost Ball,7,Turnover,,,,148,148,
1,14,05,Tyler Roberson with a lost ball turnover: Lost Ball,122113,,true,false,false,Tyler,,Roberson,,Syr,,4,7,0,1,0,,,,,0,,2,Lost Ball,7,Turnover,,,,52,52,
1,14,02,Nolan Cressler makes a 3-point jump shot from 24 feet out.,116330,,true,false,false,Nolan,,Cressler,,Cor,,4,10,0,1,0,,,,,5,3,45,Jump Shot,3,Field Goal Made,24,-15.2,18.1,148,148,
1,13,43,Trevor Cooney misses a jump shot from 15 feet out.,110467,,true,false,false,Trevor,,Cooney,,Syr,,4,10,0,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,15,-7,13,52,52,
1,13,43,Michael Gbinije with an offensive rebound.,109414,,true,false,false,Michael,,Gbinije,,Syr,,4,10,0,1,0,,,,,0,,,,5,Offensive Rebound,,,,52,52,
1,13,23,C.J. Fair makes a jump shot from 11 feet out.,97404,,true,false,false,C.J.,,Fair,,Syr,,6,10,0,1,1,,,,,4,2,45,Jump Shot,3,Field Goal Made,11,-3.7,10.1,52,52,
1,13,13,Personal foul committed by Michael Gbinije.,109414,,true,false,false,Michael,,Gbinije,,Syr,,6,10,0,2,1,,,,,0,,1,Personal,8,Foul,,,,52,52,
1,13,07,Darryl Smith misses a jump shot from 4 feet out.,121311,,true,false,false,Darryl,,Smith,,Cor,,6,10,0,2,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,4,2.5,3.6,148,148,
1,13,07,David Onuorah with an offensive rebound.,121310,,true,false,false,David,,Onuorah,,Cor,,6,10,0,2,0,,,,,2,,,,5,Offensive Rebound,,,,148,148,
1,13,07,David Onuorah makes a tip shot from 2 feet out.,121310,,true,false,false,David,,Onuorah,,Cor,,6,12,0,2,0,,,,,4,2,53,Tip Shot,3,Field Goal Made,2,-.6,1.6,148,148,
1,12,46,Personal foul committed by Devin Cherry.,109730,,true,false,false,Devin,,Cherry,,Cor,,6,12,1,2,1,,,,,0,,1,Personal,8,Foul,,,,148,148,
1,12,42,C.J. Fair makes a layup shot.,97404,,true,false,false,C.J.,,Fair,,Syr,,8,12,1,2,1,,,,,6,2,40,Layup Shot,3,Field Goal Made,0,0,0,52,52,
1,12,42,Shooting foul committed by Dwight Tarwater.,98236,,true,false,false,Dwight,,Tarwater,,Cor,,8,12,2,2,1,,,,,0,,2,Shooting,8,Foul,,,,148,148,
1,12,42,C.J. Fair misses free throw 1 of 1.,97404,,true,false,false,C.J.,,Fair,,Syr,,8,12,2,2,1,,,,,6,1,10,Free Throw 1 of 1,2,Free Throw Missed,,,,52,52,
1,12,42,Darryl Smith with a defensive rebound.,121311,,true,false,false,Darryl,,Smith,,Cor,,8,12,2,2,0,,,,,0,,,,6,Defensive Rebound,,,,148,148,
1,12,33,Devin Cherry misses a 3-point jump shot from 23 feet out.,109730,,true,false,false,Devin,,Cherry,,Cor,,8,12,2,2,1,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,22.5,4.3,148,148,
1,12,33,Tyler Ennis with a defensive rebound.,121072,,true,false,false,Tyler,,Ennis,,Syr,,8,12,2,2,0,,,,,0,,,,6,Defensive Rebound,,,,52,52,
1,12,23,C.J. Fair misses a jump shot from 19 feet out.,97404,,true,false,false,C.J.,,Fair,,Syr,,8,12,2,2,1,,,,,6,2,45,Jump Shot,4,Field Goal Missed,19,1.6,18.6,52,52,
1,12,23,Darryl Smith with a defensive rebound.,121311,,true,false,false,Darryl,,Smith,,Cor,,8,12,2,2,0,,,,,0,,,,6,Defensive Rebound,,,,148,148,
1,12,16,Dwight Tarwater misses a 3-point jump shot from 22 feet out.,98236,,true,false,false,Dwight,,Tarwater,,Cor,,8,12,2,2,1,,,,,0,3,45,Jump Shot,4,Field Goal Missed,22,20.8,8.2,148,148,
1,12,16,Tyler Ennis with a defensive rebound.,121072,,true,false,false,Tyler,,Ennis,,Syr,,8,12,2,2,0,,,,,0,,,,6,Defensive Rebound,,,,52,52,
1,12,03,Trevor Cooney makes a layup shot.,110467,,true,false,false,Trevor,,Cooney,,Syr,,10,12,2,2,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,52,52,
1,11,30,Dwight Tarwater misses a 3-point jump shot from 23 feet out.,98236,,true,false,false,Dwight,,Tarwater,,Cor,,10,12,2,2,1,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,22.5,-.4,148,148,
1,11,30,Trevor Cooney with a defensive rebound.,110467,,true,false,false,Trevor,,Cooney,,Syr,,10,12,2,2,0,,,,,2,,,,6,Defensive Rebound,,,,52,52,
