half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,18,18,
1,19,45,Ethan Jacobs misses a jump shot.,97822,,true,false,false,Ethan,,Jacobs,,Colg,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,248,248,
1,19,30,Devin Thomas makes a layup shot.,116010,,true,false,false,Devin,,Thomas,,Wake,,2,0,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,18,18,
1,19,06,Personal foul committed by Codi Miller-McIntyre.,116008,,true,false,false,Codi,,Miller-McIntyre,,Wake,,2,0,0,1,1,,,,,0,,1,Personal,8,Foul,,,,18,18,
1,18,55,Shooting foul committed by Austin Tillotson.,110150,,true,false,false,Austin,,Tillotson,,Colg,,2,0,1,1,1,,,,,0,,2,Shooting,8,Foul,,,,248,248,
1,18,55,Codi Miller-McIntyre misses free throw 1 of 2.,116008,,true,false,false,Codi,,Miller-McIntyre,,Wake,,2,0,1,1,1,,,,,0,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,18,18,
1,18,55,Codi Miller-McIntyre misses free throw 2 of 2.,116008,,true,false,false,Codi,,Miller-McIntyre,,Wake,,2,0,1,1,1,,,,,0,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,18,18,
1,18,40,Ethan Jacobs misses a jump shot.,97822,,true,false,false,Ethan,,Jacobs,,Colg,,2,0,1,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,248,248,
1,18,34,Devin Thomas misses a layup shot.,116010,,true,false,false,Devin,,Thomas,,Wake,,2,0,1,1,0,,,,,2,2,40,Layup Shot,4,Field Goal Missed,,,,18,18,
1,18,24,Austin Tillotson misses a layup shot.,110150,,true,false,false,Austin,,Tillotson,,Colg,,2,0,1,1,1,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,248,248,
1,18,06,Travis McKie misses a 3-point jump shot.,97115,,true,false,false,Travis,,McKie,,Wake,,2,0,1,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,18,18,
1,18,00,Murphy Burnatowski makes a 3-point jump shot.,89240,,true,false,false,Murphy,,Burnatowski,,Colg,,2,3,1,1,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,248,248,
1,17,19,Travis McKie misses a jump shot.,97115,,true,false,false,Travis,,McKie,,Wake,,2,3,1,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,18,18,
1,17,05,Shooting foul committed by Luke Roh.,110526,,true,false,false,Luke,,Roh,,Colg,,2,3,2,1,1,,,,,0,,2,Shooting,8,Foul,,,,248,248,
1,17,05,Tyler Cavanaugh makes free throw 1 of 2.,116013,,true,false,false,Tyler,,Cavanaugh,,Wake,,3,3,2,1,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,18,18,
1,17,05,Tyler Cavanaugh makes free throw 2 of 2.,116013,,true,false,false,Tyler,,Cavanaugh,,Wake,,4,3,2,1,0,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,18,18,
1,17,02,Austin Tillotson makes a layup shot.,110150,,true,false,false,Austin,,Tillotson,,Colg,,4,5,2,1,1,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,248,248,
1,16,55,Travis McKie makes a layup shot.,97115,,true,false,false,Travis,,McKie,,Wake,,6,5,2,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,18,18,
