half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,116,116,
1,19,44,Titus Rubles makes a layup shot.,116785,,true,false,false,Titus,,Rubles,,Cin,,2,0,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,116,116,
1,19,28,T.J. Warren makes a layup shot.,116007,,true,false,false,T.J.,,Warren,,NCSU,,2,2,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,16,16,
1,19,11,Personal foul committed by Kyle Washington.,120608,,true,false,false,Kyle,,Washington,,NCSU,,2,2,1,0,1,,,,,0,,1,Personal,8,Foul,,,,16,16,
1,19,09,Sean Kilpatrick misses a 3-point jump shot.,88656,,true,false,false,Sean,,Kilpatrick,,Cin,,2,2,1,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,116,116,
1,18,28,Justin Jackson misses a jump shot.,97297,,true,false,false,Justin,,Jackson,,Cin,,2,2,1,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,116,116,
1,17,54,Shooting foul committed by T.J. Warren.,116007,,true,false,false,T.J.,,Warren,,NCSU,,2,2,2,0,1,,,,,2,,2,Shooting,8,Foul,,,,16,16,
1,17,54,Titus Rubles misses free throw 1 of 2.,116785,,true,false,false,Titus,,Rubles,,Cin,,2,2,2,0,0,,,,,2,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,116,116,
1,17,54,Titus Rubles misses free throw 2 of 2.,116785,,true,false,false,Titus,,Rubles,,Cin,,2,2,2,0,0,,,,,2,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,116,116,
1,17,41,Desmond Lee misses a layup shot.,97477,,true,false,false,Desmond,,Lee,,NCSU,,2,2,2,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,16,16,
