half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,86,86,
1,19,39,Andrew Wiggins misses a jump shot from 19 feet out.,121907,,true,false,false,Andrew,,Wiggins,,Kansas,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,19,-8.2,16.6,86,86,
1,19,39,Jabari Parker with a defensive rebound.,121033,,true,false,false,Jabari,,Parker,,Duke,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,11,11,
1,19,30,Jabari Parker misses a jump shot from 17 feet out.,121033,,true,false,false,Jabari,,Parker,,Duke,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,17,2,17,11,11,
1,19,30,Tyler Thornton with an offensive rebound.,97330,,true,false,false,Tyler,,Thornton,,Duke,,0,0,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,11,11,
1,19,26,Amile Jefferson makes a jump shot from 4 feet out. Jabari Parker with the assist.,116520,121033,true,true,false,Amile,Jabari,Jefferson,Parker,Duke,Duke,0,2,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,4,1.4,3.6,11,11,
1,19,26,"Shooting foul committed by Wayne Selden, Jr..",121909,,true,false,false,Wayne,,"Selden, Jr.",,Kansas,,0,2,0,1,1,,,,,0,,2,Shooting,8,Foul,,,,86,86,
1,19,26,Amile Jefferson makes free throw 1 of 1.,116520,,true,false,false,Amile,,Jefferson,,Duke,,0,3,0,1,0,,,,,3,1,10,Free Throw 1 of 1,1,Free Throw Made,,,,11,11,
1,19,04,"Wayne Selden, Jr. misses a 3-point jump shot from 25 feet out.",121909,,true,false,false,Wayne,,"Selden, Jr.",,Kansas,,0,3,0,1,1,,,,,0,3,45,Jump Shot,4,Field Goal Missed,25,-17.6,18.1,86,86,
1,19,04,Amile Jefferson with a defensive rebound.,116520,,true,false,false,Amile,,Jefferson,,Duke,,0,3,0,1,0,,,,,3,,,,6,Defensive Rebound,,,,11,11,
1,18,49,Rodney Hood misses a jump shot from 18 feet out.,109781,,true,false,false,Rodney,,Hood,,Duke,,0,3,0,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,18,1.6,17.6,11,11,
1,18,49,"Wayne Selden, Jr. with a defensive rebound.",121909,,true,false,false,Wayne,,"Selden, Jr.",,Kansas,,0,3,0,1,1,,,,,0,,,,6,Defensive Rebound,,,,86,86,
1,18,49,Personal foul committed by Tyler Thornton.,97330,,true,false,false,Tyler,,Thornton,,Duke,,0,3,1,1,1,,,,,0,,1,Personal,8,Foul,,,,11,11,
1,18,28,Naadir Tharpe misses a jump shot from 8 feet out.,110107,,true,false,false,Naadir,,Tharpe,,Kansas,,0,3,1,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,8,6.7,4.7,86,86,
1,18,28,Tyler Thornton with a defensive rebound.,97330,,true,false,false,Tyler,,Thornton,,Duke,,0,3,1,1,1,,,,,0,,,,6,Defensive Rebound,,,,11,11,
1,18,25,Personal foul committed by Tarik Black.,97322,,true,false,false,Tarik,,Black,,Kansas,,0,3,1,2,1,,,,,0,,1,Personal,8,Foul,,,,86,86,
1,18,16,Quinn Cook makes a jump shot from 3 feet out. Tyler Thornton with the assist.,109412,97330,true,true,false,Quinn,Tyler,Cook,Thornton,Duke,Duke,0,5,1,2,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,3,2.3,2.3,11,11,
1,17,40,"Perry Ellis makes a jump shot from 5 feet out. Wayne Selden, Jr. with the assist.",116556,121909,true,true,false,Perry,Wayne,Ellis,"Selden, Jr.",Kansas,Kansas,2,5,1,2,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,5,-3.1,4,86,86,
1,17,24,Personal foul committed by Tarik Black.,97322,,true,false,false,Tarik,,Black,,Kansas,,2,5,1,3,2,,,,,0,,1,Personal,8,Foul,,,,86,86,
1,17,06,Amile Jefferson with a lost ball turnover: Lost Ball,116520,,true,false,false,Amile,,Jefferson,,Duke,,2,5,1,3,0,,,,,3,,2,Lost Ball,7,Turnover,,,,11,11,
1,17,01,Naadir Tharpe with a bad pass turnover: Bad Pass,110107,,true,false,false,Naadir,,Tharpe,,Kansas,,2,5,1,3,0,,,,,0,,1,Bad Pass,7,Turnover,,,,86,86,
1,16,45,Rodney Hood makes a 3-point jump shot from 23 feet out. Quinn Cook with the assist.,109781,109412,true,true,false,Rodney,Quinn,Hood,Cook,Duke,Duke,2,8,1,3,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,-22.7,2.6,11,11,
1,16,33,Perry Ellis misses a jump shot from 8 feet out.,116556,,true,false,false,Perry,,Ellis,,Kansas,,2,8,1,3,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,8,-.9,7.9,86,86,
1,16,33,Jabari Parker with a defensive rebound.,121033,,true,false,false,Jabari,,Parker,,Duke,,2,8,1,3,0,,,,,0,,,,6,Defensive Rebound,,,,11,11,
1,16,24,Quinn Cook misses a 3-point jump shot from 24 feet out.,109412,,true,false,false,Quinn,,Cook,,Duke,,2,8,1,3,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,24,21,11.1,11,11,
1,16,24,Perry Ellis with a defensive rebound.,116556,,true,false,false,Perry,,Ellis,,Kansas,,2,8,1,3,0,,,,,2,,,,6,Defensive Rebound,,,,86,86,
1,16,19,Naadir Tharpe with a lost ball turnover: Lost Ball,110107,,true,false,false,Naadir,,Tharpe,,Kansas,,2,8,1,3,0,,,,,0,,2,Lost Ball,7,Turnover,,,,86,86,
1,16,15,Jabari Parker misses a jump shot from 6 feet out.,121033,,true,false,false,Jabari,,Parker,,Duke,,2,8,1,3,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,6,-4.8,3.5,11,11,
1,16,15,Rodney Hood with an offensive rebound.,109781,,true,false,false,Rodney,,Hood,,Duke,,2,8,1,3,0,,,,,3,,,,5,Offensive Rebound,,,,11,11,
1,16,11,Rodney Hood misses a jump shot from 17 feet out.,109781,,true,false,false,Rodney,,Hood,,Duke,,2,8,1,3,0,,,,,3,2,45,Jump Shot,4,Field Goal Missed,17,1.4,16.6,11,11,
1,16,11,"Wayne Selden, Jr. with a defensive rebound.",121909,,true,false,false,Wayne,,"Selden, Jr.",,Kansas,,2,8,1,3,1,,,,,0,,,,6,Defensive Rebound,,,,86,86,
1,16,02,"Wayne Selden, Jr. makes a 3-point jump shot from 25 feet out. Naadir Tharpe with the assist.",121909,110107,true,true,false,Wayne,Naadir,"Selden, Jr.",Tharpe,Kansas,Kansas,5,8,1,3,1,,,,,3,3,45,Jump Shot,3,Field Goal Made,25,-.9,24.7,86,86,
1,15,46,Personal foul committed by Naadir Tharpe.,110107,,true,false,false,Naadir,,Tharpe,,Kansas,,5,8,1,4,1,,,,,0,,1,Personal,8,Foul,,,,86,86,
1,15,46,Official TV timeout.,,,false,false,false,,,,,,,5,8,1,4,0,,,,,0,,3,Official TV,11,Timeout,,,,86,86,
1,15,43,Quinn Cook makes a jump shot from 7 feet out.,109412,,true,false,false,Quinn,,Cook,,Duke,,5,10,1,4,0,,,,,4,2,45,Jump Shot,3,Field Goal Made,7,2.6,6.9,11,11,
1,15,28,Shooting foul committed by Josh Hairston.,97328,,true,false,false,Josh,,Hairston,,Duke,,5,10,2,4,1,,,,,0,,2,Shooting,8,Foul,,,,11,11,
1,15,16,Naadir Tharpe makes a jump shot from 10 feet out.,110107,,true,false,false,Naadir,,Tharpe,,Kansas,,7,10,2,4,1,,,,,2,2,45,Jump Shot,3,Field Goal Made,10,1.3,9.4,86,86,
1,14,48,Jabari Parker misses a jump shot from 16 feet out.,121033,,true,false,false,Jabari,,Parker,,Duke,,7,10,2,4,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,16,-10.3,12.3,11,11,
1,14,48,Andrew Wiggins with a defensive rebound.,121907,,true,false,false,Andrew,,Wiggins,,Kansas,,7,10,2,4,0,,,,,0,,,,6,Defensive Rebound,,,,86,86,
1,14,42,"Wayne Selden, Jr. with a lost ball turnover: Lost Ball",121909,,true,false,false,Wayne,,"Selden, Jr.",,Kansas,,7,10,2,4,1,,,,,3,,2,Lost Ball,7,Turnover,,,,86,86,
1,14,38,Jabari Parker with a bad pass turnover: Bad Pass,121033,,true,false,false,Jabari,,Parker,,Duke,,7,10,2,4,0,,,,,0,,1,Bad Pass,7,Turnover,,,,11,11,
1,14,21,Personal foul committed by Amile Jefferson.,116520,,true,false,false,Amile,,Jefferson,,Duke,,7,10,3,4,1,,,,,3,,1,Personal,8,Foul,,,,11,11,
1,14,18,Andrew Wiggins makes a jump shot from 5 feet out. Jamari Traylor with the assist.,121907,110112,true,true,false,Andrew,Jamari,Wiggins,Traylor,Kansas,Kansas,9,10,3,4,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,5,-1.8,4.7,86,86,
1,13,43,Rodney Hood misses a jump shot from 6 feet out.,109781,,true,false,false,Rodney,,Hood,,Duke,,9,10,3,4,0,,,,,3,2,45,Jump Shot,4,Field Goal Missed,6,-2.6,5.7,11,11,
1,13,43,Naadir Tharpe with a defensive rebound.,110107,,true,false,false,Naadir,,Tharpe,,Kansas,,9,10,3,4,1,,,,,2,,,,6,Defensive Rebound,,,,86,86,
1,13,38,Jamari Traylor makes a jump shot from 6 feet out. Andrew Wiggins with the assist.,110112,121907,true,true,false,Jamari,Andrew,Traylor,Wiggins,Kansas,Kansas,11,10,3,4,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,6,-1.6,5.5,86,86,
1,13,22,Quinn Cook misses a 3-point jump shot from 25 feet out.,109412,,true,false,false,Quinn,,Cook,,Duke,,11,10,3,4,0,,,,,4,3,45,Jump Shot,4,Field Goal Missed,25,4.5,24.7,11,11,
1,13,22,Kansas with a defensive rebound.,,,false,false,false,,,,,,,11,10,3,4,0,,,,,0,,,,6,Defensive Rebound,,,,86,86,
1,13,06,Andrew Wiggins with a bad pass turnover: Bad Pass,121907,,true,false,false,Andrew,,Wiggins,,Kansas,,11,10,3,4,0,,,,,2,,1,Bad Pass,7,Turnover,,,,86,86,
1,12,55,Personal foul committed by Joel Embiid.,121911,,true,false,false,Joel,,Embiid,,Kansas,,11,10,3,5,1,,,,,0,,1,Personal,8,Foul,,,,86,86,
1,12,39,Alex Murphy misses a 3-point jump shot from 23 feet out.,109413,,true,false,false,Alex,,Murphy,,Duke,,11,10,3,5,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,22.9,4.3,11,11,
1,12,39,Duke with an offensive rebound.,,,false,false,false,,,,,,,11,10,3,5,0,,,,,0,,,,5,Offensive Rebound,,,,11,11,
1,12,35,Tyler Thornton with a lost ball turnover: Lost Ball,97330,,true,false,false,Tyler,,Thornton,,Duke,,11,10,3,5,1,,,,,0,,2,Lost Ball,7,Turnover,,,,11,11,
1,12,34,Shooting foul committed by Rasheed Sulaimon.,116519,,true,false,false,Rasheed,,Sulaimon,,Duke,,11,10,4,5,1,,,,,0,,2,Shooting,8,Foul,,,,11,11,
1,12,34,Frank Mason makes free throw 1 of 2.,121908,,true,false,false,Frank,,Mason,,Kansas,,12,10,4,5,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,86,86,
1,12,34,Frank Mason makes free throw 2 of 2.,121908,,true,false,false,Frank,,Mason,,Kansas,,13,10,4,5,0,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,86,86,
1,12,22,Jabari Parker makes a 3-point jump shot from 27 feet out. Marshall Plumlee with the assist.,121033,109415,true,true,false,Jabari,Marshall,Parker,Plumlee,Duke,Duke,13,13,4,5,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,27,-.8,26.6,11,11,
