half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,17,17,
1,19,30,Treveon Graham makes a layup shot.,110470,,true,false,false,Treveon,,Graham,,VCU,,0,2,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,113,113,
1,19,19,Malcolm Brogdon with a lost ball turnover: Lost Ball,109418,,true,false,false,Malcolm,,Brogdon,,UVa,,0,2,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,17,17,
1,19,04,Juvonte Reddic makes a 3-point jump shot from 22 feet out. Rob Brandenberg with the assist.,97681,97682,true,true,false,Juvonte,Rob,Reddic,Brandenberg,VCU,VCU,0,5,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,22,-22.2,1.1,113,113,
1,18,23,Justin Anderson misses a 3-point jump shot from 26 feet out.,116701,,true,false,false,Justin,,Anderson,,UVa,,0,5,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,26,21.7,14.2,17,17,
1,18,23,Terrance Shannon with a defensive rebound.,88815,,true,false,false,Terrance,,Shannon,,VCU,,0,5,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,113,113,
1,18,02,Briante Weber with a lost ball turnover: Lost Ball,110468,,true,false,false,Briante,,Weber,,VCU,,0,5,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,113,113,
1,17,40,Shooting foul committed by Terrance Shannon.,88815,,true,false,false,Terrance,,Shannon,,VCU,,0,5,1,0,1,,,,,0,,2,Shooting,8,Foul,,,,113,113,
1,17,40,Akil Mitchell makes free throw 1 of 2.,97111,,true,false,false,Akil,,Mitchell,,UVa,,1,5,1,0,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,17,17,
1,17,40,Akil Mitchell makes free throw 2 of 2.,97111,,true,false,false,Akil,,Mitchell,,UVa,,2,5,1,0,0,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,17,17,
1,17,26,Juvonte Reddic with a traveling turnover: Traveling,97681,,true,false,false,Juvonte,,Reddic,,VCU,,2,5,1,0,0,,,,,3,,4,Traveling,7,Turnover,,,,113,113,
1,17,07,Personal foul committed by Rob Brandenberg.,97682,,true,false,false,Rob,,Brandenberg,,VCU,,2,5,2,0,1,,,,,0,,1,Personal,8,Foul,,,,113,113,
1,17,03,Justin Anderson misses a jump shot from 10 feet out.,116701,,true,false,false,Justin,,Anderson,,UVa,,2,5,2,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,10,-.1,9.8,17,17,
1,17,03,Jarred Guest with a defensive rebound.,110471,,true,false,false,Jarred,,Guest,,VCU,,2,5,2,0,0,,,,,0,,,,6,Defensive Rebound,,,,113,113,
