half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,54,54,
1,19,36,Marshall Wood misses a 3-point jump shot.,116704,,true,false,false,Marshall,,Wood,,VaTech,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,54,54,
1,19,30,Cadarian Raines misses a layup shot.,88631,,true,false,false,Cadarian,,Raines,,VaTech,,0,0,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,54,54,
1,19,07,Adam Smith misses a 3-point jump shot.,110601,,true,false,false,Adam,,Smith,,VaTech,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,54,54,
1,18,40,Devin Williams misses a jump shot.,120628,,true,false,false,Devin,,Williams,,WVU,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,55,55,
1,18,34,Kevin Noreen makes a layup shot.,97614,,true,false,false,Kevin,,Noreen,,WVU,,0,2,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,55,55,
1,18,28,Devin Wilson misses a layup shot.,120763,,true,false,false,Devin,,Wilson,,VaTech,,0,2,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,54,54,
1,18,24,Juwan Staten makes a jump shot.,97556,,true,false,false,Juwan,,Staten,,WVU,,0,4,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,55,55,
1,18,24,Shooting foul committed by Adam Smith.,110601,,true,false,false,Adam,,Smith,,VaTech,,0,4,0,1,1,,,,,0,,2,Shooting,8,Foul,,,,54,54,
1,18,24,Juwan Staten makes free throw 1 of 1.,97556,,true,false,false,Juwan,,Staten,,WVU,,0,5,0,1,0,,,,,3,1,10,Free Throw 1 of 1,1,Free Throw Made,,,,55,55,
1,18,03,Cadarian Raines makes a dunk shot.,88631,,true,false,false,Cadarian,,Raines,,VaTech,,2,5,0,1,0,,,,,2,2,48,Dunk Shot,3,Field Goal Made,,,,54,54,
1,17,46,Personal foul committed by Marshall Wood.,116704,,true,false,false,Marshall,,Wood,,VaTech,,2,5,0,2,1,,,,,0,,1,Personal,8,Foul,,,,54,54,
1,17,46,Eron Harris misses a jump shot.,116081,,true,false,false,Eron,,Harris,,WVU,,2,5,0,2,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,55,55,
1,17,14,Marshall Wood misses a jump shot.,116704,,true,false,false,Marshall,,Wood,,VaTech,,2,5,0,2,1,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,54,54,
1,17,08,Personal foul committed by Devin Wilson.,120763,,true,false,false,Devin,,Wilson,,VaTech,,2,5,0,3,1,,,,,0,,1,Personal,8,Foul,,,,54,54,
1,17,06,Eron Harris misses a jump shot.,116081,,true,false,false,Eron,,Harris,,WVU,,2,5,0,3,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,55,55,
1,16,57,Nathan Adrian makes a 3-point jump shot.,120626,,true,false,false,Nathan,,Adrian,,WVU,,2,8,0,3,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,55,55,
1,16,40,Offensive foul committed by Cadarian Raines.,88631,,true,false,false,Cadarian,,Raines,,VaTech,,2,8,0,4,1,,,,,2,,4,Offensive,8,Foul,,,,54,54,
1,16,22,Shooting foul committed by Brandon Watkins.,120627,,true,false,false,Brandon,,Watkins,,WVU,,2,8,1,4,1,,,,,0,,2,Shooting,8,Foul,,,,55,55,
1,16,22,Ben Emelogu makes free throw 1 of 2.,120764,,true,false,false,Ben,,Emelogu,,VaTech,,3,8,1,4,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,54,54,
