half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,18,18,
1,19,37,Codi Miller-McIntyre misses a 3-point jump shot.,116008,,true,false,false,Codi,,Miller-McIntyre,,Wake,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,18,18,
1,19,36,Personal foul committed by Madison Jones.,116009,,true,false,false,Madison,,Jones,,Wake,,0,0,0,1,1,,,,,0,,1,Personal,8,Foul,,,,18,18,
1,19,03,Jordan Weethee misses a 3-point jump shot.,109537,,true,false,false,Jordan,,Weethee,,VMI,,0,0,0,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,274,274,
1,18,55,Craig Hinton misses a 3-point jump shot.,121111,,true,false,false,Craig,,Hinton,,VMI,,0,0,0,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,274,274,
1,18,49,Travis McKie makes a layup shot.,97115,,true,false,false,Travis,,McKie,,Wake,,2,0,0,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,18,18,
1,18,38,QJ Peterson misses a 3-point jump shot.,121110,,true,false,false,QJ,,Peterson,,VMI,,2,0,0,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,274,274,
1,18,31,Craig Hinton misses a jump shot.,121111,,true,false,false,Craig,,Hinton,,VMI,,2,0,0,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,274,274,
1,18,28,Codi Miller-McIntyre makes a layup shot.,116008,,true,false,false,Codi,,Miller-McIntyre,,Wake,,4,0,0,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,18,18,
1,18,11,Jordan Weethee misses a layup shot.,109537,,true,false,false,Jordan,,Weethee,,VMI,,4,0,0,1,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,274,274,
1,17,54,Craig Hinton makes a 3-point jump shot.,121111,,true,false,false,Craig,,Hinton,,VMI,,4,3,0,1,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,274,274,
1,17,43,Tyler Cavanaugh misses a jump shot.,116013,,true,false,false,Tyler,,Cavanaugh,,Wake,,4,3,0,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,18,18,
1,17,37,Codi Miller-McIntyre makes a jump shot.,116008,,true,false,false,Codi,,Miller-McIntyre,,Wake,,6,3,0,1,0,,,,,4,2,45,Jump Shot,3,Field Goal Made,,,,18,18,
1,17,16,Devin Thomas misses a layup shot.,116010,,true,false,false,Devin,,Thomas,,Wake,,6,3,0,1,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,18,18,
1,17,16,Shooting foul committed by D.J. Covington.,97738,,true,false,false,D.J.,,Covington,,VMI,,6,3,1,1,1,,,,,0,,2,Shooting,8,Foul,,,,274,274,
1,17,16,Tyler Cavanaugh makes free throw 1 of 2.,116013,,true,false,false,Tyler,,Cavanaugh,,Wake,,7,3,1,1,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,18,18,
1,17,16,Tyler Cavanaugh misses free throw 2 of 2.,116013,,true,false,false,Tyler,,Cavanaugh,,Wake,,7,3,1,1,0,,,,,1,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,18,18,
1,16,41,Tyler Cavanaugh misses a 3-point jump shot.,116013,,true,false,false,Tyler,,Cavanaugh,,Wake,,7,3,1,1,0,,,,,1,3,45,Jump Shot,4,Field Goal Missed,,,,18,18,
1,16,28,Rodney Glasgow makes a 3-point jump shot.,97739,,true,false,false,Rodney,,Glasgow,,VMI,,7,6,1,1,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,274,274,
1,16,08,Personal foul committed by Jordan Weethee.,109537,,true,false,false,Jordan,,Weethee,,VMI,,7,6,2,1,1,,,,,0,,1,Personal,8,Foul,,,,274,274,
1,15,56,Codi Miller-McIntyre makes a layup shot.,116008,,true,false,false,Codi,,Miller-McIntyre,,Wake,,9,6,2,1,0,,,,,6,2,40,Layup Shot,3,Field Goal Made,,,,18,18,
