half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,257,257,
1,19,34,Charles Mann with a lost ball turnover: Lost Ball,116538,,true,false,false,Charles,,Mann,,UGa,,0,0,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,257,257,
1,19,28,Marcus Georges-Hunt misses a layup shot.,116540,,true,false,false,Marcus,,Georges-Hunt,,GaTech,,0,0,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,13,13,
1,19,28,Cameron Forte with a defensive rebound.,110822,,true,false,false,Cameron,,Forte,,UGa,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,257,257,
1,19,20,Offensive foul committed by Charles Mann.,116538,,true,false,false,Charles,,Mann,,UGa,,0,0,0,1,1,,,,,0,,4,Offensive,8,Foul,,,,257,257,
1,19,20,Charles Mann with a  turnover:,116538,,true,false,false,Charles,,Mann,,UGa,,0,0,0,1,1,,,,,0,,,,7,Turnover,,,,257,257,
1,18,58,Solomon Poole misses a 3-point jump shot from 23 feet out.,120442,,true,false,false,Solomon,,Poole,,GaTech,,0,0,0,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,20.8,8.9,13,13,
1,18,58,Cameron Forte with a defensive rebound.,110822,,true,false,false,Cameron,,Forte,,UGa,,0,0,0,1,0,,,,,0,,,,6,Defensive Rebound,,,,257,257,
1,18,45,Shooting foul committed by Marcus Georges-Hunt.,116540,,true,false,false,Marcus,,Georges-Hunt,,GaTech,,0,0,1,1,1,,,,,0,,2,Shooting,8,Foul,,,,13,13,
1,18,45,Cameron Forte makes free throw 1 of 2.,110822,,true,false,false,Cameron,,Forte,,UGa,,1,0,1,1,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,257,257,
1,18,45,Cameron Forte makes free throw 2 of 2.,110822,,true,false,false,Cameron,,Forte,,UGa,,2,0,1,1,0,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,257,257,
1,18,30,Shooting foul committed by Nemanja Djurisic.,109771,,true,false,false,Nemanja,,Djurisic,,UGa,,2,0,1,2,1,,,,,0,,2,Shooting,8,Foul,,,,257,257,
1,18,30,Marcus Georges-Hunt makes free throw 1 of 2.,116540,,true,false,false,Marcus,,Georges-Hunt,,GaTech,,2,1,1,2,1,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,13,13,
1,18,30,Marcus Georges-Hunt makes free throw 2 of 2.,116540,,true,false,false,Marcus,,Georges-Hunt,,GaTech,,2,2,1,2,1,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,13,13,
1,18,16,"Personal foul committed by Robert Carter, Jr..",116541,,true,false,false,Robert,,"Carter, Jr.",,GaTech,,2,2,2,2,1,,,,,0,,1,Personal,8,Foul,,,,13,13,
1,17,54,"Personal foul committed by Robert Carter, Jr..",116541,,true,false,false,Robert,,"Carter, Jr.",,GaTech,,2,2,3,2,2,,,,,0,,1,Personal,8,Foul,,,,13,13,
1,17,42,J.J. Frazier misses a 3-point jump shot from 23 feet out.,120719,,true,false,false,J.J.,,Frazier,,UGa,,2,2,3,2,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-19,13,257,257,
1,17,42,Kammeon Holsey with a defensive rebound.,88210,,true,false,false,Kammeon,,Holsey,,GaTech,,2,2,3,2,0,,,,,0,,,,6,Defensive Rebound,,,,13,13,
1,17,36,Shooting foul committed by Donte' Williams.,97169,,true,false,false,Donte',,Williams,,UGa,,2,2,3,3,1,,,,,0,,2,Shooting,8,Foul,,,,257,257,
1,17,36,Marcus Georges-Hunt makes free throw 1 of 2.,116540,,true,false,false,Marcus,,Georges-Hunt,,GaTech,,2,3,3,3,1,,,,,3,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,13,13,
1,17,36,Marcus Georges-Hunt makes free throw 2 of 2.,116540,,true,false,false,Marcus,,Georges-Hunt,,GaTech,,2,4,3,3,1,,,,,4,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,13,13,
1,17,07,J.J. Frazier misses a jump shot from 16 feet out.,120719,,true,false,false,J.J.,,Frazier,,UGa,,2,4,3,3,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,16,7.4,13.7,257,257,
1,17,07,Donte' Williams with an offensive rebound.,97169,,true,false,false,Donte',,Williams,,UGa,,2,4,3,3,1,,,,,0,,,,5,Offensive Rebound,,,,257,257,
1,17,05,Donte' Williams makes a layup shot.,97169,,true,false,false,Donte',,Williams,,UGa,,4,4,3,3,1,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,257,257,
1,17,01,Kammeon Holsey with a bad pass turnover: Bad Pass,88210,,true,false,false,Kammeon,,Holsey,,GaTech,,4,4,3,3,0,,,,,0,,1,Bad Pass,7,Turnover,,,,13,13,
1,16,48,Kenny Gaines misses a 3-point jump shot from 23 feet out.,116536,,true,false,false,Kenny,,Gaines,,UGa,,4,4,3,3,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,2.1,23,257,257,
1,16,48,Daniel Miller with a defensive rebound.,88211,,true,false,false,Daniel,,Miller,,GaTech,,4,4,3,3,0,,,,,0,,,,6,Defensive Rebound,,,,13,13,
1,16,36,Solomon Poole misses a 3-point jump shot from 25 feet out.,120442,,true,false,false,Solomon,,Poole,,GaTech,,4,4,3,3,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,25,-18.5,16.2,13,13,
1,16,36,Kenny Gaines with a defensive rebound.,116536,,true,false,false,Kenny,,Gaines,,UGa,,4,4,3,3,0,,,,,0,,,,6,Defensive Rebound,,,,257,257,
1,16,28,Kenny Gaines misses a 3-point jump shot from 24 feet out.,116536,,true,false,false,Kenny,,Gaines,,UGa,,4,4,3,3,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,-18.1,16.4,257,257,
1,16,28,Kammeon Holsey with a defensive rebound.,88210,,true,false,false,Kammeon,,Holsey,,GaTech,,4,4,3,3,0,,,,,0,,,,6,Defensive Rebound,,,,13,13,
1,16,22,Trae Golden makes a layup shot.,97522,,true,false,false,Trae,,Golden,,GaTech,,4,6,3,3,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,13,13,
1,16,02,Tim Dixon with a lost ball turnover: Lost Ball,109770,,true,false,false,Tim,,Dixon,,UGa,,4,6,3,3,0,,,,,0,,2,Lost Ball,7,Turnover,,,,257,257,
1,15,56,Marcus Georges-Hunt misses a layup shot.,116540,,true,false,false,Marcus,,Georges-Hunt,,GaTech,,4,6,3,3,1,,,,,4,2,40,Layup Shot,4,Field Goal Missed,0,0,0,13,13,
1,15,56,Kammeon Holsey with an offensive rebound.,88210,,true,false,false,Kammeon,,Holsey,,GaTech,,4,6,3,3,0,,,,,0,,,,5,Offensive Rebound,,,,13,13,
