half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,268,268,
1,19,48,Chris Czerapowicz misses a 3-point jump shot from 25 feet out.,98242,,true,false,false,Chris,,Czerapowicz,,Dav,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,25,18.6,16.7,268,268,
1,19,48,Malcolm Brogdon with a defensive rebound.,109418,,true,false,false,Malcolm,,Brogdon,,UVa,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,17,17,
1,19,38,Akil Mitchell with a traveling turnover: Traveling,97111,,true,false,false,Akil,,Mitchell,,UVa,,0,0,0,0,0,,,,,0,,4,Traveling,7,Turnover,,,,17,17,
1,19,26,Personal foul committed by Joe Harris.,97108,,true,false,false,Joe,,Harris,,UVa,,0,0,1,0,1,,,,,0,,1,Personal,8,Foul,,,,17,17,
1,19,10,De'Mon Brooks misses a layup shot.,98240,,true,false,false,De'Mon,,Brooks,,Dav,,0,0,1,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,268,268,
1,19,10,Chris Czerapowicz with an offensive rebound.,98242,,true,false,false,Chris,,Czerapowicz,,Dav,,0,0,1,0,0,,,,,0,,,,5,Offensive Rebound,,,,268,268,
1,19,05,Tom Droney misses a 3-point jump shot from 23 feet out.,98239,,true,false,false,Tom,,Droney,,Dav,,0,0,1,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,13.4,19.3,268,268,
1,19,05,Malcolm Brogdon with a defensive rebound.,109418,,true,false,false,Malcolm,,Brogdon,,UVa,,0,0,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,17,17,
1,19,03,Personal foul committed by Chris Czerapowicz.,98242,,true,false,false,Chris,,Czerapowicz,,Dav,,0,0,1,1,1,,,,,0,,1,Personal,8,Foul,,,,268,268,
