half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,52,52,
1,19,37,C.J. Fair makes a jump shot from 20 feet out.,97404,,true,false,false,C.J.,,Fair,,Syr,,2,0,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,20,-3.5,19.6,52,52,
1,19,00,Colg with a turnover: Shot Clock Turnover,,,false,false,false,,,,,,,2,0,0,0,0,,,,,0,,11,Shot Clock Turnover,7,Turnover,,,,248,248,
1,18,39,C.J. Fair misses a jump shot from 19 feet out.,97404,,true,false,false,C.J.,,Fair,,Syr,,2,0,0,0,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,19,19.3,.1,52,52,
1,18,39,Austin Tillotson with a defensive rebound.,110150,,true,false,false,Austin,,Tillotson,,Colg,,2,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,248,248,
1,18,25,Pat Moore misses a 3-point jump shot from 25 feet out.,98232,,true,false,false,Pat,,Moore,,Colg,,2,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,25,-.3,24.7,248,248,
1,18,25,Syr with a defensive rebound.,,,false,false,false,,,,,,,2,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,52,52,
1,18,06,C.J. Fair makes a 3-point jump shot from 23 feet out. Rakeem Christmas with the assist.,97404,110466,true,true,false,C.J.,Rakeem,Fair,Christmas,Syr,Syr,5,0,0,0,0,,,,,5,3,45,Jump Shot,3,Field Goal Made,23,21.3,9.8,52,52,
1,17,30,Pat Moore makes a 3-point jump shot from 26 feet out. Austin Tillotson with the assist.,98232,110150,true,true,false,Pat,Austin,Moore,Tillotson,Colg,Colg,5,3,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,26,-6.7,24.9,248,248,
1,17,16,C.J. Fair with a out of bounds turnover: Out of Bounds,97404,,true,false,false,C.J.,,Fair,,Syr,,5,3,0,0,0,,,,,5,,3,Out of Bounds,7,Turnover,,,,52,52,
1,16,46,Ethan Jacobs misses a 3-point jump shot from 22 feet out.,97822,,true,false,false,Ethan,,Jacobs,,Colg,,5,3,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,22,22.4,-.3,248,248,
1,16,46,DaJuan Coleman with a defensive rebound.,116756,,true,false,false,DaJuan,,Coleman,,Syr,,5,3,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,52,52,
1,16,35,Tyler Ennis misses a layup shot.,121072,,true,false,false,Tyler,,Ennis,,Syr,,5,3,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,52,52,
1,16,35,Luke Roh with a defensive rebound.,110526,,true,false,false,Luke,,Roh,,Colg,,5,3,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,248,248,
1,16,31,Pat Moore misses a 3-point jump shot from 24 feet out.,98232,,true,false,false,Pat,,Moore,,Colg,,5,3,0,0,0,,,,,3,3,45,Jump Shot,4,Field Goal Missed,24,1.1,24.2,248,248,
1,16,31,Ethan Jacobs with an offensive rebound.,97822,,true,false,false,Ethan,,Jacobs,,Colg,,5,3,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,248,248,
1,16,26,Ethan Jacobs makes a layup shot.,97822,,true,false,false,Ethan,,Jacobs,,Colg,,5,5,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,248,248,
1,16,10,Trevor Cooney misses a 3-point jump shot from 25 feet out.,110467,,true,false,false,Trevor,,Cooney,,Syr,,5,5,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,25,4.7,24.4,52,52,
1,16,10,Rakeem Christmas with an offensive rebound.,110466,,true,false,false,Rakeem,,Christmas,,Syr,,5,5,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,52,52,
1,15,59,C.J. Fair misses a jump shot from 18 feet out.,97404,,true,false,false,C.J.,,Fair,,Syr,,5,5,0,0,0,,,,,5,2,45,Jump Shot,4,Field Goal Missed,18,9.9,14.5,52,52,
1,15,59,Austin Tillotson with a defensive rebound.,110150,,true,false,false,Austin,,Tillotson,,Colg,,5,5,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,248,248,
1,15,32,Shooting foul committed by DaJuan Coleman.,116756,,true,false,false,DaJuan,,Coleman,,Syr,,5,5,0,1,1,,,,,0,,2,Shooting,8,Foul,,,,52,52,
1,15,32,Official's timeout.,,,false,false,false,,,,,,,5,5,0,1,0,,,,,0,,4,Official,11,Timeout,,,,52,52,
1,15,32,Ethan Jacobs makes free throw 1 of 2.,97822,,true,false,false,Ethan,,Jacobs,,Colg,,5,6,0,1,0,,,,,3,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,248,248,
1,15,32,Ethan Jacobs makes free throw 2 of 2.,97822,,true,false,false,Ethan,,Jacobs,,Colg,,5,7,0,1,0,,,,,4,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,248,248,
1,15,09,Jerami Grant misses a jump shot from 5 feet out.,116757,,true,false,false,Jerami,,Grant,,Syr,,5,7,0,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,5,-3.1,4.2,52,52,
1,15,09,Syr with an offensive rebound.,,,false,false,false,,,,,,,5,7,0,1,0,,,,,0,,,,5,Offensive Rebound,,,,52,52,
1,15,03,Jerami Grant misses a 3-point jump shot from 23 feet out.,116757,,true,false,false,Jerami,,Grant,,Syr,,5,7,0,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-14,18.8,52,52,
1,15,03,Pat Moore with a defensive rebound.,98232,,true,false,false,Pat,,Moore,,Colg,,5,7,0,1,0,,,,,3,,,,6,Defensive Rebound,,,,248,248,
1,14,38,Murphy Burnatowski makes a jump shot from 20 feet out. Austin Tillotson with the assist.,89240,110150,true,true,false,Murphy,Austin,Burnatowski,Tillotson,Colg,Colg,5,9,0,1,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,20,-10,17,248,248,
1,14,22,Personal foul committed by Clayton Graham.,111485,,true,false,false,Clayton,,Graham,,Colg,,5,9,1,1,1,,,,,0,,1,Personal,8,Foul,,,,248,248,
1,14,14,Shooting foul committed by Damon Sherman-Newsome.,117181,,true,false,false,Damon,,Sherman-Newsome,,Colg,,5,9,2,1,1,,,,,0,,2,Shooting,8,Foul,,,,248,248,
1,14,14,Trevor Cooney misses free throw 1 of 3.,110467,,true,false,false,Trevor,,Cooney,,Syr,,5,9,2,1,0,,,,,0,1,13,Free Throw 1 of 3,2,Free Throw Missed,,,,52,52,
1,14,14,Syr with an offensive rebound.,,,false,false,false,,,,,,,5,9,2,1,0,,,,,0,,,,5,Offensive Rebound,,,,52,52,
1,14,14,Trevor Cooney makes free throw 2 of 3.,110467,,true,false,false,Trevor,,Cooney,,Syr,,6,9,2,1,0,,,,,1,1,14,Free Throw 2 of 3,1,Free Throw Made,,,,52,52,
1,14,14,Trevor Cooney makes free throw 3 of 3.,110467,,true,false,false,Trevor,,Cooney,,Syr,,7,9,2,1,0,,,,,2,1,15,Free Throw 3 of 3,1,Free Throw Made,,,,52,52,
1,14,02,Clayton Graham with a bad pass turnover: Bad Pass,111485,,true,false,false,Clayton,,Graham,,Colg,,7,9,2,1,1,,,,,0,,1,Bad Pass,7,Turnover,,,,248,248,
1,13,50,Michael Gbinije misses a jump shot from 19 feet out.,109414,,true,false,false,Michael,,Gbinije,,Syr,,7,9,2,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,19,-10.5,16.4,52,52,
1,13,50,Damon Sherman-Newsome with a defensive rebound.,117181,,true,false,false,Damon,,Sherman-Newsome,,Colg,,7,9,2,1,1,,,,,0,,,,6,Defensive Rebound,,,,248,248,
1,13,30,Pat Moore makes a 3-point jump shot from 22 feet out. Damon Sherman-Newsome with the assist.,98232,117181,true,true,false,Pat,Damon,Moore,Sherman-Newsome,Colg,Colg,7,12,2,1,0,,,,,6,3,45,Jump Shot,3,Field Goal Made,22,-22,0,248,248,
1,13,12,Jerami Grant misses a jump shot from 11 feet out.,116757,,true,false,false,Jerami,,Grant,,Syr,,7,12,2,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,11,10.5,4.3,52,52,
1,13,12,C.J. Fair with an offensive rebound.,97404,,true,false,false,C.J.,,Fair,,Syr,,7,12,2,1,0,,,,,5,,,,5,Offensive Rebound,,,,52,52,
1,13,06,C.J. Fair makes a layup shot.,97404,,true,false,false,C.J.,,Fair,,Syr,,9,12,2,1,0,,,,,7,2,40,Layup Shot,3,Field Goal Made,0,0,0,52,52,
1,12,33,Clayton Graham misses a jump shot from 18 feet out.,111485,,true,false,false,Clayton,,Graham,,Colg,,9,12,2,1,1,,,,,0,2,45,Jump Shot,4,Field Goal Missed,18,-11.8,13.5,248,248,
1,12,33,Michael Gbinije with a defensive rebound.,109414,,true,false,false,Michael,,Gbinije,,Syr,,9,12,2,1,0,,,,,0,,,,6,Defensive Rebound,,,,52,52,
1,12,33,Personal foul committed by Murphy Burnatowski.,89240,,true,false,false,Murphy,,Burnatowski,,Colg,,9,12,3,1,1,,,,,2,,1,Personal,8,Foul,,,,248,248,
1,12,19,Shooting foul committed by Murphy Burnatowski.,89240,,true,false,false,Murphy,,Burnatowski,,Colg,,9,12,4,1,2,,,,,2,,2,Shooting,8,Foul,,,,248,248,
1,12,19,Jerami Grant misses free throw 1 of 2.,116757,,true,false,false,Jerami,,Grant,,Syr,,9,12,4,1,0,,,,,0,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,52,52,
1,12,19,Syr with an offensive rebound.,,,false,false,false,,,,,,,9,12,4,1,0,,,,,0,,,,5,Offensive Rebound,,,,52,52,
1,12,19,Jerami Grant misses free throw 2 of 2.,116757,,true,false,false,Jerami,,Grant,,Syr,,9,12,4,1,0,,,,,0,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,52,52,
1,12,19,Damon Sherman-Newsome with a defensive rebound.,117181,,true,false,false,Damon,,Sherman-Newsome,,Colg,,9,12,4,1,1,,,,,0,,,,6,Defensive Rebound,,,,248,248,
