half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,42,42,
1,19,41,Shooting foul committed by Ryan Anderson.,110082,,true,false,false,Ryan,,Anderson,,BC,,0,0,0,1,1,,,,,0,,2,Shooting,8,Foul,,,,42,42,
1,19,41,Justin Raffington makes free throw 1 of 2.,97264,,true,false,false,Justin,,Raffington,,FlaAtl,,0,1,0,1,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,21,21,
1,19,41,Justin Raffington makes free throw 2 of 2.,97264,,true,false,false,Justin,,Raffington,,FlaAtl,,0,2,0,1,0,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,21,21,
1,19,15,Justin Raffington makes a dunk shot.,97264,,true,false,false,Justin,,Raffington,,FlaAtl,,0,4,0,1,0,,,,,4,2,48,Dunk Shot,3,Field Goal Made,,,,21,21,
1,18,58,Personal foul committed by Richard Morrow.,120248,,true,false,false,Richard,,Morrow,,FlaAtl,,0,4,1,1,1,,,,,0,,1,Personal,8,Foul,,,,21,21,
1,18,42,Ryan Anderson misses a jump shot.,110082,,true,false,false,Ryan,,Anderson,,BC,,0,4,1,1,1,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,42,42,
1,18,10,Ryan Anderson misses a layup shot.,110082,,true,false,false,Ryan,,Anderson,,BC,,0,4,1,1,1,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,42,42,
1,18,09,Personal foul committed by Garland Owens.,120748,,true,false,false,Garland,,Owens,,BC,,0,4,1,2,1,,,,,0,,1,Personal,8,Foul,,,,42,42,
1,17,52,Pablo Bertone misses a jump shot.,98277,,true,false,false,Pablo,,Bertone,,FlaAtl,,0,4,1,2,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,21,21,
1,17,35,Garland Owens misses a 3-point jump shot.,120748,,true,false,false,Garland,,Owens,,BC,,0,4,1,2,1,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,42,42,
1,17,22,Joe Rahon misses a layup shot.,116004,,true,false,false,Joe,,Rahon,,BC,,0,4,1,2,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,42,42,
1,17,11,Pablo Bertone makes a 3-point jump shot.,98277,,true,false,false,Pablo,,Bertone,,FlaAtl,,0,7,1,2,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,21,21,
1,16,45,Shooting foul committed by Justin Raffington.,97264,,true,false,false,Justin,,Raffington,,FlaAtl,,0,7,2,2,1,,,,,4,,2,Shooting,8,Foul,,,,21,21,
1,16,45,Patrick Heckmann makes free throw 1 of 2.,110086,,true,false,false,Patrick,,Heckmann,,BC,,1,7,2,2,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,42,42,
1,16,45,Patrick Heckmann makes free throw 2 of 2.,110086,,true,false,false,Patrick,,Heckmann,,BC,,2,7,2,2,0,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,42,42,
1,16,29,Pablo Bertone makes a layup shot.,98277,,true,false,false,Pablo,,Bertone,,FlaAtl,,2,9,2,2,0,,,,,5,2,40,Layup Shot,3,Field Goal Made,,,,21,21,
1,16,10,Shooting foul committed by Justin Raffington.,97264,,true,false,false,Justin,,Raffington,,FlaAtl,,2,9,3,2,2,,,,,4,,2,Shooting,8,Foul,,,,21,21,
1,16,10,Patrick Heckmann makes free throw 1 of 2.,110086,,true,false,false,Patrick,,Heckmann,,BC,,3,9,3,2,0,,,,,3,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,42,42,
1,16,10,Patrick Heckmann makes free throw 2 of 2.,110086,,true,false,false,Patrick,,Heckmann,,BC,,4,9,3,2,0,,,,,4,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,42,42,
1,15,43,Dragan Sekelja misses a hook shot.,88701,,true,false,false,Dragan,,Sekelja,,FlaAtl,,4,9,3,2,0,,,,,0,2,55,Hook Shot,4,Field Goal Missed,,,,21,21,
1,15,18,Official TV timeout.,,,false,false,false,,,,,,,4,9,3,2,0,,,,,0,,3,Official TV,11,Timeout,,,,42,42,
