half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,10,10,
1,19,34,Rod Hall misses a layup shot.,110088,,true,false,false,Rod,,Hall,,Clem,,0,0,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,10,10,
1,18,24,Duane Notice misses a layup shot.,120737,,true,false,false,Duane,,Notice,,SC,,0,0,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,262,262,
1,18,10,Rod Hall makes a jump shot.,110088,,true,false,false,Rod,,Hall,,Clem,,2,0,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,10,10,
1,17,58,Demetrius Henry makes a layup shot.,120735,,true,false,false,Demetrius,,Henry,,SC,,2,2,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,262,262,
1,17,45,Jaron Blossomgame misses a jump shot.,116770,,true,false,false,Jaron,,Blossomgame,,Clem,,2,2,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,10,10,
1,17,42,Landry Nnoko makes a layup shot.,116772,,true,false,false,Landry,,Nnoko,,Clem,,4,2,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,10,10,
1,17,35,Personal foul committed by Landry Nnoko.,116772,,true,false,false,Landry,,Nnoko,,Clem,,4,2,0,1,1,,,,,2,,1,Personal,8,Foul,,,,10,10,
1,17,24,Michael Carrera makes a jump shot.,116923,,true,false,false,Michael,,Carrera,,SC,,4,4,0,1,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,262,262,
1,16,48,Michael Carrera misses a jump shot.,116923,,true,false,false,Michael,,Carrera,,SC,,4,4,0,1,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,,,,262,262,
