half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,14,14,
1,19,33,Devon Collier misses a jump shot.,97648,,true,false,false,Devon,,Collier,,OreSt,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,239,239,
1,19,09,Roberto Nelson makes a jump shot.,88863,,true,false,false,Roberto,,Nelson,,OreSt,,0,2,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,239,239,
1,18,44,Nick Faust misses a 3-point jump shot.,110907,,true,false,false,Nick,,Faust,,MD,,0,2,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,14,14,
1,18,18,Roberto Nelson misses a jump shot.,88863,,true,false,false,Roberto,,Nelson,,OreSt,,0,2,0,0,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,,,,239,239,
1,17,53,Nick Faust misses a jump shot.,110907,,true,false,false,Nick,,Faust,,MD,,0,2,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,14,14,
1,17,48,Nick Faust makes a jump shot.,110907,,true,false,false,Nick,,Faust,,MD,,2,2,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,14,14,
1,17,44,Victor Robbins misses a jump shot.,116612,,true,false,false,Victor,,Robbins,,OreSt,,2,2,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,239,239,
1,17,44,Personal foul committed by Shaquille Cleare.,116734,,true,false,false,Shaquille,,Cleare,,MD,,2,2,0,1,1,,,,,0,,1,Personal,8,Foul,,,,14,14,
1,17,42,Shooting foul committed by Evan Smotrycz.,97334,,true,false,false,Evan,,Smotrycz,,MD,,2,2,0,2,1,,,,,0,,2,Shooting,8,Foul,,,,14,14,
1,17,42,Devon Collier misses free throw 1 of 2.,97648,,true,false,false,Devon,,Collier,,OreSt,,2,2,0,2,0,,,,,0,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,239,239,
1,17,42,Devon Collier misses free throw 2 of 2.,97648,,true,false,false,Devon,,Collier,,OreSt,,2,2,0,2,0,,,,,0,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,239,239,
1,17,33,Personal foul committed by Angus Brandt.,88859,,true,false,false,Angus,,Brandt,,OreSt,,2,2,1,2,1,,,,,0,,1,Personal,8,Foul,,,,239,239,
1,17,28,Jake Layman misses a 3-point jump shot.,116731,,true,false,false,Jake,,Layman,,MD,,2,2,1,2,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,14,14,
