half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,46,46,
1,19,46,Eric Atkins makes a jump shot from 19 feet out. Pat Connaughton with the assist.,97478,109491,true,true,false,Eric,Pat,Atkins,Connaughton,ND,ND,2,0,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,19,-19,3,46,46,
1,19,25,Justin Gant misses a jump shot from 10 feet out.,109834,,true,false,false,Justin,,Gant,,InSt,,2,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,10,-.1,10.4,201,201,
1,19,25,Pat Connaughton with a defensive rebound.,109491,,true,false,false,Pat,,Connaughton,,ND,,2,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,46,46,
1,19,04,Shooting foul committed by Demetrius Moore.,120904,,true,false,false,Demetrius,,Moore,,InSt,,2,0,1,0,1,,,,,0,,2,Shooting,8,Foul,,,,201,201,
1,19,04,Pat Connaughton misses free throw 1 of 2.,109491,,true,false,false,Pat,,Connaughton,,ND,,2,0,1,0,0,,,,,0,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,46,46,
1,19,04,ND with an offensive rebound.,,,false,false,false,,,,,,,2,0,1,0,0,,,,,0,,,,5,Offensive Rebound,,,,46,46,
1,19,04,Pat Connaughton makes free throw 2 of 2.,109491,,true,false,false,Pat,,Connaughton,,ND,,3,0,1,0,0,,,,,1,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,46,46,
1,18,49,Justin Gant misses a jump shot from 16 feet out.,109834,,true,false,false,Justin,,Gant,,InSt,,3,0,1,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,16,-15.7,4,201,201,
1,18,49,Demetrius Moore with an offensive rebound.,120904,,true,false,false,Demetrius,,Moore,,InSt,,3,0,1,0,1,,,,,0,,,,5,Offensive Rebound,,,,201,201,
1,18,44,Justin Gant misses a 3-point jump shot from 21 feet out.,109834,,true,false,false,Justin,,Gant,,InSt,,3,0,1,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,21,-18,10,201,201,
1,18,44,ND with a defensive rebound.,,,false,false,false,,,,,,,3,0,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,46,46,
1,18,44,Personal foul committed by Manny Arop.,88920,,true,false,false,Manny,,Arop,,InSt,,3,0,2,0,1,,,,,0,,1,Personal,8,Foul,,,,201,201,
1,18,31,Garrick Sherman with a traveling turnover: Traveling,88941,,true,false,false,Garrick,,Sherman,,ND,,3,0,2,0,0,,,,,0,,4,Traveling,7,Turnover,,,,46,46,
1,18,06,Demetrius Moore makes a jump shot from 18 feet out. Jake Odum with the assist.,120904,88499,true,true,false,Demetrius,Jake,Moore,Odum,InSt,InSt,3,2,2,0,1,,,,,2,2,45,Jump Shot,3,Field Goal Made,18,17.8,4,201,201,
1,17,59,Garrick Sherman makes a hook shot from 6 feet out.,88941,,true,false,false,Garrick,,Sherman,,ND,,5,2,2,0,0,,,,,2,2,55,Hook Shot,3,Field Goal Made,6,-2.6,5.7,46,46,
1,17,36,Manny Arop misses a 3-point jump shot from 23 feet out.,88920,,true,false,false,Manny,,Arop,,InSt,,5,2,2,0,1,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-13.4,19.3,201,201,
1,17,36,Garrick Sherman with a defensive rebound.,88941,,true,false,false,Garrick,,Sherman,,ND,,5,2,2,0,0,,,,,2,,,,6,Defensive Rebound,,,,46,46,
1,17,25,Garrick Sherman with a traveling turnover: Traveling,88941,,true,false,false,Garrick,,Sherman,,ND,,5,2,2,0,0,,,,,2,,4,Traveling,7,Turnover,,,,46,46,
1,17,07,Justin Gant makes a layup shot.,109834,,true,false,false,Justin,,Gant,,InSt,,5,4,2,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,201,201,
1,16,42,Garrick Sherman with a lost ball turnover: Lost Ball,88941,,true,false,false,Garrick,,Sherman,,ND,,5,4,2,0,0,,,,,2,,2,Lost Ball,7,Turnover,,,,46,46,
1,16,33,Manny Arop makes a 3-point jump shot from 23 feet out. Justin Gant with the assist.,88920,109834,true,true,false,Manny,Justin,Arop,Gant,InSt,InSt,5,7,2,0,1,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,13.9,19,201,201,
1,16,10,Eric Atkins misses a jump shot from 9 feet out.,97478,,true,false,false,Eric,,Atkins,,ND,,5,7,2,0,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,9,-1.1,8.7,46,46,
1,16,10,Jake Odum with a defensive rebound.,88499,,true,false,false,Jake,,Odum,,InSt,,5,7,2,0,0,,,,,0,,,,6,Defensive Rebound,,,,201,201,
1,16,05,Jake Odum misses a layup shot.,88499,,true,false,false,Jake,,Odum,,InSt,,5,7,2,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,201,201,
1,16,05,Pat Connaughton with a defensive rebound.,109491,,true,false,false,Pat,,Connaughton,,ND,,5,7,2,0,0,,,,,1,,,,6,Defensive Rebound,,,,46,46,
1,15,59,Pat Connaughton with a lost ball turnover: Lost Ball,109491,,true,false,false,Pat,,Connaughton,,ND,,5,7,2,0,0,,,,,1,,2,Lost Ball,7,Turnover,,,,46,46,
1,15,56,Dawon Cummings misses a layup shot.,116402,,true,false,false,Dawon,,Cummings,,InSt,,5,7,2,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,201,201,
1,15,56,Jake Odum with an offensive rebound.,88499,,true,false,false,Jake,,Odum,,InSt,,5,7,2,0,0,,,,,0,,,,5,Offensive Rebound,,,,201,201,
1,15,56,Jake Odum with a traveling turnover: Traveling,88499,,true,false,false,Jake,,Odum,,InSt,,5,7,2,0,0,,,,,0,,4,Traveling,7,Turnover,,,,201,201,
1,15,56,Official's timeout.,,,false,false,false,,,,,,,5,7,2,0,0,,,,,0,,4,Official,11,Timeout,,,,46,46,
1,15,18,Jerian Grant misses a jump shot from 18 feet out.,97480,,true,false,false,Jerian,,Grant,,ND,,5,7,2,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,18,-15.6,8.4,46,46,
1,15,18,Jake Odum with a defensive rebound.,88499,,true,false,false,Jake,,Odum,,InSt,,5,7,2,0,0,,,,,0,,,,6,Defensive Rebound,,,,201,201,
1,14,50,Offensive foul committed by Manny Arop.,88920,,true,false,false,Manny,,Arop,,InSt,,5,7,3,0,2,,,,,3,,4,Offensive,8,Foul,,,,201,201,
1,14,50,Manny Arop with a  turnover:,88920,,true,false,false,Manny,,Arop,,InSt,,5,7,3,0,2,,,,,3,,,,7,Turnover,,,,201,201,
1,14,38,Eric Atkins misses a layup shot.,97478,,true,false,false,Eric,,Atkins,,ND,,5,7,3,0,0,,,,,2,2,40,Layup Shot,4,Field Goal Missed,0,0,0,46,46,
1,14,38,Khristian Smith with a defensive rebound.,116404,,true,false,false,Khristian,,Smith,,InSt,,5,7,3,0,0,,,,,0,,,,6,Defensive Rebound,,,,201,201,
1,14,26,Khristian Smith misses a jump shot from 18 feet out.,116404,,true,false,false,Khristian,,Smith,,InSt,,5,7,3,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,18,-16.9,6.9,201,201,
1,14,26,Zach Auguste with a defensive rebound.,116591,,true,false,false,Zach,,Auguste,,ND,,5,7,3,0,0,,,,,0,,,,6,Defensive Rebound,,,,46,46,
1,13,53,Jerian Grant with a lost ball turnover: Lost Ball,97480,,true,false,false,Jerian,,Grant,,ND,,5,7,3,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,46,46,
1,13,45,Jake Odum misses a layup shot.,88499,,true,false,false,Jake,,Odum,,InSt,,5,7,3,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,201,201,
1,13,45,Khristian Smith with an offensive rebound.,116404,,true,false,false,Khristian,,Smith,,InSt,,5,7,3,0,0,,,,,0,,,,5,Offensive Rebound,,,,201,201,
1,13,41,Khristian Smith makes a dunk shot.,116404,,true,false,false,Khristian,,Smith,,InSt,,5,9,3,0,0,,,,,2,2,48,Dunk Shot,3,Field Goal Made,0,0,0,201,201,
1,13,38,Jerian Grant misses a layup shot.,97480,,true,false,false,Jerian,,Grant,,ND,,5,9,3,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,46,46,
1,13,38,Zach Auguste with an offensive rebound.,116591,,true,false,false,Zach,,Auguste,,ND,,5,9,3,0,0,,,,,0,,,,5,Offensive Rebound,,,,46,46,
1,13,38,Zach Auguste makes a layup shot.,116591,,true,false,false,Zach,,Auguste,,ND,,7,9,3,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,46,46,
1,13,01,Jake Odum misses a 3-point jump shot from 23 feet out.,88499,,true,false,false,Jake,,Odum,,InSt,,7,9,3,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,11.1,20,201,201,
1,13,01,Justin Gant with an offensive rebound.,109834,,true,false,false,Justin,,Gant,,InSt,,7,9,3,0,0,,,,,2,,,,5,Offensive Rebound,,,,201,201,
1,12,53,Khristian Smith misses a 3-point jump shot from 23 feet out.,116404,,true,false,false,Khristian,,Smith,,InSt,,7,9,3,0,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,23,18.3,13.5,201,201,
1,12,53,Zach Auguste with a defensive rebound.,116591,,true,false,false,Zach,,Auguste,,ND,,7,9,3,0,0,,,,,2,,,,6,Defensive Rebound,,,,46,46,
1,12,44,Jerian Grant misses a 3-point jump shot from 23 feet out.,97480,,true,false,false,Jerian,,Grant,,ND,,7,9,3,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-9.8,20.7,46,46,
1,12,44,Justin Gant with a defensive rebound.,109834,,true,false,false,Justin,,Gant,,InSt,,7,9,3,0,0,,,,,2,,,,6,Defensive Rebound,,,,201,201,
1,12,28,Khristian Smith makes a jump shot from 18 feet out. Jake Odum with the assist.,116404,88499,true,true,false,Khristian,Jake,Smith,Odum,InSt,InSt,7,11,3,0,0,,,,,4,2,45,Jump Shot,3,Field Goal Made,18,-17.3,5.2,201,201,
1,12,27,ND take a full timeout.,,,false,false,false,,,,,,,7,11,3,0,0,,,,,0,,1,Regular,11,Timeout,,,,46,46,
1,12,03,Zach Auguste with a lost ball turnover: Lost Ball,116591,,true,false,false,Zach,,Auguste,,ND,,7,11,3,0,0,,,,,2,,2,Lost Ball,7,Turnover,,,,46,46,
1,11,51,Dawon Cummings misses a 3-point jump shot from 23 feet out.,116402,,true,false,false,Dawon,,Cummings,,InSt,,7,11,3,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-13,19.5,201,201,
1,11,51,Khristian Smith with an offensive rebound.,116404,,true,false,false,Khristian,,Smith,,InSt,,7,11,3,0,0,,,,,4,,,,5,Offensive Rebound,,,,201,201,
1,11,46,Khristian Smith makes a jump shot from 10 feet out.,116404,,true,false,false,Khristian,,Smith,,InSt,,7,13,3,0,0,,,,,6,2,45,Jump Shot,3,Field Goal Made,10,-7.1,6.4,201,201,
1,11,26,Offensive foul committed by Austin Burgett.,116593,,true,false,false,Austin,,Burgett,,ND,,7,13,3,1,1,,,,,0,,4,Offensive,8,Foul,,,,46,46,
