half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,11,11,
1,19,29,Corey Littlejohn with a out of bounds turnover: Out of Bounds,109532,,true,false,false,Corey,,Littlejohn,,NC-Ash,,0,0,0,0,0,,,,,0,,3,Out of Bounds,7,Turnover,,,,69,69,
1,19,16,Jabari Parker makes a jump shot from 18 feet out. Rodney Hood with the assist.,121033,109781,true,true,false,Jabari,Rodney,Parker,Hood,Duke,Duke,2,0,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,18,16,8,11,11,
1,18,53,Andrew Rowsey with a backcourt turnover turnover: Backcourt Turnover,121104,,true,false,false,Andrew,,Rowsey,,NC-Ash,,2,0,0,0,0,,,,,0,,13,Backcourt Turnover,7,Turnover,,,,69,69,
1,18,44,Rodney Hood misses a jump shot from 8 feet out.,109781,,true,false,false,Rodney,,Hood,,Duke,,2,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,8,-2.8,7.6,11,11,
1,18,44,Jabari Parker with an offensive rebound.,121033,,true,false,false,Jabari,,Parker,,Duke,,2,0,0,0,0,,,,,2,,,,5,Offensive Rebound,,,,11,11,
1,18,42,Jabari Parker makes a layup shot.,121033,,true,false,false,Jabari,,Parker,,Duke,,4,0,0,0,0,,,,,4,2,40,Layup Shot,3,Field Goal Made,0,0,0,11,11,
1,18,22,Sam Hughes misses a 3-point jump shot from 23 feet out.,116190,,true,false,false,Sam,,Hughes,,NC-Ash,,4,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-23,2,69,69,
1,18,22,Rasheed Sulaimon with a defensive rebound.,116519,,true,false,false,Rasheed,,Sulaimon,,Duke,,4,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,11,11,
1,18,13,Jabari Parker with a lost ball turnover: Lost Ball,121033,,true,false,false,Jabari,,Parker,,Duke,,4,0,0,0,0,,,,,4,,2,Lost Ball,7,Turnover,,,,11,11,
1,17,58,Sam Hughes makes a 3-point jump shot from 23 feet out. Corey Littlejohn with the assist.,116190,109532,true,true,false,Sam,Corey,Hughes,Littlejohn,NC-Ash,NC-Ash,4,3,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,-22,4.8,69,69,
1,17,43,Rodney Hood makes a 3-point jump shot from 26 feet out. Quinn Cook with the assist.,109781,109412,true,true,false,Rodney,Quinn,Hood,Cook,Duke,Duke,7,3,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,26,-20.8,15.2,11,11,
1,17,26,Jaron Lane misses a layup shot.,89326,,true,false,false,Jaron,,Lane,,NC-Ash,,7,3,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,69,69,
1,17,26,Jabari Parker with a defensive rebound.,121033,,true,false,false,Jabari,,Parker,,Duke,,7,3,0,0,0,,,,,4,,,,6,Defensive Rebound,,,,11,11,
1,17,20,Shooting foul committed by Sam Hughes.,116190,,true,false,false,Sam,,Hughes,,NC-Ash,,7,3,1,0,1,,,,,3,,2,Shooting,8,Foul,,,,69,69,
1,17,20,Jabari Parker makes free throw 1 of 2.,121033,,true,false,false,Jabari,,Parker,,Duke,,8,3,1,0,0,,,,,5,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,11,11,
1,17,20,Jabari Parker misses free throw 2 of 2.,121033,,true,false,false,Jabari,,Parker,,Duke,,8,3,1,0,0,,,,,5,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,11,11,
1,17,20,D.J. Cunningham with a defensive rebound.,89329,,true,false,false,D.J.,,Cunningham,,NC-Ash,,8,3,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,69,69,
1,17,04,Corey Littlejohn with a lost ball turnover: Lost Ball,109532,,true,false,false,Corey,,Littlejohn,,NC-Ash,,8,3,1,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,69,69,
1,17,01,Rasheed Sulaimon with a lost ball turnover: Lost Ball,116519,,true,false,false,Rasheed,,Sulaimon,,Duke,,8,3,1,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,11,11,
1,16,47,Andrew Rowsey misses a 3-point jump shot from 26 feet out.,121104,,true,false,false,Andrew,,Rowsey,,NC-Ash,,8,3,1,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,26,-16,21,69,69,
1,16,47,D.J. Cunningham with an offensive rebound.,89329,,true,false,false,D.J.,,Cunningham,,NC-Ash,,8,3,1,0,0,,,,,0,,,,5,Offensive Rebound,,,,69,69,
1,16,41,Corey Littlejohn misses a 3-point jump shot from 25 feet out.,109532,,true,false,false,Corey,,Littlejohn,,NC-Ash,,8,3,1,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,25,-17,18,69,69,
1,16,41,Jaron Lane with an offensive rebound.,89326,,true,false,false,Jaron,,Lane,,NC-Ash,,8,3,1,0,0,,,,,0,,,,5,Offensive Rebound,,,,69,69,
1,16,35,Jaron Lane misses a jump shot from 9 feet out.,89326,,true,false,false,Jaron,,Lane,,NC-Ash,,8,3,1,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,9,5,8,69,69,
