half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,13,13,
1,19,54,Daniel Miller makes a dunk shot.,88211,,true,false,false,Daniel,,Miller,,GaTech,,2,0,0,0,0,,,,,2,2,48,Dunk Shot,3,Field Goal Made,0,0,0,13,13,
1,19,23,Matt Kavanaugh misses a layup shot.,88262,,true,false,false,Matt,,Kavanaugh,,Dayton,,2,0,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,30,30,
1,19,23,Dayton with an offensive rebound.,,,false,false,false,,,,,,,2,0,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,30,30,
1,19,19,Khari Price misses a 3-point jump shot from 23 feet out.,116717,,true,false,false,Khari,,Price,,Dayton,,2,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,4,22.4,30,30,
1,19,19,GaTech with a defensive rebound.,,,false,false,false,,,,,,,2,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,13,13,
1,18,57,Daniel Miller makes a layup shot.,88211,,true,false,false,Daniel,,Miller,,GaTech,,4,0,0,0,0,,,,,4,2,40,Layup Shot,3,Field Goal Made,0,0,0,13,13,
1,18,41,Matt Kavanaugh misses a layup shot.,88262,,true,false,false,Matt,,Kavanaugh,,Dayton,,4,0,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,30,30,
1,18,41,Marcus Georges-Hunt with a defensive rebound.,116540,,true,false,false,Marcus,,Georges-Hunt,,GaTech,,4,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,13,13,
1,18,37,Marcus Georges-Hunt makes a 3-point jump shot from 23 feet out.,116540,,true,false,false,Marcus,,Georges-Hunt,,GaTech,,7,0,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,-11.6,19.6,13,13,
1,18,36,Dayton take a 20-second timeout.,,,false,false,false,,,,,,,7,0,0,0,0,,,,,0,,2,Short,11,Timeout,,,,30,30,
1,18,21,Devin Oliver misses a 3-point jump shot from 23 feet out.,97557,,true,false,false,Devin,,Oliver,,Dayton,,7,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,14.2,18.6,30,30,
1,18,21,Daniel Miller with a defensive rebound.,88211,,true,false,false,Daniel,,Miller,,GaTech,,7,0,0,0,0,,,,,4,,,,6,Defensive Rebound,,,,13,13,
1,18,13,Solomon Poole with a lost ball turnover: Lost Ball,120442,,true,false,false,Solomon,,Poole,,GaTech,,7,0,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,13,13,
1,18,08,Jordan Sibert makes a layup shot. Dyshawn Pierre with the assist.,97509,116719,true,true,false,Jordan,Dyshawn,Sibert,Pierre,Dayton,Dayton,7,2,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,30,30,
1,17,52,Solomon Poole makes a layup shot.,120442,,true,false,false,Solomon,,Poole,,GaTech,,9,2,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,13,13,
1,17,38,Personal foul committed by Solomon Poole.,120442,,true,false,false,Solomon,,Poole,,GaTech,,9,2,0,1,1,,,,,2,,1,Personal,8,Foul,,,,13,13,
1,17,32,Dyshawn Pierre with a lost ball turnover: Lost Ball,116719,,true,false,false,Dyshawn,,Pierre,,Dayton,,9,2,0,1,0,,,,,0,,2,Lost Ball,7,Turnover,,,,30,30,
1,17,32,Trae Golden with a lost ball turnover: Lost Ball,97522,,true,false,false,Trae,,Golden,,GaTech,,9,2,0,1,0,,,,,0,,2,Lost Ball,7,Turnover,,,,13,13,
1,17,13,Jordan Sibert misses a 3-point jump shot from 25 feet out.,97509,,true,false,false,Jordan,,Sibert,,Dayton,,9,2,0,1,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,25,20,14,30,30,
1,17,13,Dyshawn Pierre with an offensive rebound.,116719,,true,false,false,Dyshawn,,Pierre,,Dayton,,9,2,0,1,0,,,,,0,,,,5,Offensive Rebound,,,,30,30,
1,17,03,Dyshawn Pierre makes a layup shot. Devin Oliver with the assist.,116719,97557,true,true,false,Dyshawn,Devin,Pierre,Oliver,Dayton,Dayton,9,4,0,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,30,30,
1,16,41,Marcus Georges-Hunt misses a jump shot from 14 feet out.,116540,,true,false,false,Marcus,,Georges-Hunt,,GaTech,,9,4,0,1,0,,,,,3,2,45,Jump Shot,4,Field Goal Missed,14,2.1,14.2,13,13,
1,16,41,Jordan Sibert with a defensive rebound.,97509,,true,false,false,Jordan,,Sibert,,Dayton,,9,4,0,1,0,,,,,2,,,,6,Defensive Rebound,,,,30,30,
1,16,28,Devon Scott makes a layup shot.,116720,,true,false,false,Devon,,Scott,,Dayton,,9,6,0,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,30,30,
1,16,15,Trae Golden misses a 3-point jump shot from 23 feet out.,97522,,true,false,false,Trae,,Golden,,GaTech,,9,6,0,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,16.4,16.7,13,13,
1,16,15,Marcus Georges-Hunt with an offensive rebound.,116540,,true,false,false,Marcus,,Georges-Hunt,,GaTech,,9,6,0,1,0,,,,,3,,,,5,Offensive Rebound,,,,13,13,
1,16,08,Marcus Georges-Hunt makes a layup shot.,116540,,true,false,false,Marcus,,Georges-Hunt,,GaTech,,11,6,0,1,0,,,,,5,2,40,Layup Shot,3,Field Goal Made,0,0,0,13,13,
1,15,59,Dyshawn Pierre misses a 3-point jump shot from 24 feet out.,116719,,true,false,false,Dyshawn,,Pierre,,Dayton,,11,6,0,1,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,24,13,19.8,30,30,
1,15,59,Devin Oliver with an offensive rebound.,97557,,true,false,false,Devin,,Oliver,,Dayton,,11,6,0,1,0,,,,,0,,,,5,Offensive Rebound,,,,30,30,
1,15,37,Jordan Sibert misses a 3-point jump shot from 23 feet out.,97509,,true,false,false,Jordan,,Sibert,,Dayton,,11,6,0,1,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,23,16,17,30,30,
