half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,47,47,
1,19,46,Jesse Chuku misses a layup shot.,116875,,true,false,false,Jesse,,Chuku,,Lehigh,,0,0,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,251,251,
1,19,33,Lamar Patterson makes a layup shot.,88282,,true,false,false,Lamar,,Patterson,,Pitt,,2,0,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,47,47,
1,19,00,Tim Kempton misses a layup shot.,121686,,true,false,false,Tim,,Kempton,,Lehigh,,2,0,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,251,251,
1,18,49,Personal foul committed by Tim Kempton.,121686,,true,false,false,Tim,,Kempton,,Lehigh,,2,0,1,0,1,,,,,0,,1,Personal,8,Foul,,,,251,251,
1,18,46,Cameron Wright misses a jump shot.,97236,,true,false,false,Cameron,,Wright,,Pitt,,2,0,1,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,47,47,
1,18,32,Corey Schaefer misses a 3-point jump shot.,110696,,true,false,false,Corey,,Schaefer,,Lehigh,,2,0,1,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,251,251,
1,18,15,Talib Zanna makes a jump shot.,88283,,true,false,false,Talib,,Zanna,,Pitt,,4,0,1,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,47,47,
1,17,53,Personal foul committed by Austin Price.,121682,,true,false,false,Austin,,Price,,Lehigh,,4,0,2,0,1,,,,,0,,1,Personal,8,Foul,,,,251,251,
1,17,41,Talib Zanna makes a jump shot.,88283,,true,false,false,Talib,,Zanna,,Pitt,,6,0,2,0,0,,,,,4,2,45,Jump Shot,3,Field Goal Made,,,,47,47,
