half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,42,42,
1,19,47,Shabazz Napier misses a jump shot from 15 feet out.,97562,,true,false,false,Shabazz,,Napier,,UConn,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,15,9.1,11.8,43,43,
1,19,47,Olivier Hanlan with a defensive rebound.,116003,,true,false,false,Olivier,,Hanlan,,BC,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,42,42,
1,19,40,Danny Rubin makes a 3-point jump shot from 22 feet out. Olivier Hanlan with the assist.,97498,116003,true,true,false,Danny,Olivier,Rubin,Hanlan,BC,BC,3,0,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,22,-22,3,42,42,
1,19,11,DeAndre Daniels misses a jump shot from 19 feet out.,110093,,true,false,false,DeAndre,,Daniels,,UConn,,3,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,19,19,3.8,43,43,
1,19,11,Will Magarity with a defensive rebound.,122015,,true,false,false,Will,,Magarity,,BC,,3,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,42,42,
1,18,57,Personal foul committed by Phillip Nolan.,116513,,true,false,false,Phillip,,Nolan,,UConn,,3,0,1,0,1,,,,,0,,1,Personal,8,Foul,,,,43,43,
1,18,51,Olivier Hanlan misses a 3-point jump shot from 24 feet out.,116003,,true,false,false,Olivier,,Hanlan,,BC,,3,0,1,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,13.5,20.1,42,42,
1,18,51,Shabazz Napier with a defensive rebound.,97562,,true,false,false,Shabazz,,Napier,,UConn,,3,0,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,43,43,
1,18,42,Ryan Boatright misses a 3-point jump shot from 23 feet out.,110092,,true,false,false,Ryan,,Boatright,,UConn,,3,0,1,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-20,12.3,43,43,
1,18,42,Phillip Nolan with an offensive rebound.,116513,,true,false,false,Phillip,,Nolan,,UConn,,3,0,1,0,1,,,,,0,,,,5,Offensive Rebound,,,,43,43,
1,18,34,Phillip Nolan makes a layup shot.,116513,,true,false,false,Phillip,,Nolan,,UConn,,3,2,1,0,1,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,43,43,
1,18,23,Ryan Anderson misses a 3-point jump shot from 24 feet out.,110082,,true,false,false,Ryan,,Anderson,,BC,,3,2,1,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,3.5,24.2,42,42,
1,18,23,Ryan Boatright with a defensive rebound.,110092,,true,false,false,Ryan,,Boatright,,UConn,,3,2,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,43,43,
1,18,21,Personal foul committed by Will Magarity.,122015,,true,false,false,Will,,Magarity,,BC,,3,2,1,1,1,,,,,0,,1,Personal,8,Foul,,,,42,42,
1,18,11,Ryan Boatright makes a layup shot.,110092,,true,false,false,Ryan,,Boatright,,UConn,,3,4,1,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,43,43,
1,17,49,Danny Rubin misses a 3-point jump shot from 23 feet out.,97498,,true,false,false,Danny,,Rubin,,BC,,3,4,1,1,0,,,,,3,3,45,Jump Shot,4,Field Goal Missed,23,17.9,14.2,42,42,
1,17,49,Olivier Hanlan with an offensive rebound.,116003,,true,false,false,Olivier,,Hanlan,,BC,,3,4,1,1,0,,,,,0,,,,5,Offensive Rebound,,,,42,42,
1,17,45,Shooting foul committed by Phillip Nolan.,116513,,true,false,false,Phillip,,Nolan,,UConn,,3,4,2,1,2,,,,,2,,2,Shooting,8,Foul,,,,43,43,
1,17,45,Olivier Hanlan misses free throw 1 of 2.,116003,,true,false,false,Olivier,,Hanlan,,BC,,3,4,2,1,0,,,,,0,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,42,42,
1,17,45,BC with an offensive rebound.,,,false,false,false,,,,,,,3,4,2,1,0,,,,,0,,,,5,Offensive Rebound,,,,42,42,
1,17,45,Olivier Hanlan makes free throw 2 of 2.,116003,,true,false,false,Olivier,,Hanlan,,BC,,4,4,2,1,0,,,,,1,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,42,42,
1,17,29,DeAndre Daniels misses a hook shot from 7 feet out.,110093,,true,false,false,DeAndre,,Daniels,,UConn,,4,4,2,1,0,,,,,0,2,55,Hook Shot,4,Field Goal Missed,7,-.1,6.9,43,43,
1,17,29,Amida Brimah with an offensive rebound.,121150,,true,false,false,Amida,,Brimah,,UConn,,4,4,2,1,0,,,,,0,,,,5,Offensive Rebound,,,,43,43,
1,17,29,Personal foul committed by Will Magarity.,122015,,true,false,false,Will,,Magarity,,BC,,4,4,2,2,2,,,,,0,,1,Personal,8,Foul,,,,42,42,
1,17,21,Omar Calhoun misses a jump shot from 8 feet out.,116512,,true,false,false,Omar,,Calhoun,,UConn,,4,4,2,2,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,8,.4,7.7,43,43,
1,17,21,BC with a defensive rebound.,,,false,false,false,,,,,,,4,4,2,2,0,,,,,0,,,,6,Defensive Rebound,,,,42,42,
1,17,06,Will Magarity makes a dunk shot. Olivier Hanlan with the assist.,122015,116003,true,true,false,Will,Olivier,Magarity,Hanlan,BC,BC,6,4,2,2,2,,,,,2,2,48,Dunk Shot,3,Field Goal Made,0,0,0,42,42,
1,16,49,Shabazz Napier misses a 3-point jump shot from 24 feet out.,97562,,true,false,false,Shabazz,,Napier,,UConn,,6,4,2,2,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,-.4,23.7,43,43,
1,16,49,Alex Dragicevich with a defensive rebound.,97479,,true,false,false,Alex,,Dragicevich,,BC,,6,4,2,2,0,,,,,0,,,,6,Defensive Rebound,,,,42,42,
1,16,33,Olivier Hanlan misses a layup shot.,116003,,true,false,false,Olivier,,Hanlan,,BC,,6,4,2,2,0,,,,,1,2,40,Layup Shot,4,Field Goal Missed,0,0,0,42,42,
1,16,33,BC with an offensive rebound.,,,false,false,false,,,,,,,6,4,2,2,0,,,,,0,,,,5,Offensive Rebound,,,,42,42,
1,16,12,Joe Rahon misses a jump shot from 12 feet out.,116004,,true,false,false,Joe,,Rahon,,BC,,6,4,2,2,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,12,-.4,12.2,42,42,
