half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,113,113,
1,19,50,Terrance Shannon misses a 3-point jump shot from 24 feet out.,88815,,true,false,false,Terrance,,Shannon,,VCU,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,-16,17,113,113,
1,19,50,Okaro White with a defensive rebound.,97445,,true,false,false,Okaro,,White,,FlaSt,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,12,12,
1,19,30,Devon Bookert with a lost ball turnover: Lost Ball,116526,,true,false,false,Devon,,Bookert,,FlaSt,,0,0,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,12,12,
1,19,24,Rob Brandenberg misses a 3-point jump shot from 24 feet out.,97682,,true,false,false,Rob,,Brandenberg,,VCU,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,16.1,17.3,113,113,
1,19,24,Montay Brandon with a defensive rebound.,116527,,true,false,false,Montay,,Brandon,,FlaSt,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,12,12,
1,19,16,Montay Brandon makes a layup shot.,116527,,true,false,false,Montay,,Brandon,,FlaSt,,0,2,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,12,12,
1,19,08,Treveon Graham misses a jump shot from 20 feet out.,110470,,true,false,false,Treveon,,Graham,,VCU,,0,2,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,20,3,19.5,113,113,
1,19,08,Montay Brandon with a defensive rebound.,116527,,true,false,false,Montay,,Brandon,,FlaSt,,0,2,0,0,0,,,,,2,,,,6,Defensive Rebound,,,,12,12,
1,18,46,Devon Bookert with a lost ball turnover: Lost Ball,116526,,true,false,false,Devon,,Bookert,,FlaSt,,0,2,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,12,12,
1,18,42,Shooting foul committed by Robert Gilchrist.,116528,,true,false,false,Robert,,Gilchrist,,FlaSt,,0,2,1,0,1,,,,,0,,2,Shooting,8,Foul,,,,12,12,
1,18,42,Briante Weber makes free throw 1 of 2.,110468,,true,false,false,Briante,,Weber,,VCU,,1,2,1,0,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,113,113,
1,18,42,Briante Weber makes free throw 2 of 2.,110468,,true,false,false,Briante,,Weber,,VCU,,2,2,1,0,0,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,113,113,
1,18,24,Robert Gilchrist misses a layup shot.,116528,,true,false,false,Robert,,Gilchrist,,FlaSt,,2,2,1,0,1,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,12,12,
1,18,24,Treveon Graham with a defensive rebound.,110470,,true,false,false,Treveon,,Graham,,VCU,,2,2,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,113,113,
1,18,16,Shooting foul committed by Boris Bojanovsky.,116525,,true,false,false,Boris,,Bojanovsky,,FlaSt,,2,2,2,0,1,,,,,0,,2,Shooting,8,Foul,,,,12,12,
1,18,13,Shooting foul committed by Boris Bojanovsky.,116525,,true,false,false,Boris,,Bojanovsky,,FlaSt,,2,2,3,0,2,,,,,0,,2,Shooting,8,Foul,,,,12,12,
1,18,13,Juvonte Reddic misses free throw 1 of 2.,97681,,true,false,false,Juvonte,,Reddic,,VCU,,2,2,3,0,0,,,,,0,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,113,113,
1,18,13,VCU with an offensive rebound.,,,false,false,false,,,,,,,2,2,3,0,0,,,,,0,,,,5,Offensive Rebound,,,,113,113,
1,18,13,Juvonte Reddic makes free throw 2 of 2.,97681,,true,false,false,Juvonte,,Reddic,,VCU,,3,2,3,0,0,,,,,1,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,113,113,
1,17,43,Devon Bookert with a lost ball turnover: Lost Ball,116526,,true,false,false,Devon,,Bookert,,FlaSt,,3,2,3,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,12,12,
1,17,26,Juvonte Reddic misses a layup shot.,97681,,true,false,false,Juvonte,,Reddic,,VCU,,3,2,3,0,0,,,,,1,2,40,Layup Shot,4,Field Goal Missed,0,0,0,113,113,
