half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,10,10,
1,19,41,Jaron Blossomgame makes a 3-point jump shot.,116770,,true,false,false,Jaron,,Blossomgame,,Clem,,3,0,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,10,10,
1,19,13,De'Mon Brooks misses a 3-point jump shot.,98240,,true,false,false,De'Mon,,Brooks,,Dav,,3,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,268,268,
1,18,55,Damarcus Harrison makes a jump shot.,110531,,true,false,false,Damarcus,,Harrison,,Clem,,5,0,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,10,10,
1,18,27,De'Mon Brooks makes a jump shot.,98240,,true,false,false,De'Mon,,Brooks,,Dav,,5,2,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,268,268,
1,18,11,Rod Hall makes a jump shot.,110088,,true,false,false,Rod,,Hall,,Clem,,7,2,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,10,10,
1,17,50,Personal foul committed by Landry Nnoko.,116772,,true,false,false,Landry,,Nnoko,,Clem,,7,2,0,1,1,,,,,0,,1,Personal,8,Foul,,,,10,10,
1,17,36,Brian Sullivan makes a 3-point jump shot.,109813,,true,false,false,Brian,,Sullivan,,Dav,,7,5,0,1,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,268,268,
1,17,23,K.J. McDaniels makes a 3-point jump shot.,110089,,true,false,false,K.J.,,McDaniels,,Clem,,10,5,0,1,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,10,10,
1,17,10,Chris Czerapowicz makes a 3-point jump shot.,98242,,true,false,false,Chris,,Czerapowicz,,Dav,,10,8,0,1,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,268,268,
1,17,05,Personal foul committed by De'Mon Brooks.,98240,,true,false,false,De'Mon,,Brooks,,Dav,,10,8,1,1,1,,,,,2,,1,Personal,8,Foul,,,,268,268,
1,16,39,Josh Smith misses free throw 1 of 2.,116774,,true,false,false,Josh,,Smith,,Clem,,10,8,1,1,0,,,,,0,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,10,10,
1,16,39,Josh Smith makes free throw 2 of 2.,116774,,true,false,false,Josh,,Smith,,Clem,,11,8,1,1,0,,,,,1,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,10,10,
1,16,26,Tom Droney misses a layup shot.,98239,,true,false,false,Tom,,Droney,,Dav,,11,8,1,1,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,268,268,
1,16,24,Offensive foul committed by Josh Smith.,116774,,true,false,false,Josh,,Smith,,Clem,,11,8,1,2,1,,,,,1,,4,Offensive,8,Foul,,,,10,10,
1,15,45,De'Mon Brooks makes a jump shot.,98240,,true,false,false,De'Mon,,Brooks,,Dav,,11,10,1,2,1,,,,,4,2,45,Jump Shot,3,Field Goal Made,,,,268,268,
1,15,45,Tom Droney makes a 3-point jump shot.,98239,,true,false,false,Tom,,Droney,,Dav,,11,13,1,2,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,268,268,
1,15,40,Josh Smith misses a jump shot.,116774,,true,false,false,Josh,,Smith,,Clem,,11,13,1,2,1,,,,,1,2,45,Jump Shot,4,Field Goal Missed,,,,10,10,
1,15,35,Ibrahim Djambo misses a layup shot.,120592,,true,false,false,Ibrahim,,Djambo,,Clem,,11,13,1,2,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,10,10,
1,15,15,Chris Czerapowicz misses a 3-point jump shot.,98242,,true,false,false,Chris,,Czerapowicz,,Dav,,11,13,1,2,0,,,,,3,3,45,Jump Shot,4,Field Goal Missed,,,,268,268,
