half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,76,76,
1,19,47,Keith Appling makes a layup shot.,97678,,true,false,false,Keith,,Appling,,MSU,,2,0,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,76,76,
1,19,26,Cadarian Raines with a lost ball turnover: Lost Ball,88631,,true,false,false,Cadarian,,Raines,,VaTech,,2,0,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,54,54,
1,19,17,Branden Dawson makes a jump shot from 16 feet out. Matt Costello with the assist.,110403,117554,true,true,false,Branden,Matt,Dawson,Costello,MSU,MSU,4,0,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,16,-14,8,76,76,
1,19,03,Jarell Eddie makes a 3-point jump shot from 24 feet out. Adam Smith with the assist.,97464,110601,true,true,false,Jarell,Adam,Eddie,Smith,VaTech,VaTech,4,3,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,24,-17,17,54,54,
1,18,52,Gary Harris misses a 3-point jump shot from 25 feet out.,117555,,true,false,false,Gary,,Harris,,MSU,,4,3,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,25,-16.2,18.4,76,76,
1,18,52,Branden Dawson with an offensive rebound.,110403,,true,false,false,Branden,,Dawson,,MSU,,4,3,0,0,0,,,,,2,,,,5,Offensive Rebound,,,,76,76,
1,18,48,Branden Dawson misses a layup shot.,110403,,true,false,false,Branden,,Dawson,,MSU,,4,3,0,0,0,,,,,2,2,40,Layup Shot,4,Field Goal Missed,0,0,0,76,76,
1,18,48,Marshall Wood with a defensive rebound.,116704,,true,false,false,Marshall,,Wood,,VaTech,,4,3,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,54,54,
1,18,36,Cadarian Raines misses a jump shot from 16 feet out.,88631,,true,false,false,Cadarian,,Raines,,VaTech,,4,3,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,16,-12,11.3,54,54,
1,18,36,Matt Costello with a defensive rebound.,117554,,true,false,false,Matt,,Costello,,MSU,,4,3,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,76,76,
1,18,36,Personal foul committed by Adam Smith.,110601,,true,false,false,Adam,,Smith,,VaTech,,4,3,1,0,1,,,,,0,,1,Personal,8,Foul,,,,54,54,
1,18,25,Gary Harris misses a 3-point jump shot from 23 feet out.,117555,,true,false,false,Gary,,Harris,,MSU,,4,3,1,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,19.6,12.2,76,76,
1,18,25,Branden Dawson with an offensive rebound.,110403,,true,false,false,Branden,,Dawson,,MSU,,4,3,1,0,0,,,,,2,,,,5,Offensive Rebound,,,,76,76,
1,18,22,Adreian Payne makes a dunk shot. Branden Dawson with the assist.,97677,110403,true,true,false,Adreian,Branden,Payne,Dawson,MSU,MSU,6,3,1,0,0,,,,,2,2,48,Dunk Shot,3,Field Goal Made,0,0,0,76,76,
1,17,54,Adam Smith misses a 3-point jump shot from 25 feet out.,110601,,true,false,false,Adam,,Smith,,VaTech,,6,3,1,0,1,,,,,0,3,45,Jump Shot,4,Field Goal Missed,25,11.1,22.7,54,54,
1,17,54,Branden Dawson with a defensive rebound.,110403,,true,false,false,Branden,,Dawson,,MSU,,6,3,1,0,0,,,,,2,,,,6,Defensive Rebound,,,,76,76,
1,17,54,Devin Wilson with a lost ball turnover: Lost Ball,120763,,true,false,false,Devin,,Wilson,,VaTech,,6,3,1,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,54,54,
1,17,43,Gary Harris misses a jump shot from 12 feet out.,117555,,true,false,false,Gary,,Harris,,MSU,,6,3,1,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,12,-8.9,8.7,76,76,
1,17,43,Devin Wilson with a defensive rebound.,120763,,true,false,false,Devin,,Wilson,,VaTech,,6,3,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,54,54,
1,17,32,Branden Dawson makes a jump shot from 5 feet out. Gary Harris with the assist.,110403,117555,true,true,false,Branden,Gary,Dawson,Harris,MSU,MSU,8,3,1,0,0,,,,,4,2,45,Jump Shot,3,Field Goal Made,5,-.1,5.3,76,76,
1,17,32,Gary Harris misses a jump shot from 18 feet out.,117555,,true,false,false,Gary,,Harris,,MSU,,8,3,1,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,18,14,10,76,76,
