half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,46,46,
1,19,46,Jerian Grant makes a layup shot.,97480,,true,false,false,Jerian,,Grant,,ND,,2,0,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,46,46,
1,19,30,Jared Brownridge makes a 3-point jump shot.,120948,,true,false,false,Jared,,Brownridge,,SantaC,,2,3,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,315,315,
1,19,07,Garrick Sherman makes a layup shot.,88941,,true,false,false,Garrick,,Sherman,,ND,,4,3,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,46,46,
1,18,56,Denzel Johnson misses a jump shot.,110059,,true,false,false,Denzel,,Johnson,,SantaC,,4,3,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,315,315,
1,18,24,Brandon Clark makes a layup shot.,110057,,true,false,false,Brandon,,Clark,,SantaC,,4,5,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,315,315,
1,18,05,Offensive foul committed by Tom Knight.,88670,,true,false,false,Tom,,Knight,,ND,,4,5,0,1,1,,,,,0,,4,Offensive,8,Foul,,,,46,46,
1,17,48,Brandon Clark misses a 3-point jump shot.,110057,,true,false,false,Brandon,,Clark,,SantaC,,4,5,0,1,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,,,,315,315,
1,17,42,Eric Atkins misses a layup shot.,97478,,true,false,false,Eric,,Atkins,,ND,,4,5,0,1,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,46,46,
1,17,32,John McArthur misses a jump shot.,97273,,true,false,false,John,,McArthur,,SantaC,,4,5,0,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,315,315,
1,17,24,Jerian Grant makes a layup shot.,97480,,true,false,false,Jerian,,Grant,,ND,,6,5,0,1,0,,,,,4,2,40,Layup Shot,3,Field Goal Made,,,,46,46,
1,17,01,Denzel Johnson misses a jump shot.,110059,,true,false,false,Denzel,,Johnson,,SantaC,,6,5,0,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,315,315,
1,16,53,Eric Atkins misses a 3-point jump shot.,97478,,true,false,false,Eric,,Atkins,,ND,,6,5,0,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,46,46,
1,16,44,Jared Brownridge makes a 3-point jump shot.,120948,,true,false,false,Jared,,Brownridge,,SantaC,,6,8,0,1,0,,,,,6,3,45,Jump Shot,3,Field Goal Made,,,,315,315,
1,16,23,Shooting foul committed by Yannick Atanga.,97269,,true,false,false,Yannick,,Atanga,,SantaC,,6,8,1,1,1,,,,,0,,2,Shooting,8,Foul,,,,315,315,
1,16,23,Garrick Sherman misses free throw 1 of 2.,88941,,true,false,false,Garrick,,Sherman,,ND,,6,8,1,1,0,,,,,2,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,46,46,
1,16,23,Garrick Sherman makes free throw 2 of 2.,88941,,true,false,false,Garrick,,Sherman,,ND,,7,8,1,1,0,,,,,3,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,46,46,
