half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,15,15,
1,19,30,Terry Allen makes a jump shot from 9 feet out. Alonzo Nelson-Ododa with the assist.,116032,109858,true,true,false,Terry,Alonzo,Allen,Nelson-Ododa,Rich,Rich,0,2,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,9,-1,9,37,37,
1,19,03,Joel James misses a jump shot from 19 feet out.,116586,,true,false,false,Joel,,James,,UNC,,0,2,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,19,-5.9,17.6,15,15,
1,19,03,Derrick Williams with a defensive rebound.,97692,,true,false,false,Derrick,,Williams,,Rich,,0,2,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,37,37,
1,18,45,Cedrick Lindsay makes a 3-point jump shot from 24 feet out. Derrick Williams with the assist.,97693,97692,true,true,false,Cedrick,Derrick,Lindsay,Williams,Rich,Rich,0,5,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,24,-13,20,37,37,
1,18,30,James Michael McAdoo with a lost ball turnover: Lost Ball,110437,,true,false,false,James Michael,,McAdoo,,UNC,,0,5,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,15,15,
1,18,20,Personal foul committed by Nate Britt.,121344,,true,false,false,Nate,,Britt,,UNC,,0,5,0,1,1,,,,,0,,1,Personal,8,Foul,,,,15,15,
1,18,15,Terry Allen with a lost ball turnover: Lost Ball,116032,,true,false,false,Terry,,Allen,,Rich,,0,5,0,1,0,,,,,2,,2,Lost Ball,7,Turnover,,,,37,37,
1,18,15,Shooting foul committed by Terry Allen.,116032,,true,false,false,Terry,,Allen,,Rich,,0,5,1,1,1,,,,,2,,2,Shooting,8,Foul,,,,37,37,
1,18,07,Joel James makes a hook shot from 12 feet out. Jackson Simmons with the assist.,116586,110436,true,true,false,Joel,Jackson,James,Simmons,UNC,UNC,2,5,1,1,0,,,,,2,2,55,Hook Shot,3,Field Goal Made,12,-12,3,15,15,
1,17,44,Derrick Williams makes a 3-point jump shot from 23 feet out. Cedrick Lindsay with the assist.,97692,97693,true,true,false,Derrick,Cedrick,Williams,Lindsay,Rich,Rich,2,8,1,1,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,-22.5,.9,37,37,
1,17,37,Joel James with a bad pass turnover: Bad Pass,116586,,true,false,false,Joel,,James,,UNC,,2,8,1,1,0,,,,,2,,1,Bad Pass,7,Turnover,,,,15,15,
1,17,18,Shooting foul committed by Nate Britt.,121344,,true,false,false,Nate,,Britt,,UNC,,2,8,1,2,2,,,,,0,,2,Shooting,8,Foul,,,,15,15,
1,17,18,Cedrick Lindsay makes free throw 1 of 2.,97693,,true,false,false,Cedrick,,Lindsay,,Rich,,2,9,1,2,0,,,,,4,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,37,37,
1,17,18,Cedrick Lindsay makes free throw 2 of 2.,97693,,true,false,false,Cedrick,,Lindsay,,Rich,,2,10,1,2,0,,,,,5,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,37,37,
1,17,05,J.P. Tokoto makes a jump shot from 17 feet out.,116589,,true,false,false,J.P.,,Tokoto,,UNC,,4,10,1,2,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,17,16.6,3,15,15,
1,16,48,Derrick Williams with a lost ball turnover: Lost Ball,97692,,true,false,false,Derrick,,Williams,,Rich,,4,10,1,2,0,,,,,3,,2,Lost Ball,7,Turnover,,,,37,37,
1,16,32,James Michael McAdoo misses a layup shot.,110437,,true,false,false,James Michael,,McAdoo,,UNC,,4,10,1,2,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,15,15,
1,16,32,Joel James with an offensive rebound.,116586,,true,false,false,Joel,,James,,UNC,,4,10,1,2,0,,,,,2,,,,5,Offensive Rebound,,,,15,15,
1,16,30,Joel James misses a layup shot.,116586,,true,false,false,Joel,,James,,UNC,,4,10,1,2,0,,,,,2,2,40,Layup Shot,4,Field Goal Missed,0,0,0,15,15,
1,16,30,UNC with an offensive rebound.,,,false,false,false,,,,,,,4,10,1,2,0,,,,,0,,,,5,Offensive Rebound,,,,15,15,
1,16,22,Marcus Paige misses a 3-point jump shot from 22 feet out.,116587,,true,false,false,Marcus,,Paige,,UNC,,4,10,1,2,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,22,8.1,20.7,15,15,
1,16,22,Alonzo Nelson-Ododa with a defensive rebound.,109858,,true,false,false,Alonzo,,Nelson-Ododa,,Rich,,4,10,1,2,0,,,,,0,,,,6,Defensive Rebound,,,,37,37,
1,16,14,Cedrick Lindsay with a lost ball turnover: Lost Ball,97693,,true,false,false,Cedrick,,Lindsay,,Rich,,4,10,1,2,0,,,,,5,,2,Lost Ball,7,Turnover,,,,37,37,
1,16,11,J.P. Tokoto makes a layup shot.,116589,,true,false,false,J.P.,,Tokoto,,UNC,,6,10,1,2,0,,,,,4,2,40,Layup Shot,3,Field Goal Made,0,0,0,15,15,
1,15,58,Alonzo Nelson-Ododa misses a 3-point jump shot from 22 feet out.,109858,,true,false,false,Alonzo,,Nelson-Ododa,,Rich,,6,10,1,2,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,22,22,2,37,37,
1,15,58,Cedrick Lindsay with an offensive rebound.,97693,,true,false,false,Cedrick,,Lindsay,,Rich,,6,10,1,2,0,,,,,5,,,,5,Offensive Rebound,,,,37,37,
1,15,56,Personal foul committed by James Michael McAdoo.,110437,,true,false,false,James Michael,,McAdoo,,UNC,,6,10,1,3,1,,,,,0,,1,Personal,8,Foul,,,,15,15,
1,15,56,Official TV timeout.,,,false,false,false,,,,,,,6,10,1,3,0,,,,,0,,3,Official TV,11,Timeout,,,,15,15,
1,15,37,Cedrick Lindsay makes a 3-point jump shot from 23 feet out. Trey Davis with the assist.,97693,109855,true,true,false,Cedrick,Trey,Lindsay,Davis,Rich,Rich,6,13,1,3,0,,,,,8,3,45,Jump Shot,3,Field Goal Made,23,22.4,3.8,37,37,
1,14,58,Marcus Paige misses a jump shot from 10 feet out.,116587,,true,false,false,Marcus,,Paige,,UNC,,6,13,1,3,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,10,-10,3,15,15,
1,14,58,UNC with an offensive rebound.,,,false,false,false,,,,,,,6,13,1,3,0,,,,,0,,,,5,Offensive Rebound,,,,15,15,
1,14,55,James Michael McAdoo makes a jump shot from 7 feet out. Marcus Paige with the assist.,110437,116587,true,true,false,James Michael,Marcus,McAdoo,Paige,UNC,UNC,8,13,1,3,1,,,,,2,2,45,Jump Shot,3,Field Goal Made,7,1,7,15,15,
1,14,45,Alonzo Nelson-Ododa makes a hook shot from 9 feet out.,109858,,true,false,false,Alonzo,,Nelson-Ododa,,Rich,,8,15,1,3,0,,,,,2,2,55,Hook Shot,3,Field Goal Made,9,-3,8.7,37,37,
1,14,20,J.P. Tokoto misses a 3-point jump shot from 23 feet out.,116589,,true,false,false,J.P.,,Tokoto,,UNC,,8,15,1,3,0,,,,,4,3,45,Jump Shot,4,Field Goal Missed,23,5.9,22.7,15,15,
1,14,20,Trey Davis with a defensive rebound.,109855,,true,false,false,Trey,,Davis,,Rich,,8,15,1,3,0,,,,,0,,,,6,Defensive Rebound,,,,37,37,
1,14,12,Alonzo Nelson-Ododa makes a hook shot from 8 feet out.,109858,,true,false,false,Alonzo,,Nelson-Ododa,,Rich,,8,17,1,3,0,,,,,4,2,55,Hook Shot,3,Field Goal Made,8,-2.6,8.1,37,37,
1,14,09,Luke Davis with a out of bounds turnover: Out of Bounds,98623,,true,false,false,Luke,,Davis,,UNC,,8,17,1,3,0,,,,,0,,3,Out of Bounds,7,Turnover,,,,15,15,
