half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,14,14,
1,19,47,Evan Smotrycz misses a jump shot.,97334,,true,false,false,Evan,,Smotrycz,,MD,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,14,14,
1,19,18,Seth Tuttle misses a jump shot.,109796,,true,false,false,Seth,,Tuttle,,NoIa,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,202,202,
1,19,03,Nick Faust misses a 3-point jump shot.,110907,,true,false,false,Nick,,Faust,,MD,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,14,14,
1,18,40,Seth Tuttle makes a jump shot.,109796,,true,false,false,Seth,,Tuttle,,NoIa,,0,2,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,202,202,
1,18,07,Nick Faust misses a dunk shot.,110907,,true,false,false,Nick,,Faust,,MD,,0,2,0,0,0,,,,,0,2,48,Dunk Shot,4,Field Goal Missed,,,,14,14,
1,18,05,Personal foul committed by Shaquille Cleare.,116734,,true,false,false,Shaquille,,Cleare,,MD,,0,2,0,1,1,,,,,0,,1,Personal,8,Foul,,,,14,14,
1,17,52,Chip Rank misses a 3-point jump shot.,97721,,true,false,false,Chip,,Rank,,NoIa,,0,2,0,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,202,202,
1,17,45,Personal foul committed by Deon Mitchell.,109793,,true,false,false,Deon,,Mitchell,,NoIa,,0,2,1,1,1,,,,,0,,1,Personal,8,Foul,,,,202,202,
1,17,38,Deon Mitchell misses a layup shot.,109793,,true,false,false,Deon,,Mitchell,,NoIa,,0,2,1,1,1,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,202,202,
1,17,35,Chip Rank makes a layup shot.,97721,,true,false,false,Chip,,Rank,,NoIa,,0,4,1,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,202,202,
1,17,15,Personal foul committed by Chip Rank.,97721,,true,false,false,Chip,,Rank,,NoIa,,0,4,2,1,1,,,,,2,,1,Personal,8,Foul,,,,202,202,
1,16,32,Jake Layman misses a 3-point jump shot.,116731,,true,false,false,Jake,,Layman,,MD,,0,4,2,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,14,14,
