half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,94,94,
1,19,20,Robert Turner misses a jump shot from 9 feet out.,121732,,true,false,false,Robert,,Turner,,TxTch,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,9,-7.1,5.7,94,94,
1,19,20,Michael Young with a defensive rebound.,120761,,true,false,false,Michael,,Young,,Pitt,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,47,47,
1,19,14,Talib Zanna makes a layup shot.,88283,,true,false,false,Talib,,Zanna,,Pitt,,0,2,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,47,47,
1,19,06,Jaye Crockett misses a jump shot from 11 feet out.,88722,,true,false,false,Jaye,,Crockett,,TxTch,,0,2,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,11,2.5,11,94,94,
1,19,06,Talib Zanna with a defensive rebound.,88283,,true,false,false,Talib,,Zanna,,Pitt,,0,2,0,0,0,,,,,2,,,,6,Defensive Rebound,,,,47,47,
1,18,46,Cameron Wright misses a 3-point jump shot from 25 feet out.,97236,,true,false,false,Cameron,,Wright,,Pitt,,0,2,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,25,-17.4,18.4,47,47,
1,18,46,Michael Young with an offensive rebound.,120761,,true,false,false,Michael,,Young,,Pitt,,0,2,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,47,47,
1,18,40,Michael Young misses a layup shot.,120761,,true,false,false,Michael,,Young,,Pitt,,0,2,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,47,47,
1,18,40,Dejan Kravic with a defensive rebound.,110825,,true,false,false,Dejan,,Kravic,,TxTch,,0,2,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,94,94,
1,18,16,Robert Turner with a lost ball turnover: Lost Ball,121732,,true,false,false,Robert,,Turner,,TxTch,,0,2,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,94,94,
1,18,08,James Robinson makes a layup shot. Lamar Patterson with the assist.,116087,88282,true,true,false,James,Lamar,Robinson,Patterson,Pitt,Pitt,0,4,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,47,47,
1,17,35,Robert Turner with a bad pass turnover: Bad Pass,121732,,true,false,false,Robert,,Turner,,TxTch,,0,4,0,0,0,,,,,0,,1,Bad Pass,7,Turnover,,,,94,94,
1,17,22,Shooting foul committed by Dejan Kravic.,110825,,true,false,false,Dejan,,Kravic,,TxTch,,0,4,0,1,1,,,,,0,,2,Shooting,8,Foul,,,,94,94,
1,17,22,Talib Zanna misses free throw 1 of 2.,88283,,true,false,false,Talib,,Zanna,,Pitt,,0,4,0,1,0,,,,,2,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,47,47,
1,17,22,Pitt with an offensive rebound.,,,false,false,false,,,,,,,0,4,0,1,0,,,,,0,,,,5,Offensive Rebound,,,,47,47,
1,17,22,Talib Zanna misses free throw 2 of 2.,88283,,true,false,false,Talib,,Zanna,,Pitt,,0,4,0,1,0,,,,,2,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,47,47,
1,17,22,Dejan Kravic with a defensive rebound.,110825,,true,false,false,Dejan,,Kravic,,TxTch,,0,4,0,1,1,,,,,0,,,,6,Defensive Rebound,,,,94,94,
1,17,09,"Jordan Tolbert makes a dunk shot. Jamal Williams, Jr. with the assist.",110832,121733,true,true,false,Jordan,Jamal,Tolbert,"Williams, Jr.",TxTch,TxTch,2,4,0,1,0,,,,,2,2,48,Dunk Shot,3,Field Goal Made,0,0,0,94,94,
1,16,52,Lamar Patterson misses a 3-point jump shot from 23 feet out.,88282,,true,false,false,Lamar,,Patterson,,Pitt,,2,4,0,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-15.4,16.9,47,47,
1,16,52,TxTch with a defensive rebound.,,,false,false,false,,,,,,,2,4,0,1,0,,,,,0,,,,6,Defensive Rebound,,,,94,94,
1,16,44,Personal foul committed by Talib Zanna.,88283,,true,false,false,Talib,,Zanna,,Pitt,,2,4,1,1,1,,,,,2,,1,Personal,8,Foul,,,,47,47,
1,16,18,Robert Turner misses a jump shot from 18 feet out.,121732,,true,false,false,Robert,,Turner,,TxTch,,2,4,1,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,18,-13.7,12.3,94,94,
1,16,18,Pitt with a defensive rebound.,,,false,false,false,,,,,,,2,4,1,1,0,,,,,0,,,,6,Defensive Rebound,,,,47,47,
1,15,46,Official's timeout.,,,false,false,false,,,,,,,2,4,1,1,0,,,,,0,,4,Official,11,Timeout,,,,94,94,
1,15,27,Cameron Wright misses a 3-point jump shot from 23 feet out.,97236,,true,false,false,Cameron,,Wright,,Pitt,,2,4,1,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,16.9,16.1,47,47,
1,15,27,TxTch with a defensive rebound.,,,false,false,false,,,,,,,2,4,1,1,0,,,,,0,,,,6,Defensive Rebound,,,,94,94,
1,15,12,Jaye Crockett with a backcourt turnover turnover: Backcourt Turnover,88722,,true,false,false,Jaye,,Crockett,,TxTch,,2,4,1,1,0,,,,,0,,13,Backcourt Turnover,7,Turnover,,,,94,94,
1,15,04,Lamar Patterson makes a layup shot.,88282,,true,false,false,Lamar,,Patterson,,Pitt,,2,6,1,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,47,47,
1,15,04,Shooting foul committed by Kader Tapsoba.,110831,,true,false,false,Kader,,Tapsoba,,TxTch,,2,6,1,2,1,,,,,0,,2,Shooting,8,Foul,,,,94,94,
1,15,04,Lamar Patterson makes free throw 1 of 1.,88282,,true,false,false,Lamar,,Patterson,,Pitt,,2,7,1,2,0,,,,,3,1,10,Free Throw 1 of 1,1,Free Throw Made,,,,47,47,
1,14,45,Personal foul committed by Derrick Randall.,110181,,true,false,false,Derrick,,Randall,,Pitt,,2,7,2,2,1,,,,,0,,1,Personal,8,Foul,,,,47,47,
1,14,37,Dusty Hannahs misses a 3-point jump shot from 23 feet out.,117350,,true,false,false,Dusty,,Hannahs,,TxTch,,2,7,2,2,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-22.9,2.1,94,94,
1,14,37,Dejan Kravic with an offensive rebound.,110825,,true,false,false,Dejan,,Kravic,,TxTch,,2,7,2,2,1,,,,,0,,,,5,Offensive Rebound,,,,94,94,
1,14,10,Dusty Hannahs misses a jump shot from 13 feet out.,117350,,true,false,false,Dusty,,Hannahs,,TxTch,,2,7,2,2,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,13,-12.8,4,94,94,
1,14,10,Derrick Randall with a defensive rebound.,110181,,true,false,false,Derrick,,Randall,,Pitt,,2,7,2,2,1,,,,,0,,,,6,Defensive Rebound,,,,47,47,
1,13,50,James Robinson with a lost ball turnover: Lost Ball,116087,,true,false,false,James,,Robinson,,Pitt,,2,7,2,2,0,,,,,2,,2,Lost Ball,7,Turnover,,,,47,47,
1,13,34,Aaron Ross makes a layup shot.,117353,,true,false,false,Aaron,,Ross,,TxTch,,4,7,2,2,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,94,94,
1,13,26,Lamar Patterson makes a 3-point jump shot from 24 feet out. Cameron Wright with the assist.,88282,97236,true,true,false,Lamar,Cameron,Patterson,Wright,Pitt,Pitt,4,10,2,2,0,,,,,6,3,45,Jump Shot,3,Field Goal Made,24,-17.4,15.9,47,47,
1,13,07,Dejan Kravic with a lost ball turnover: Lost Ball,110825,,true,false,false,Dejan,,Kravic,,TxTch,,4,10,2,2,1,,,,,0,,2,Lost Ball,7,Turnover,,,,94,94,
1,13,04,Shooting foul committed by Jordan Tolbert.,110832,,true,false,false,Jordan,,Tolbert,,TxTch,,4,10,2,3,1,,,,,2,,2,Shooting,8,Foul,,,,94,94,
1,13,04,James Robinson makes free throw 1 of 2.,116087,,true,false,false,James,,Robinson,,Pitt,,4,11,2,3,0,,,,,3,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,47,47,
1,13,04,James Robinson makes free throw 2 of 2.,116087,,true,false,false,James,,Robinson,,Pitt,,4,12,2,3,0,,,,,4,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,47,47,
1,12,54,Personal foul committed by Durand Johnson.,109493,,true,false,false,Durand,,Johnson,,Pitt,,4,12,3,3,1,,,,,0,,1,Personal,8,Foul,,,,47,47,
1,12,25,Dusty Hannahs with a lost ball turnover: Lost Ball,117350,,true,false,false,Dusty,,Hannahs,,TxTch,,4,12,3,3,0,,,,,0,,2,Lost Ball,7,Turnover,,,,94,94,
1,12,18,Durand Johnson misses a 3-point jump shot from 23 feet out.,109493,,true,false,false,Durand,,Johnson,,Pitt,,4,12,3,3,1,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-17.1,15.7,47,47,
1,12,18,Jamel Artis with an offensive rebound.,120758,,true,false,false,Jamel,,Artis,,Pitt,,4,12,3,3,0,,,,,0,,,,5,Offensive Rebound,,,,47,47,
1,12,13,Jamel Artis makes a layup shot.,120758,,true,false,false,Jamel,,Artis,,Pitt,,4,14,3,3,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,47,47,
1,12,13,Personal foul committed by Josh Newkirk.,120759,,true,false,false,Josh,,Newkirk,,Pitt,,4,14,4,3,1,,,,,0,,1,Personal,8,Foul,,,,47,47,
1,11,57,Robert Turner misses a 3-point jump shot from 24 feet out.,121732,,true,false,false,Robert,,Turner,,TxTch,,4,14,4,3,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,21.2,12.2,94,94,
1,11,57,Talib Zanna with a defensive rebound.,88283,,true,false,false,Talib,,Zanna,,Pitt,,4,14,4,3,1,,,,,2,,,,6,Defensive Rebound,,,,47,47,
1,11,48,Jamel Artis misses a layup shot.,120758,,true,false,false,Jamel,,Artis,,Pitt,,4,14,4,3,0,,,,,2,2,40,Layup Shot,4,Field Goal Missed,0,0,0,47,47,
