half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,13,13,
1,19,46,Marcus Georges-Hunt misses a layup shot.,116540,,true,false,false,Marcus,,Georges-Hunt,,GaTech,,0,0,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,13,13,
1,19,46,Julius Francis with a defensive rebound.,88342,,true,false,false,Julius,,Francis,,MsVl,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,294,294,
1,19,20,James Currington misses a jump shot from 16 feet out.,122084,,true,false,false,James,,Currington,,MsVl,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,16,-13.4,9.4,294,294,
1,19,20,Chris Bolden with a defensive rebound.,116542,,true,false,false,Chris,,Bolden,,GaTech,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,13,13,
1,19,14,"Robert Carter, Jr. with a traveling turnover: Traveling",116541,,true,false,false,Robert,,"Carter, Jr.",,GaTech,,0,0,0,0,0,,,,,0,,4,Traveling,7,Turnover,,,,13,13,
1,19,01,Anthony McDonald misses a 3-point jump shot from 23 feet out.,122085,,true,false,false,Anthony,,McDonald,,MsVl,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,22.5,.2,294,294,
1,19,01,Julius Francis with an offensive rebound.,88342,,true,false,false,Julius,,Francis,,MsVl,,0,0,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,294,294,
1,18,54,Julius Francis misses a layup shot.,88342,,true,false,false,Julius,,Francis,,MsVl,,0,0,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,294,294,
1,18,54,Daniel Miller with a defensive rebound.,88211,,true,false,false,Daniel,,Miller,,GaTech,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,13,13,
1,18,49,Daniel Miller makes a layup shot. Marcus Georges-Hunt with the assist.,88211,116540,true,true,false,Daniel,Marcus,Miller,Georges-Hunt,GaTech,GaTech,2,0,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,13,13,
1,18,18,Julius Francis misses a layup shot.,88342,,true,false,false,Julius,,Francis,,MsVl,,2,0,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,294,294,
1,18,18,Chris Bolden with a defensive rebound.,116542,,true,false,false,Chris,,Bolden,,GaTech,,2,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,13,13,
1,18,04,"Robert Carter, Jr. misses a hook shot from 8 feet out.",116541,,true,false,false,Robert,,"Carter, Jr.",,GaTech,,2,0,0,0,0,,,,,0,2,55,Hook Shot,4,Field Goal Missed,8,-8.2,1.8,13,13,
1,18,04,Julius Francis with a defensive rebound.,88342,,true,false,false,Julius,,Francis,,MsVl,,2,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,294,294,
