half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,240,240,
1,19,31,Dwight Powell with a lost ball turnover: Lost Ball,97471,,true,false,false,Dwight,,Powell,,Stan,,0,0,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,240,240,
1,19,21,Talib Zanna makes a layup shot. Cameron Wright with the assist.,88283,97236,true,true,false,Talib,Cameron,Zanna,Wright,Pitt,Pitt,0,2,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,47,47,
1,19,10,Dwight Powell misses a jump shot from 15 feet out.,97471,,true,false,false,Dwight,,Powell,,Stan,,0,2,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,15,-.1,15,240,240,
1,19,10,Cameron Wright with a defensive rebound.,97236,,true,false,false,Cameron,,Wright,,Pitt,,0,2,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,47,47,
1,19,01,Lamar Patterson with a traveling turnover: Traveling,88282,,true,false,false,Lamar,,Patterson,,Pitt,,0,2,0,0,0,,,,,0,,4,Traveling,7,Turnover,,,,47,47,
1,18,51,Josh Huestis makes a dunk shot. Stefan Nastic with the assist.,97469,97470,true,true,false,Josh,Stefan,Huestis,Nastic,Stan,Stan,2,2,0,0,0,,,,,2,2,48,Dunk Shot,3,Field Goal Made,0,0,0,240,240,
1,18,16,James Robinson makes a 3-point jump shot from 23 feet out. Lamar Patterson with the assist.,116087,88282,true,true,false,James,Lamar,Robinson,Patterson,Pitt,Pitt,2,5,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,14.7,17.4,47,47,
1,17,49,Shooting foul committed by Michael Young.,120761,,true,false,false,Michael,,Young,,Pitt,,2,5,1,0,1,,,,,0,,2,Shooting,8,Foul,,,,47,47,
1,17,49,Dwight Powell misses free throw 1 of 2.,97471,,true,false,false,Dwight,,Powell,,Stan,,2,5,1,0,0,,,,,0,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,240,240,
1,17,49,Stan with an offensive rebound.,,,false,false,false,,,,,,,2,5,1,0,0,,,,,0,,,,5,Offensive Rebound,,,,240,240,
1,17,49,Dwight Powell makes free throw 2 of 2.,97471,,true,false,false,Dwight,,Powell,,Stan,,3,5,1,0,0,,,,,1,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,240,240,
1,17,19,Cameron Wright makes a layup shot. Lamar Patterson with the assist.,97236,88282,true,true,false,Cameron,Lamar,Wright,Patterson,Pitt,Pitt,3,7,1,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,47,47,
1,17,16,Personal foul committed by James Robinson.,116087,,true,false,false,James,,Robinson,,Pitt,,3,7,2,0,1,,,,,3,,1,Personal,8,Foul,,,,47,47,
1,17,03,Josh Huestis misses a layup shot.,97469,,true,false,false,Josh,,Huestis,,Stan,,3,7,2,0,0,,,,,2,2,40,Layup Shot,4,Field Goal Missed,0,0,0,240,240,
1,17,03,Pitt with a defensive rebound.,,,false,false,false,,,,,,,3,7,2,0,0,,,,,0,,,,6,Defensive Rebound,,,,47,47,
1,16,48,Talib Zanna makes a jump shot from 17 feet out. Lamar Patterson with the assist.,88283,88282,true,true,false,Talib,Lamar,Zanna,Patterson,Pitt,Pitt,3,9,2,0,0,,,,,4,2,45,Jump Shot,3,Field Goal Made,17,-17,0,47,47,
1,16,44,Stan take a 20-second timeout.,,,false,false,false,,,,,,,3,9,2,0,0,,,,,0,,2,Short,11,Timeout,,,,240,240,
1,16,28,Josh Huestis misses a jump shot from 11 feet out.,97469,,true,false,false,Josh,,Huestis,,Stan,,3,9,2,0,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,11,-8.1,8.1,240,240,
1,16,28,Lamar Patterson with a defensive rebound.,88282,,true,false,false,Lamar,,Patterson,,Pitt,,3,9,2,0,0,,,,,0,,,,6,Defensive Rebound,,,,47,47,
1,16,13,Cameron Wright misses a jump shot from 18 feet out.,97236,,true,false,false,Cameron,,Wright,,Pitt,,3,9,2,0,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,18,17.6,5,47,47,
