half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,17,17,
1,19,47,Du'Vaughn Maxwell makes a layup shot.,98303,,true,false,false,Du'Vaughn,,Maxwell,,Hamp,,0,2,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,189,189,
1,19,27,Mike Tobey makes a jump shot.,116698,,true,false,false,Mike,,Tobey,,UVa,,2,2,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,17,17,
1,18,57,Du'Vaughn Maxwell misses a jump shot.,98303,,true,false,false,Du'Vaughn,,Maxwell,,Hamp,,2,2,0,0,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,,,,189,189,
1,18,16,Deron Powers makes a layup shot.,117538,,true,false,false,Deron,,Powers,,Hamp,,2,4,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,189,189,
1,18,02,Malcolm Brogdon misses a jump shot.,109418,,true,false,false,Malcolm,,Brogdon,,UVa,,2,4,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,17,17,
1,17,37,Du'Vaughn Maxwell misses a jump shot.,98303,,true,false,false,Du'Vaughn,,Maxwell,,Hamp,,2,4,0,0,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,,,,189,189,
1,17,30,Malcolm Brogdon makes a layup shot.,109418,,true,false,false,Malcolm,,Brogdon,,UVa,,4,4,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,17,17,
1,17,11,Shooting foul committed by Du'Vaughn Maxwell.,98303,,true,false,false,Du'Vaughn,,Maxwell,,Hamp,,4,4,1,0,1,,,,,2,,2,Shooting,8,Foul,,,,189,189,
1,17,11,Akil Mitchell misses free throw 1 of 2.,97111,,true,false,false,Akil,,Mitchell,,UVa,,4,4,1,0,0,,,,,0,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,17,17,
1,17,11,Akil Mitchell misses free throw 2 of 2.,97111,,true,false,false,Akil,,Mitchell,,UVa,,4,4,1,0,0,,,,,0,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,17,17,
