half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,11,11,
1,19,41,Jabari Parker misses a jump shot from 15 feet out.,121033,,true,false,false,Jabari,,Parker,,Duke,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,15,14.5,3.3,11,11,
1,19,41,Levi Randolph with a defensive rebound.,110648,,true,false,false,Levi,,Randolph,,Ala,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,253,253,
1,19,27,Trevor Releford with a lost ball turnover: Lost Ball,97701,,true,false,false,Trevor,,Releford,,Ala,,0,0,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,253,253,
1,19,26,Personal foul committed by Retin Obasohan.,110647,,true,false,false,Retin,,Obasohan,,Ala,,0,0,1,0,1,,,,,0,,1,Personal,8,Foul,,,,253,253,
1,19,07,Jabari Parker misses a jump shot from 20 feet out.,121033,,true,false,false,Jabari,,Parker,,Duke,,0,0,1,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,20,-8.6,18.4,11,11,
1,19,07,Jimmie Taylor with a defensive rebound.,121155,,true,false,false,Jimmie,,Taylor,,Ala,,0,0,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,253,253,
1,18,51,Offensive foul committed by Jimmie Taylor.,121155,,true,false,false,Jimmie,,Taylor,,Ala,,0,0,2,0,1,,,,,0,,4,Offensive,8,Foul,,,,253,253,
1,18,51,Jimmie Taylor with a  turnover:,121155,,true,false,false,Jimmie,,Taylor,,Ala,,0,0,2,0,1,,,,,0,,,,7,Turnover,,,,253,253,
1,18,35,Rodney Hood misses a layup shot.,109781,,true,false,false,Rodney,,Hood,,Duke,,0,0,2,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,11,11,
1,18,35,Jimmie Taylor with a defensive rebound.,121155,,true,false,false,Jimmie,,Taylor,,Ala,,0,0,2,0,1,,,,,0,,,,6,Defensive Rebound,,,,253,253,
