half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,33,33,
1,19,43,Rion Brown misses a layup shot.,97135,,true,false,false,Rion,,Brown,,Mia-Fl,,0,0,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,45,45,
1,19,39,Donnavan Kirk makes a tip shot.,88217,,true,false,false,Donnavan,,Kirk,,Mia-Fl,,0,2,0,0,0,,,,,2,2,53,Tip Shot,3,Field Goal Made,,,,45,45,
1,19,32,Kevin Larsen misses a jump shot.,116027,,true,false,false,Kevin,,Larsen,,GW,,0,2,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,33,33,
1,18,58,Manu Lecomte misses a 3-point jump shot.,120602,,true,false,false,Manu,,Lecomte,,Mia-Fl,,0,2,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,45,45,
1,18,42,Maurice Creek misses a jump shot.,88952,,true,false,false,Maurice,,Creek,,GW,,0,2,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,33,33,
1,18,21,Rion Brown makes a jump shot.,97135,,true,false,false,Rion,,Brown,,Mia-Fl,,0,4,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,45,45,
1,18,02,Kethan Savage misses a 3-point jump shot.,116029,,true,false,false,Kethan,,Savage,,GW,,0,4,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,33,33,
1,17,35,Shooting foul committed by Maurice Creek.,88952,,true,false,false,Maurice,,Creek,,GW,,0,4,0,1,1,,,,,0,,2,Shooting,8,Foul,,,,33,33,
1,17,35,Garrius Adams makes free throw 1 of 2.,88215,,true,false,false,Garrius,,Adams,,Mia-Fl,,0,5,0,1,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,45,45,
