half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,18,18,
1,19,45,"Wayne Selden, Jr. misses a 3-point jump shot from 23 feet out.",121909,,true,false,false,Wayne,,"Selden, Jr.",,Kansas,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-11.3,20.1,86,86,
1,19,45,Perry Ellis with an offensive rebound.,116556,,true,false,false,Perry,,Ellis,,Kansas,,0,0,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,86,86,
1,19,44,Perry Ellis makes a dunk shot.,116556,,true,false,false,Perry,,Ellis,,Kansas,,0,2,0,0,0,,,,,2,2,48,Dunk Shot,3,Field Goal Made,0,0,0,86,86,
1,19,11,Devin Thomas misses a jump shot from 16 feet out.,116010,,true,false,false,Devin,,Thomas,,Wake,,0,2,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,16,13.9,8.2,18,18,
1,19,11,Tyler Cavanaugh with an offensive rebound.,116013,,true,false,false,Tyler,,Cavanaugh,,Wake,,0,2,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,18,18,
1,19,10,Shooting foul committed by Tarik Black.,97322,,true,false,false,Tarik,,Black,,Kansas,,0,2,1,0,1,,,,,0,,2,Shooting,8,Foul,,,,86,86,
1,19,10,Tyler Cavanaugh makes free throw 1 of 2.,116013,,true,false,false,Tyler,,Cavanaugh,,Wake,,1,2,1,0,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,18,18,
1,19,10,Tyler Cavanaugh makes free throw 2 of 2.,116013,,true,false,false,Tyler,,Cavanaugh,,Wake,,2,2,1,0,0,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,18,18,
1,18,42,"Wayne Selden, Jr. with a lost ball turnover: Lost Ball",121909,,true,false,false,Wayne,,"Selden, Jr.",,Kansas,,2,2,1,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,86,86,
1,18,29,Devin Thomas makes a layup shot.,116010,,true,false,false,Devin,,Thomas,,Wake,,4,2,1,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,18,18,
1,18,22,Andrew Wiggins makes a jump shot from 18 feet out.,121907,,true,false,false,Andrew,,Wiggins,,Kansas,,4,4,1,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,18,-17.4,3,86,86,
1,18,05,Personal foul committed by Andrew Wiggins.,121907,,true,false,false,Andrew,,Wiggins,,Kansas,,4,4,2,0,1,,,,,2,,1,Personal,8,Foul,,,,86,86,
1,17,50,Tyler Cavanaugh misses a jump shot from 18 feet out.,116013,,true,false,false,Tyler,,Cavanaugh,,Wake,,4,4,2,0,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,18,-3.5,18.1,18,18,
1,17,50,Perry Ellis with a defensive rebound.,116556,,true,false,false,Perry,,Ellis,,Kansas,,4,4,2,0,0,,,,,2,,,,6,Defensive Rebound,,,,86,86,
1,17,39,Andrew Wiggins misses a jump shot from 17 feet out.,121907,,true,false,false,Andrew,,Wiggins,,Kansas,,4,4,2,0,1,,,,,2,2,45,Jump Shot,4,Field Goal Missed,17,8.8,14.7,86,86,
1,17,39,Tyler Cavanaugh with a defensive rebound.,116013,,true,false,false,Tyler,,Cavanaugh,,Wake,,4,4,2,0,0,,,,,2,,,,6,Defensive Rebound,,,,18,18,
1,17,32,Tyler Cavanaugh misses a 3-point jump shot from 24 feet out.,116013,,true,false,false,Tyler,,Cavanaugh,,Wake,,4,4,2,0,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,24,-8.9,21.8,18,18,
1,17,32,Naadir Tharpe with a defensive rebound.,110107,,true,false,false,Naadir,,Tharpe,,Kansas,,4,4,2,0,0,,,,,0,,,,6,Defensive Rebound,,,,86,86,
