half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,96,96,
1,19,33,Josh Gentry misses a layup shot.,110931,,true,false,false,Josh,,Gentry,,CSF,,0,0,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,96,96,
1,19,21,Davon Reed misses a layup shot.,120601,,true,false,false,Davon,,Reed,,Mia-Fl,,0,0,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,45,45,
1,19,14,Joe Boyd misses a jump shot.,121131,,true,false,false,Joe,,Boyd,,CSF,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,96,96,
1,18,58,Garrius Adams misses a 3-point jump shot.,88215,,true,false,false,Garrius,,Adams,,Mia-Fl,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,45,45,
1,18,22,Marquis Horne misses a jump shot.,88743,,true,false,false,Marquis,,Horne,,CSF,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,96,96,
1,18,22,Garrius Adams misses a 3-point jump shot.,88215,,true,false,false,Garrius,,Adams,,Mia-Fl,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,45,45,
1,18,17,Personal foul committed by Rion Brown.,97135,,true,false,false,Rion,,Brown,,Mia-Fl,,0,0,1,0,1,,,,,0,,1,Personal,8,Foul,,,,45,45,
1,17,49,James Kelly makes a jump shot.,120603,,true,false,false,James,,Kelly,,Mia-Fl,,0,2,1,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,45,45,
1,17,24,Marquis Horne makes a jump shot.,88743,,true,false,false,Marquis,,Horne,,CSF,,2,2,1,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,96,96,
