half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,204,204,
1,19,36,Jarmar Gulley makes a 3-point jump shot.,110142,,true,false,false,Jarmar,,Gulley,,MoStU,,3,0,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,204,204,
1,19,19,Anthony Gill misses a jump shot.,109947,,true,false,false,Anthony,,Gill,,UVa,,3,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,17,17,
1,19,02,Jarmar Gulley makes a layup shot.,110142,,true,false,false,Jarmar,,Gulley,,MoStU,,5,0,0,0,0,,,,,5,2,40,Layup Shot,3,Field Goal Made,,,,204,204,
1,18,33,Joe Harris misses a 3-point jump shot.,97108,,true,false,false,Joe,,Harris,,UVa,,5,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,17,17,
1,18,11,Joe Harris makes a 3-point jump shot.,97108,,true,false,false,Joe,,Harris,,UVa,,5,3,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,17,17,
1,17,26,London Perrantes misses a 3-point jump shot.,120610,,true,false,false,London,,Perrantes,,UVa,,5,3,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,17,17,
1,17,07,Emmanuel Addo misses a 3-point jump shot.,88308,,true,false,false,Emmanuel,,Addo,,MoStU,,5,3,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,204,204,
1,16,28,Austin Ruder makes a 3-point jump shot.,120909,,true,false,false,Austin,,Ruder,,MoStU,,8,3,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,204,204,
1,16,10,Personal foul committed by Tyler McCullough.,120912,,true,false,false,Tyler,,McCullough,,MoStU,,8,3,0,1,1,,,,,0,,1,Personal,8,Foul,,,,204,204,
1,15,38,London Perrantes misses a 3-point jump shot.,120610,,true,false,false,London,,Perrantes,,UVa,,8,3,0,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,17,17,
1,15,09,Emmanuel Addo makes a 3-point jump shot.,88308,,true,false,false,Emmanuel,,Addo,,MoStU,,11,3,0,1,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,204,204,
1,14,40,Malcolm Brogdon misses a 3-point jump shot.,109418,,true,false,false,Malcolm,,Brogdon,,UVa,,11,3,0,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,17,17,
1,14,32,Austin Ruder misses a 3-point jump shot.,120909,,true,false,false,Austin,,Ruder,,MoStU,,11,3,0,1,0,,,,,3,3,45,Jump Shot,4,Field Goal Missed,,,,204,204,
1,14,27,London Perrantes misses a jump shot.,120610,,true,false,false,London,,Perrantes,,UVa,,11,3,0,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,17,17,
1,14,03,Emmanuel Addo misses a jump shot.,88308,,true,false,false,Emmanuel,,Addo,,MoStU,,11,3,0,1,0,,,,,3,2,45,Jump Shot,4,Field Goal Missed,,,,204,204,
1,13,56,Personal foul committed by Emmanuel Addo.,88308,,true,false,false,Emmanuel,,Addo,,MoStU,,11,3,0,2,1,,,,,3,,1,Personal,8,Foul,,,,204,204,
1,13,56,Official TV timeout.,,,false,false,false,,,,,,,11,3,0,2,0,,,,,0,,3,Official TV,11,Timeout,,,,204,204,
1,13,19,Justin Anderson makes a layup shot.,116701,,true,false,false,Justin,,Anderson,,UVa,,11,5,0,2,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,17,17,
1,12,36,Mike Tobey makes a hook shot.,116698,,true,false,false,Mike,,Tobey,,UVa,,11,7,0,2,0,,,,,2,2,55,Hook Shot,3,Field Goal Made,,,,17,17,
1,12,27,Gavin Thurman makes a 3-point jump shot.,116409,,true,false,false,Gavin,,Thurman,,MoStU,,14,7,0,2,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,204,204,
1,11,56,Evan Nolte misses a 3-point jump shot.,116699,,true,false,false,Evan,,Nolte,,UVa,,14,7,0,2,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,17,17,
1,11,39,Austin Ruder misses a layup shot.,120909,,true,false,false,Austin,,Ruder,,MoStU,,14,7,0,2,0,,,,,3,2,40,Layup Shot,4,Field Goal Missed,,,,204,204,
1,11,32,Malcolm Brogdon makes a layup shot.,109418,,true,false,false,Malcolm,,Brogdon,,UVa,,14,9,0,2,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,17,17,
1,11,15,Official TV timeout.,,,false,false,false,,,,,,,14,9,0,2,0,,,,,0,,3,Official TV,11,Timeout,,,,204,204,
1,10,53,Ron Mvouika misses a 3-point jump shot.,120910,,true,false,false,Ron,,Mvouika,,MoStU,,14,9,0,2,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,204,204,
1,10,26,Mike Tobey misses a jump shot.,116698,,true,false,false,Mike,,Tobey,,UVa,,14,9,0,2,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,,,,17,17,
1,10,18,Justin Anderson makes a dunk shot.,116701,,true,false,false,Justin,,Anderson,,UVa,,14,11,0,2,0,,,,,4,2,48,Dunk Shot,3,Field Goal Made,,,,17,17,
1,10,03,Ron Mvouika misses a layup shot.,120910,,true,false,false,Ron,,Mvouika,,MoStU,,14,11,0,2,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,204,204,
1,9,56,Christian Kirk makes a layup shot.,110146,,true,false,false,Christian,,Kirk,,MoStU,,16,11,0,2,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,204,204,
1,9,34,Justin Anderson makes a 3-point jump shot.,116701,,true,false,false,Justin,,Anderson,,UVa,,16,14,0,2,0,,,,,7,3,45,Jump Shot,3,Field Goal Made,,,,17,17,
