half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,236,236,
1,19,38,Jahii Carson makes a 3-point jump shot.,109674,,true,false,false,Jahii,,Carson,,AriSt,,3,0,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,236,236,
1,19,06,Donnavan Kirk misses a hook shot.,88217,,true,false,false,Donnavan,,Kirk,,Mia-Fl,,3,0,0,0,0,,,,,0,2,55,Hook Shot,4,Field Goal Missed,,,,45,45,
1,19,02,Davon Reed misses a 3-point jump shot.,120601,,true,false,false,Davon,,Reed,,Mia-Fl,,3,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,45,45,
1,18,51,Egor Koulechov misses a 3-point jump shot.,120795,,true,false,false,Egor,,Koulechov,,AriSt,,3,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,236,236,
1,18,24,Donnavan Kirk misses a hook shot.,88217,,true,false,false,Donnavan,,Kirk,,Mia-Fl,,3,0,0,0,0,,,,,0,2,55,Hook Shot,4,Field Goal Missed,,,,45,45,
1,18,14,Jermaine Marshall makes a 3-point jump shot.,88907,,true,false,false,Jermaine,,Marshall,,AriSt,,6,0,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,236,236,
1,17,50,Garrius Adams misses a 3-point jump shot.,88215,,true,false,false,Garrius,,Adams,,Mia-Fl,,6,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,45,45,
1,17,22,Rion Brown makes a layup shot.,97135,,true,false,false,Rion,,Brown,,Mia-Fl,,6,2,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,45,45,
1,16,47,Jahii Carson misses a jump shot.,109674,,true,false,false,Jahii,,Carson,,AriSt,,6,2,0,0,0,,,,,3,2,45,Jump Shot,4,Field Goal Missed,,,,236,236,
1,16,39,Garrius Adams makes a jump shot.,88215,,true,false,false,Garrius,,Adams,,Mia-Fl,,6,4,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,45,45,
1,16,18,Jonathan Gilling makes a 3-point jump shot.,109681,,true,false,false,Jonathan,,Gilling,,AriSt,,9,4,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,236,236,
1,15,49,James Kelly makes a dunk shot.,120603,,true,false,false,James,,Kelly,,Mia-Fl,,9,6,0,0,0,,,,,2,2,48,Dunk Shot,3,Field Goal Made,,,,45,45,
1,15,28,Jordan Bachynski misses a hook shot.,97125,,true,false,false,Jordan,,Bachynski,,AriSt,,9,6,0,0,0,,,,,0,2,55,Hook Shot,4,Field Goal Missed,,,,236,236,
1,15,18,Personal foul committed by Jermaine Marshall.,88907,,true,false,false,Jermaine,,Marshall,,AriSt,,9,6,0,1,1,,,,,3,,1,Personal,8,Foul,,,,236,236,
1,15,18,Official TV timeout.,,,false,false,false,,,,,,,9,6,0,1,0,,,,,0,,3,Official TV,11,Timeout,,,,236,236,
1,14,56,James Kelly misses a jump shot.,120603,,true,false,false,James,,Kelly,,Mia-Fl,,9,6,0,1,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,,,,45,45,
1,14,40,Rion Brown misses a layup shot.,97135,,true,false,false,Rion,,Brown,,Mia-Fl,,9,6,0,1,0,,,,,2,2,40,Layup Shot,4,Field Goal Missed,,,,45,45,
1,14,30,Sai Tummala makes a jump shot.,110139,,true,false,false,Sai,,Tummala,,AriSt,,11,6,0,1,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,236,236,
1,14,10,Davon Reed makes a 3-point jump shot.,120601,,true,false,false,Davon,,Reed,,Mia-Fl,,11,9,0,1,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,45,45,
1,13,36,Sai Tummala misses a 3-point jump shot.,110139,,true,false,false,Sai,,Tummala,,AriSt,,11,9,0,1,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,,,,236,236,
1,13,08,Donnavan Kirk misses a hook shot.,88217,,true,false,false,Donnavan,,Kirk,,Mia-Fl,,11,9,0,1,0,,,,,0,2,55,Hook Shot,4,Field Goal Missed,,,,45,45,
1,12,32,Jonathan Gilling misses a 3-point jump shot.,109681,,true,false,false,Jonathan,,Gilling,,AriSt,,11,9,0,1,0,,,,,3,3,45,Jump Shot,4,Field Goal Missed,,,,236,236,
1,12,25,Personal foul committed by Sai Tummala.,110139,,true,false,false,Sai,,Tummala,,AriSt,,11,9,0,2,1,,,,,2,,1,Personal,8,Foul,,,,236,236,
