half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,10,10,
1,19,42,Darryl Palmer misses a jump shot.,117439,,true,false,false,Darryl,,Palmer,,SCSt,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,195,195,
1,19,12,Jaron Blossomgame misses a layup shot.,116770,,true,false,false,Jaron,,Blossomgame,,Clem,,0,0,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,10,10,
1,18,39,Jalen White misses a layup shot.,122056,,true,false,false,Jalen,,White,,SCSt,,0,0,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,195,195,
1,18,39,Rod Hall misses a jump shot.,110088,,true,false,false,Rod,,Hall,,Clem,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,10,10,
1,18,21,Personal foul committed by K.J. McDaniels.,110089,,true,false,false,K.J.,,McDaniels,,Clem,,0,0,0,1,1,,,,,0,,1,Personal,8,Foul,,,,10,10,
1,17,49,Jordan Smith makes a layup shot.,122057,,true,false,false,Jordan,,Smith,,SCSt,,0,2,0,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,195,195,
1,17,25,Jordan Smith misses a 3-point jump shot.,122057,,true,false,false,Jordan,,Smith,,SCSt,,0,2,0,1,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,,,,195,195,
1,17,12,Devin Coleman misses a 3-point jump shot.,110087,,true,false,false,Devin,,Coleman,,Clem,,0,2,0,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,10,10,
1,16,40,Jordan Smith makes a 3-point jump shot.,122057,,true,false,false,Jordan,,Smith,,SCSt,,0,5,0,1,0,,,,,5,3,45,Jump Shot,3,Field Goal Made,,,,195,195,
