half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,11,11,
1,19,27,Rodney Hood misses a jump shot from 19 feet out.,109781,,true,false,false,Rodney,,Hood,,Duke,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,19,-13.2,13.3,11,11,
1,19,27,Tyler Thornton with an offensive rebound.,97330,,true,false,false,Tyler,,Thornton,,Duke,,0,0,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,11,11,
1,19,08,Jabari Parker makes a layup shot. Quinn Cook with the assist.,121033,109412,true,true,false,Jabari,Quinn,Parker,Cook,Duke,Duke,2,0,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,11,11,
1,18,55,Mitch McGary misses a hook shot from 8 feet out.,116743,,true,false,false,Mitch,,McGary,,Mich,,2,0,0,0,0,,,,,0,2,55,Hook Shot,4,Field Goal Missed,8,-7.9,2.3,75,75,
1,18,55,Jabari Parker with a defensive rebound.,121033,,true,false,false,Jabari,,Parker,,Duke,,2,0,0,0,0,,,,,2,,,,6,Defensive Rebound,,,,11,11,
1,18,37,Rodney Hood misses a jump shot from 14 feet out.,109781,,true,false,false,Rodney,,Hood,,Duke,,2,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,14,14,.8,11,11,
1,18,37,Glenn Robinson III with a defensive rebound.,116741,,true,false,false,Glenn,,Robinson III,,Mich,,2,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,75,75,
1,18,06,Glenn Robinson III misses a jump shot from 18 feet out.,116741,,true,false,false,Glenn,,Robinson III,,Mich,,2,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,18,17.4,2.1,75,75,
1,18,06,Mitch McGary with an offensive rebound.,116743,,true,false,false,Mitch,,McGary,,Mich,,2,0,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,75,75,
1,17,58,Derrick Walton Jr. misses a 3-point jump shot from 24 feet out.,120655,,true,false,false,Derrick,,Walton Jr.,,Mich,,2,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,-1.3,23.7,75,75,
1,17,58,Rodney Hood with a defensive rebound.,109781,,true,false,false,Rodney,,Hood,,Duke,,2,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,11,11,
1,17,45,Rodney Hood makes a 3-point jump shot from 23 feet out.,109781,,true,false,false,Rodney,,Hood,,Duke,,5,0,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,-13,19.3,11,11,
1,17,27,Mitch McGary misses a jump shot from 19 feet out.,116743,,true,false,false,Mitch,,McGary,,Mich,,5,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,19,-11.6,14.9,75,75,
1,17,27,Rodney Hood with a defensive rebound.,109781,,true,false,false,Rodney,,Hood,,Duke,,5,0,0,0,0,,,,,3,,,,6,Defensive Rebound,,,,11,11,
1,17,14,Quinn Cook with a backcourt turnover turnover: Backcourt Turnover,109412,,true,false,false,Quinn,,Cook,,Duke,,5,0,0,0,0,,,,,0,,13,Backcourt Turnover,7,Turnover,,,,11,11,
1,16,56,Derrick Walton Jr. makes a layup shot.,120655,,true,false,false,Derrick,,Walton Jr.,,Mich,,5,2,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,75,75,
1,16,26,Tyler Thornton makes a 3-point jump shot from 23 feet out. Josh Hairston with the assist.,97330,97328,true,true,false,Tyler,Josh,Thornton,Hairston,Duke,Duke,8,2,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,-22.5,1.4,11,11,
1,15,58,Personal foul committed by Josh Hairston.,97328,,true,false,false,Josh,,Hairston,,Duke,,8,2,0,1,1,,,,,0,,1,Personal,8,Foul,,,,11,11,
1,15,58,Official's timeout.,,,false,false,false,,,,,,,8,2,0,1,0,,,,,0,,4,Official,11,Timeout,,,,11,11,
1,15,39,Glenn Robinson III makes a layup shot. Mitch McGary with the assist.,116741,116743,true,true,false,Glenn,Mitch,Robinson III,McGary,Mich,Mich,8,4,0,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,75,75,
1,15,18,Quinn Cook misses a 3-point jump shot from 23 feet out.,109412,,true,false,false,Quinn,,Cook,,Duke,,8,4,0,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-3,23,11,11,
1,15,18,Josh Hairston with an offensive rebound.,97328,,true,false,false,Josh,,Hairston,,Duke,,8,4,0,1,1,,,,,0,,,,5,Offensive Rebound,,,,11,11,
1,15,06,Josh Hairston misses a jump shot from 21 feet out.,97328,,true,false,false,Josh,,Hairston,,Duke,,8,4,0,1,1,,,,,0,2,45,Jump Shot,4,Field Goal Missed,21,-15,15,11,11,
1,15,06,Mitch McGary with a defensive rebound.,116743,,true,false,false,Mitch,,McGary,,Mich,,8,4,0,1,0,,,,,0,,,,6,Defensive Rebound,,,,75,75,
1,14,56,Shooting foul committed by Josh Hairston.,97328,,true,false,false,Josh,,Hairston,,Duke,,8,4,0,2,2,,,,,0,,2,Shooting,8,Foul,,,,11,11,
