half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,89,89,
1,19,54,Walter Pitchford makes a 3-point jump shot.,110262,,true,false,false,Walter,,Pitchford,,Neb,,3,0,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,89,89,
1,19,48,Donnavan Kirk misses a jump shot.,88217,,true,false,false,Donnavan,,Kirk,,Mia-Fl,,3,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,45,45,
1,19,11,Ray Gallegos misses a 3-point jump shot.,88366,,true,false,false,Ray,,Gallegos,,Neb,,3,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,89,89,
1,18,39,Garrius Adams misses a 3-point jump shot.,88215,,true,false,false,Garrius,,Adams,,Mia-Fl,,3,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,45,45,
1,18,17,Shavon Shields misses a jump shot.,117684,,true,false,false,Shavon,,Shields,,Neb,,3,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,89,89,
1,18,01,Rion Brown misses a 3-point jump shot.,97135,,true,false,false,Rion,,Brown,,Mia-Fl,,3,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,45,45,
1,17,59,Personal foul committed by Donnavan Kirk.,88217,,true,false,false,Donnavan,,Kirk,,Mia-Fl,,3,0,1,0,1,,,,,0,,1,Personal,8,Foul,,,,45,45,
1,17,43,Terran Petteway misses a jump shot.,110830,,true,false,false,Terran,,Petteway,,Neb,,3,0,1,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,89,89,
1,17,37,Personal foul committed by Tai Webster.,122099,,true,false,false,Tai,,Webster,,Neb,,3,0,1,1,1,,,,,0,,1,Personal,8,Foul,,,,89,89,
1,17,20,Shavon Shields makes a layup shot.,117684,,true,false,false,Shavon,,Shields,,Neb,,5,0,1,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,89,89,
1,16,46,Donnavan Kirk misses a jump shot.,88217,,true,false,false,Donnavan,,Kirk,,Mia-Fl,,5,0,1,1,1,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,45,45,
1,16,31,Walter Pitchford misses a 3-point jump shot.,110262,,true,false,false,Walter,,Pitchford,,Neb,,5,0,1,1,0,,,,,3,3,45,Jump Shot,4,Field Goal Missed,,,,89,89,
1,16,27,Garrius Adams misses a 3-point jump shot.,88215,,true,false,false,Garrius,,Adams,,Mia-Fl,,5,0,1,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,45,45,
1,15,43,Rion Brown makes a jump shot.,97135,,true,false,false,Rion,,Brown,,Mia-Fl,,5,2,1,1,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,45,45,
1,15,25,Walter Pitchford makes a jump shot.,110262,,true,false,false,Walter,,Pitchford,,Neb,,7,2,1,1,0,,,,,5,2,45,Jump Shot,3,Field Goal Made,,,,89,89,
1,14,57,Garrius Adams misses a jump shot.,88215,,true,false,false,Garrius,,Adams,,Mia-Fl,,7,2,1,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,45,45,
1,14,34,Official TV timeout.,,,false,false,false,,,,,,,7,2,1,1,0,,,,,0,,3,Official TV,11,Timeout,,,,89,89,
1,14,19,Personal foul committed by Leslee Smith.,97357,,true,false,false,Leslee,,Smith,,Neb,,7,2,1,2,1,,,,,0,,1,Personal,8,Foul,,,,89,89,
1,14,12,Manu Lecomte misses a jump shot.,120602,,true,false,false,Manu,,Lecomte,,Mia-Fl,,7,2,1,2,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,45,45,
1,13,37,Leslee Smith misses a layup shot.,97357,,true,false,false,Leslee,,Smith,,Neb,,7,2,1,2,1,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,89,89,
1,13,35,Shooting foul committed by Raphael Akpejiori.,97134,,true,false,false,Raphael,,Akpejiori,,Mia-Fl,,7,2,2,2,1,,,,,0,,2,Shooting,8,Foul,,,,45,45,
1,13,35,Leslee Smith makes free throw 1 of 2.,97357,,true,false,false,Leslee,,Smith,,Neb,,8,2,2,2,1,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,89,89,
1,13,35,Leslee Smith misses free throw 2 of 2.,97357,,true,false,false,Leslee,,Smith,,Neb,,8,2,2,2,1,,,,,1,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,89,89,
1,13,31,Erik Swoope makes a jump shot.,97136,,true,false,false,Erik,,Swoope,,Mia-Fl,,8,4,2,2,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,45,45,
1,13,03,Shavon Shields misses a jump shot.,117684,,true,false,false,Shavon,,Shields,,Neb,,8,4,2,2,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,,,,89,89,
1,13,00,Leslee Smith makes a tip shot.,97357,,true,false,false,Leslee,,Smith,,Neb,,10,4,2,2,1,,,,,3,2,53,Tip Shot,3,Field Goal Made,,,,89,89,
1,12,37,Erik Swoope makes a 3-point jump shot.,97136,,true,false,false,Erik,,Swoope,,Mia-Fl,,10,7,2,2,0,,,,,5,3,45,Jump Shot,3,Field Goal Made,,,,45,45,
1,12,21,Terran Petteway misses a jump shot.,110830,,true,false,false,Terran,,Petteway,,Neb,,10,7,2,2,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,89,89,
1,12,17,Leslee Smith misses a tip shot.,97357,,true,false,false,Leslee,,Smith,,Neb,,10,7,2,2,1,,,,,3,2,53,Tip Shot,4,Field Goal Missed,,,,89,89,
1,11,55,Erik Swoope misses a 3-point jump shot.,97136,,true,false,false,Erik,,Swoope,,Mia-Fl,,10,7,2,2,0,,,,,5,3,45,Jump Shot,4,Field Goal Missed,,,,45,45,
