half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,81,81,
1,19,45,Jay Simpson makes a layup shot.,116208,,true,false,false,Jay,,Simpson,,Purdue,,2,0,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,81,81,
1,19,30,Personal foul committed by Kendall Stephens.,120667,,true,false,false,Kendall,,Stephens,,Purdue,,2,0,0,1,1,,,,,0,,1,Personal,8,Foul,,,,81,81,
1,19,22,Joe Rahon misses a layup shot.,116004,,true,false,false,Joe,,Rahon,,BC,,2,0,0,1,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,42,42,
1,19,18,Ryan Anderson makes a dunk shot.,110082,,true,false,false,Ryan,,Anderson,,BC,,2,2,0,1,0,,,,,2,2,48,Dunk Shot,3,Field Goal Made,,,,42,42,
1,19,06,Kendall Stephens makes a 3-point jump shot.,120667,,true,false,false,Kendall,,Stephens,,Purdue,,5,2,0,1,1,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,81,81,
1,18,40,Shooting foul committed by Kendall Stephens.,120667,,true,false,false,Kendall,,Stephens,,Purdue,,5,2,0,2,2,,,,,3,,2,Shooting,8,Foul,,,,81,81,
1,18,40,Ryan Anderson makes free throw 1 of 2.,110082,,true,false,false,Ryan,,Anderson,,BC,,5,3,0,2,0,,,,,3,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,42,42,
1,18,40,Ryan Anderson makes free throw 2 of 2.,110082,,true,false,false,Ryan,,Anderson,,BC,,5,4,0,2,0,,,,,4,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,42,42,
1,18,21,Jay Simpson misses a jump shot.,116208,,true,false,false,Jay,,Simpson,,Purdue,,5,4,0,2,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,,,,81,81,
1,18,12,Joe Rahon misses a 3-point jump shot.,116004,,true,false,false,Joe,,Rahon,,BC,,5,4,0,2,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,42,42,
