half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,17,17,
1,19,24,Frank Kaminsky with a lost ball turnover: Lost Ball,110238,,true,false,false,Frank,,Kaminsky,,Wisc,,0,0,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,82,82,
1,19,08,Akil Mitchell misses a hook shot from 5 feet out.,97111,,true,false,false,Akil,,Mitchell,,UVa,,0,0,0,0,0,,,,,0,2,55,Hook Shot,4,Field Goal Missed,5,-.3,5.3,17,17,
1,19,08,Ben Brust with a defensive rebound.,97375,,true,false,false,Ben,,Brust,,Wisc,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,82,82,
1,18,56,Ben Brust misses a 3-point jump shot from 24 feet out.,97375,,true,false,false,Ben,,Brust,,Wisc,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,-12.8,20.3,82,82,
1,18,56,London Perrantes with a defensive rebound.,120610,,true,false,false,London,,Perrantes,,UVa,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,17,17,
1,18,47,Joe Harris misses a 3-point jump shot from 22 feet out.,97108,,true,false,false,Joe,,Harris,,UVa,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,22,-22,.8,17,17,
1,18,47,Frank Kaminsky with a defensive rebound.,110238,,true,false,false,Frank,,Kaminsky,,Wisc,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,82,82,
1,18,28,Frank Kaminsky makes a layup shot. Ben Brust with the assist.,110238,97375,true,true,false,Frank,Ben,Kaminsky,Brust,Wisc,Wisc,0,2,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,82,82,
1,18,08,Malcolm Brogdon makes a layup shot.,109418,,true,false,false,Malcolm,,Brogdon,,UVa,,2,2,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,17,17,
1,17,42,Sam Dekker misses a 3-point jump shot from 23 feet out.,116210,,true,false,false,Sam,,Dekker,,Wisc,,2,2,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,17.4,15.4,82,82,
1,17,42,Joe Harris with a defensive rebound.,97108,,true,false,false,Joe,,Harris,,UVa,,2,2,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,17,17,
1,17,34,Anthony Gill makes a layup shot. Joe Harris with the assist.,109947,97108,true,true,false,Anthony,Joe,Gill,Harris,UVa,UVa,4,2,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,17,17,
1,17,09,Ben Brust with a lost ball turnover: Lost Ball,97375,,true,false,false,Ben,,Brust,,Wisc,,4,2,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,82,82,
1,17,00,Joe Harris misses a 3-point jump shot from 23 feet out.,97108,,true,false,false,Joe,,Harris,,UVa,,4,2,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,15,17,17,17,
1,17,00,Frank Kaminsky with a defensive rebound.,110238,,true,false,false,Frank,,Kaminsky,,Wisc,,4,2,0,0,0,,,,,2,,,,6,Defensive Rebound,,,,82,82,
1,16,25,Traevon Jackson with a lost ball turnover: Lost Ball,110236,,true,false,false,Traevon,,Jackson,,Wisc,,4,2,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,82,82,
1,16,22,Joe Harris makes a layup shot.,97108,,true,false,false,Joe,,Harris,,UVa,,6,2,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,17,17,
1,15,48,Shooting foul committed by Akil Mitchell.,97111,,true,false,false,Akil,,Mitchell,,UVa,,6,2,0,1,1,,,,,0,,2,Shooting,8,Foul,,,,17,17,
1,15,48,Official TV timeout.,,,false,false,false,,,,,,,6,2,0,1,0,,,,,0,,3,Official TV,11,Timeout,,,,17,17,
1,15,48,Sam Dekker makes free throw 1 of 2.,116210,,true,false,false,Sam,,Dekker,,Wisc,,6,3,0,1,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,82,82,
1,15,48,Sam Dekker makes free throw 2 of 2.,116210,,true,false,false,Sam,,Dekker,,Wisc,,6,4,0,1,0,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,82,82,
1,15,33,Offensive foul committed by Anthony Gill.,109947,,true,false,false,Anthony,,Gill,,UVa,,6,4,0,2,1,,,,,2,,4,Offensive,8,Foul,,,,17,17,
1,15,33,Anthony Gill with a  turnover:,109947,,true,false,false,Anthony,,Gill,,UVa,,6,4,0,2,1,,,,,2,,,,7,Turnover,,,,17,17,
1,15,01,Duje Dukan misses a layup shot.,97376,,true,false,false,Duje,,Dukan,,Wisc,,6,4,0,2,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,82,82,
1,15,01,Frank Kaminsky with an offensive rebound.,110238,,true,false,false,Frank,,Kaminsky,,Wisc,,6,4,0,2,0,,,,,2,,,,5,Offensive Rebound,,,,82,82,
1,15,01,Frank Kaminsky makes a layup shot.,110238,,true,false,false,Frank,,Kaminsky,,Wisc,,6,6,0,2,0,,,,,4,2,40,Layup Shot,3,Field Goal Made,0,0,0,82,82,
1,14,43,Malcolm Brogdon misses a layup shot.,109418,,true,false,false,Malcolm,,Brogdon,,UVa,,6,6,0,2,0,,,,,2,2,40,Layup Shot,4,Field Goal Missed,0,0,0,17,17,
1,14,43,Malcolm Brogdon with an offensive rebound.,109418,,true,false,false,Malcolm,,Brogdon,,UVa,,6,6,0,2,0,,,,,2,,,,5,Offensive Rebound,,,,17,17,
1,14,29,Darion Atkins makes a jump shot from 9 feet out.,109419,,true,false,false,Darion,,Atkins,,UVa,,8,6,0,2,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,9,.1,9.1,17,17,
1,14,06,Duje Dukan makes a 3-point jump shot from 24 feet out. Bronson Koenig with the assist.,97376,120671,true,true,false,Duje,Bronson,Dukan,Koenig,Wisc,Wisc,8,9,0,2,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,24,11.6,20.7,82,82,
1,13,50,Akil Mitchell makes a layup shot. Joe Harris with the assist.,97111,97108,true,true,false,Akil,Joe,Mitchell,Harris,UVa,UVa,10,9,0,2,1,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,17,17,
