half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,47,47,
1,19,44,Lamar Patterson misses a jump shot.,88282,,true,false,false,Lamar,,Patterson,,Pitt,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,47,47,
1,19,38,Lamar Patterson makes a layup shot.,88282,,true,false,false,Lamar,,Patterson,,Pitt,,2,0,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,47,47,
1,19,33,Evan Payne makes a 3-point jump shot.,122572,,true,false,false,Evan,,Payne,,LyMnt,,2,3,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,310,310,
1,19,28,James Robinson makes a jump shot.,116087,,true,false,false,James,,Robinson,,Pitt,,4,3,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,47,47,
1,19,01,Ben Dickinson makes a jump shot.,110544,,true,false,false,Ben,,Dickinson,,LyMnt,,4,5,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,310,310,
1,18,41,Cameron Wright makes a layup shot.,97236,,true,false,false,Cameron,,Wright,,Pitt,,6,5,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,47,47,
1,17,57,Anthony Ireland makes a jump shot.,97205,,true,false,false,Anthony,,Ireland,,LyMnt,,6,7,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,310,310,
1,17,13,Cameron Wright misses a jump shot.,97236,,true,false,false,Cameron,,Wright,,Pitt,,6,7,0,0,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,,,,47,47,
1,16,36,James Robinson makes a jump shot.,116087,,true,false,false,James,,Robinson,,Pitt,,8,7,0,0,0,,,,,4,2,45,Jump Shot,3,Field Goal Made,,,,47,47,
1,16,33,Personal foul committed by Michael Young.,120761,,true,false,false,Michael,,Young,,Pitt,,8,7,0,1,1,,,,,0,,1,Personal,8,Foul,,,,47,47,
1,16,28,Ben Dickinson misses a jump shot.,110544,,true,false,false,Ben,,Dickinson,,LyMnt,,8,7,0,1,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,,,,310,310,
1,16,21,Lamar Patterson misses a 3-point jump shot.,88282,,true,false,false,Lamar,,Patterson,,Pitt,,8,7,0,1,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,,,,47,47,
1,16,01,Shooting foul committed by C.J. Blackwell.,110039,,true,false,false,C.J.,,Blackwell,,LyMnt,,8,7,1,1,1,,,,,0,,2,Shooting,8,Foul,,,,310,310,
1,15,57,Official TV timeout.,,,false,false,false,,,,,,,8,7,1,1,0,,,,,0,,3,Official TV,11,Timeout,,,,47,47,
1,15,57,Lamar Patterson misses free throw 2 of 2.,88282,,true,false,false,Lamar,,Patterson,,Pitt,,8,7,1,1,0,,,,,2,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,47,47,
1,15,24,Evan Payne misses a layup shot.,122572,,true,false,false,Evan,,Payne,,LyMnt,,8,7,1,1,0,,,,,3,2,40,Layup Shot,4,Field Goal Missed,,,,310,310,
1,15,18,Anthony Ireland misses a jump shot.,97205,,true,false,false,Anthony,,Ireland,,LyMnt,,8,7,1,1,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,,,,310,310,
1,14,56,Cameron Wright makes a 3-point jump shot.,97236,,true,false,false,Cameron,,Wright,,Pitt,,11,7,1,1,0,,,,,5,3,45,Jump Shot,3,Field Goal Made,,,,47,47,
1,14,45,Evan Payne misses a 3-point jump shot.,122572,,true,false,false,Evan,,Payne,,LyMnt,,11,7,1,1,0,,,,,3,3,45,Jump Shot,4,Field Goal Missed,,,,310,310,
1,14,37,Jamel Artis makes a layup shot.,120758,,true,false,false,Jamel,,Artis,,Pitt,,13,7,1,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,47,47,
1,14,13,Ben Dickinson makes a jump shot.,110544,,true,false,false,Ben,,Dickinson,,LyMnt,,13,9,1,1,0,,,,,4,2,45,Jump Shot,3,Field Goal Made,,,,310,310,
1,14,06,Personal foul committed by Anthony Ireland.,97205,,true,false,false,Anthony,,Ireland,,LyMnt,,13,9,2,1,1,,,,,2,,1,Personal,8,Foul,,,,310,310,
