half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,46,46,
1,19,47,Carl Baptiste makes a jump shot.,88652,,true,false,false,Carl,,Baptiste,,Del,,0,2,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,105,105,
1,19,19,Garrick Sherman makes a layup shot.,88941,,true,false,false,Garrick,,Sherman,,ND,,2,2,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,46,46,
1,19,04,Kyle Anderson misses a 3-point jump shot.,110740,,true,false,false,Kyle,,Anderson,,Del,,2,2,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,105,105,
1,18,54,Garrick Sherman makes a jump shot.,88941,,true,false,false,Garrick,,Sherman,,ND,,4,2,0,0,0,,,,,4,2,45,Jump Shot,3,Field Goal Made,,,,46,46,
1,18,42,Jarvis Threatt misses a jump shot.,110739,,true,false,false,Jarvis,,Threatt,,Del,,4,2,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,105,105,
1,18,28,Pat Connaughton makes a layup shot.,109491,,true,false,false,Pat,,Connaughton,,ND,,6,2,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,46,46,
1,18,01,Carl Baptiste misses a jump shot.,88652,,true,false,false,Carl,,Baptiste,,Del,,6,2,0,0,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,,,,105,105,
1,17,40,Pat Connaughton misses a layup shot.,109491,,true,false,false,Pat,,Connaughton,,ND,,6,2,0,0,0,,,,,2,2,40,Layup Shot,4,Field Goal Missed,,,,46,46,
1,17,35,Pat Connaughton misses a jump shot.,109491,,true,false,false,Pat,,Connaughton,,ND,,6,2,0,0,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,,,,46,46,
1,17,07,Shooting foul committed by Kyle Anderson.,110740,,true,false,false,Kyle,,Anderson,,Del,,6,2,1,0,1,,,,,0,,2,Shooting,8,Foul,,,,105,105,
1,17,07,Demetrius Jackson makes free throw 1 of 2.,120755,,true,false,false,Demetrius,,Jackson,,ND,,7,2,1,0,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,46,46,
1,17,07,Demetrius Jackson makes free throw 2 of 2.,120755,,true,false,false,Demetrius,,Jackson,,ND,,8,2,1,0,0,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,46,46,
1,16,30,Garrick Sherman misses a layup shot.,88941,,true,false,false,Garrick,,Sherman,,ND,,8,2,1,0,0,,,,,4,2,40,Layup Shot,4,Field Goal Missed,,,,46,46,
1,16,12,Marvin King-Davis misses a jump shot.,110742,,true,false,false,Marvin,,King-Davis,,Del,,8,2,1,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,105,105,
1,16,05,Garrick Sherman makes a layup shot.,88941,,true,false,false,Garrick,,Sherman,,ND,,10,2,1,0,0,,,,,6,2,40,Layup Shot,3,Field Goal Made,,,,46,46,
1,16,04,Del take a 20-second timeout.,,,false,false,false,,,,,,,10,2,1,0,0,,,,,0,,2,Short,11,Timeout,,,,105,105,
1,15,46,Davon Usher misses a jump shot.,117513,,true,false,false,Davon,,Usher,,Del,,10,2,1,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,105,105,
1,15,38,Carl Baptiste misses a tip shot.,88652,,true,false,false,Carl,,Baptiste,,Del,,10,2,1,0,0,,,,,2,2,53,Tip Shot,4,Field Goal Missed,,,,105,105,
1,15,33,Eric Atkins misses a layup shot.,97478,,true,false,false,Eric,,Atkins,,ND,,10,2,1,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,46,46,
1,15,28,Garrick Sherman makes a tip shot.,88941,,true,false,false,Garrick,,Sherman,,ND,,12,2,1,0,0,,,,,8,2,53,Tip Shot,3,Field Goal Made,,,,46,46,
1,15,14,Pat Connaughton misses a layup shot.,109491,,true,false,false,Pat,,Connaughton,,ND,,12,2,1,0,0,,,,,2,2,40,Layup Shot,4,Field Goal Missed,,,,46,46,
1,15,13,Official TV timeout.,,,false,false,false,,,,,,,12,2,1,0,0,,,,,0,,3,Official TV,11,Timeout,,,,46,46,
1,14,59,Garrick Sherman misses a layup shot.,88941,,true,false,false,Garrick,,Sherman,,ND,,12,2,1,0,0,,,,,8,2,40,Layup Shot,4,Field Goal Missed,,,,46,46,
1,14,50,Carl Baptiste makes a layup shot.,88652,,true,false,false,Carl,,Baptiste,,Del,,12,4,1,0,0,,,,,4,2,40,Layup Shot,3,Field Goal Made,,,,105,105,
1,14,48,Shooting foul committed by Garrick Sherman.,88941,,true,false,false,Garrick,,Sherman,,ND,,12,4,1,1,1,,,,,8,,2,Shooting,8,Foul,,,,46,46,
1,14,48,Carl Baptiste makes free throw 1 of 1.,88652,,true,false,false,Carl,,Baptiste,,Del,,12,5,1,1,0,,,,,5,1,10,Free Throw 1 of 1,1,Free Throw Made,,,,105,105,
1,14,32,Jerian Grant misses a layup shot.,97480,,true,false,false,Jerian,,Grant,,ND,,12,5,1,1,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,46,46,
1,14,03,Devon Saddler makes a jump shot.,98244,,true,false,false,Devon,,Saddler,,Del,,12,7,1,1,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,105,105,
1,13,55,Jerian Grant makes a 3-point jump shot.,97480,,true,false,false,Jerian,,Grant,,ND,,15,7,1,1,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,46,46,
1,13,38,Offensive foul committed by Carl Baptiste.,88652,,true,false,false,Carl,,Baptiste,,Del,,15,7,2,1,1,,,,,5,,4,Offensive,8,Foul,,,,105,105,
1,13,27,Jerian Grant misses a 3-point jump shot.,97480,,true,false,false,Jerian,,Grant,,ND,,15,7,2,1,0,,,,,3,3,45,Jump Shot,4,Field Goal Missed,,,,46,46,
1,13,18,Jarvis Threatt misses a 3-point jump shot.,110739,,true,false,false,Jarvis,,Threatt,,Del,,15,7,2,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,105,105,
1,12,56,Zach Auguste misses a jump shot.,116591,,true,false,false,Zach,,Auguste,,ND,,15,7,2,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,46,46,
1,12,56,Personal foul committed by Zach Auguste.,116591,,true,false,false,Zach,,Auguste,,ND,,15,7,2,2,1,,,,,0,,1,Personal,8,Foul,,,,46,46,
1,12,48,Davon Usher makes a layup shot.,117513,,true,false,false,Davon,,Usher,,Del,,15,9,2,2,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,105,105,
1,12,27,Shooting foul committed by Maurice Jeffers.,116836,,true,false,false,Maurice,,Jeffers,,Del,,15,9,3,2,1,,,,,0,,2,Shooting,8,Foul,,,,105,105,
1,12,27,Zach Auguste makes free throw 1 of 2.,116591,,true,false,false,Zach,,Auguste,,ND,,16,9,3,2,1,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,46,46,
1,12,27,Zach Auguste misses free throw 2 of 2.,116591,,true,false,false,Zach,,Auguste,,ND,,16,9,3,2,1,,,,,1,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,46,46,
1,11,57,Devonne Pinkard misses a 3-point jump shot.,121637,,true,false,false,Devonne,,Pinkard,,Del,,16,9,3,2,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,105,105,
1,11,43,Official TV timeout.,,,false,false,false,,,,,,,16,9,3,2,0,,,,,0,,3,Official TV,11,Timeout,,,,46,46,
1,11,32,Davon Usher makes a 3-point jump shot.,117513,,true,false,false,Davon,,Usher,,Del,,16,12,3,2,0,,,,,5,3,45,Jump Shot,3,Field Goal Made,,,,105,105,
1,11,11,Jerian Grant makes a jump shot.,97480,,true,false,false,Jerian,,Grant,,ND,,18,12,3,2,0,,,,,5,2,45,Jump Shot,3,Field Goal Made,,,,46,46,
1,10,54,Davon Usher makes a 3-point jump shot.,117513,,true,false,false,Davon,,Usher,,Del,,18,15,3,2,0,,,,,8,3,45,Jump Shot,3,Field Goal Made,,,,105,105,
1,10,38,Pat Connaughton misses a 3-point jump shot.,109491,,true,false,false,Pat,,Connaughton,,ND,,18,15,3,2,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,,,,46,46,
1,10,16,Kyle Anderson makes a 3-point jump shot.,110740,,true,false,false,Kyle,,Anderson,,Del,,18,18,3,2,1,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,105,105,
1,9,58,Shooting foul committed by Maurice Jeffers.,116836,,true,false,false,Maurice,,Jeffers,,Del,,18,18,4,2,2,,,,,0,,2,Shooting,8,Foul,,,,105,105,
1,9,58,Garrick Sherman makes free throw 1 of 2.,88941,,true,false,false,Garrick,,Sherman,,ND,,19,18,4,2,1,,,,,9,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,46,46,
1,9,58,Garrick Sherman makes free throw 2 of 2.,88941,,true,false,false,Garrick,,Sherman,,ND,,20,18,4,2,1,,,,,10,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,46,46,
1,9,58,ND take a 20-second timeout.,,,false,false,false,,,,,,,20,18,4,2,0,,,,,0,,2,Short,11,Timeout,,,,46,46,
1,9,36,Kyle Anderson makes a 3-point jump shot.,110740,,true,false,false,Kyle,,Anderson,,Del,,20,21,4,2,1,,,,,6,3,45,Jump Shot,3,Field Goal Made,,,,105,105,
1,9,17,Jerian Grant makes a layup shot.,97480,,true,false,false,Jerian,,Grant,,ND,,22,21,4,2,0,,,,,7,2,40,Layup Shot,3,Field Goal Made,,,,46,46,
1,8,49,Davon Usher makes a 3-point jump shot.,117513,,true,false,false,Davon,,Usher,,Del,,22,24,4,2,0,,,,,11,3,45,Jump Shot,3,Field Goal Made,,,,105,105,
1,8,04,Personal foul committed by Eric Atkins.,97478,,true,false,false,Eric,,Atkins,,ND,,22,24,4,3,1,,,,,0,,1,Personal,8,Foul,,,,46,46,
1,7,54,Official TV timeout.,,,false,false,false,,,,,,,22,24,4,3,0,,,,,0,,3,Official TV,11,Timeout,,,,46,46,
1,7,40,Shooting foul committed by Eric Atkins.,97478,,true,false,false,Eric,,Atkins,,ND,,22,24,4,4,2,,,,,0,,2,Shooting,8,Foul,,,,46,46,
1,7,40,Jarvis Threatt makes free throw 1 of 2.,110739,,true,false,false,Jarvis,,Threatt,,Del,,22,25,4,4,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,105,105,
1,7,40,Jarvis Threatt makes free throw 2 of 2.,110739,,true,false,false,Jarvis,,Threatt,,Del,,22,26,4,4,0,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,105,105,
1,7,11,Garrick Sherman makes a hook shot.,88941,,true,false,false,Garrick,,Sherman,,ND,,24,26,4,4,1,,,,,12,2,55,Hook Shot,3,Field Goal Made,,,,46,46,
1,6,44,Kyle Anderson makes a layup shot.,110740,,true,false,false,Kyle,,Anderson,,Del,,24,28,4,4,1,,,,,8,2,40,Layup Shot,3,Field Goal Made,,,,105,105,
1,6,31,ND take a 20-second timeout.,,,false,false,false,,,,,,,24,28,4,4,0,,,,,0,,2,Short,11,Timeout,,,,46,46,
1,6,29,Jerian Grant makes a layup shot.,97480,,true,false,false,Jerian,,Grant,,ND,,26,28,4,4,0,,,,,9,2,40,Layup Shot,3,Field Goal Made,,,,46,46,
1,6,29,Shooting foul committed by Kyle Anderson.,110740,,true,false,false,Kyle,,Anderson,,Del,,26,28,5,4,2,,,,,8,,2,Shooting,8,Foul,,,,105,105,
1,6,29,Jerian Grant makes free throw 1 of 1.,97480,,true,false,false,Jerian,,Grant,,ND,,27,28,5,4,0,,,,,10,1,10,Free Throw 1 of 1,1,Free Throw Made,,,,46,46,
1,6,10,Carl Baptiste makes a layup shot.,88652,,true,false,false,Carl,,Baptiste,,Del,,27,30,5,4,1,,,,,7,2,40,Layup Shot,3,Field Goal Made,,,,105,105,
1,5,30,Carl Baptiste misses a jump shot.,88652,,true,false,false,Carl,,Baptiste,,Del,,27,30,5,4,1,,,,,7,2,45,Jump Shot,4,Field Goal Missed,,,,105,105,
1,5,20,Davon Usher misses a dunk shot.,117513,,true,false,false,Davon,,Usher,,Del,,27,30,5,4,0,,,,,11,2,48,Dunk Shot,4,Field Goal Missed,,,,105,105,
1,5,17,Shooting foul committed by Demetrius Jackson.,120755,,true,false,false,Demetrius,,Jackson,,ND,,27,30,5,5,1,,,,,2,,2,Shooting,8,Foul,,,,46,46,
1,5,17,Cazmon Hayes makes free throw 1 of 2.,121635,,true,false,false,Cazmon,,Hayes,,Del,,27,31,5,5,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,105,105,
1,5,17,Cazmon Hayes makes free throw 2 of 2.,121635,,true,false,false,Cazmon,,Hayes,,Del,,27,32,5,5,0,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,105,105,
1,5,08,Jerian Grant makes a dunk shot.,97480,,true,false,false,Jerian,,Grant,,ND,,29,32,5,5,0,,,,,12,2,48,Dunk Shot,3,Field Goal Made,,,,46,46,
1,4,58,Personal foul committed by Austin Burgett.,116593,,true,false,false,Austin,,Burgett,,ND,,29,32,5,6,1,,,,,0,,1,Personal,8,Foul,,,,46,46,
1,4,47,Jarvis Threatt misses a layup shot.,110739,,true,false,false,Jarvis,,Threatt,,Del,,29,32,5,6,0,,,,,2,2,40,Layup Shot,4,Field Goal Missed,,,,105,105,
1,4,37,Pat Connaughton misses a layup shot.,109491,,true,false,false,Pat,,Connaughton,,ND,,29,32,5,6,0,,,,,2,2,40,Layup Shot,4,Field Goal Missed,,,,46,46,
1,4,27,Cazmon Hayes misses a jump shot.,121635,,true,false,false,Cazmon,,Hayes,,Del,,29,32,5,6,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,,,,105,105,
1,4,21,Shooting foul committed by Pat Connaughton.,109491,,true,false,false,Pat,,Connaughton,,ND,,29,32,5,7,1,,,,,2,,2,Shooting,8,Foul,,,,46,46,
1,4,21,Jarvis Threatt makes free throw 1 of 2.,110739,,true,false,false,Jarvis,,Threatt,,Del,,29,33,5,7,0,,,,,3,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,105,105,
1,4,21,Jarvis Threatt makes free throw 2 of 2.,110739,,true,false,false,Jarvis,,Threatt,,Del,,29,34,5,7,0,,,,,4,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,105,105,
1,4,09,Tom Knight misses a jump shot.,88670,,true,false,false,Tom,,Knight,,ND,,29,34,5,7,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,46,46,
1,4,04,Tom Knight makes a layup shot.,88670,,true,false,false,Tom,,Knight,,ND,,31,34,5,7,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,46,46,
1,3,47,Jarvis Threatt misses a 3-point jump shot.,110739,,true,false,false,Jarvis,,Threatt,,Del,,31,34,5,7,0,,,,,4,3,45,Jump Shot,4,Field Goal Missed,,,,105,105,
1,3,38,Tom Knight misses a jump shot.,88670,,true,false,false,Tom,,Knight,,ND,,31,34,5,7,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,,,,46,46,
1,3,28,Cazmon Hayes misses a 3-point jump shot.,121635,,true,false,false,Cazmon,,Hayes,,Del,,31,34,5,7,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,,,,105,105,
1,3,26,Personal foul committed by Marvin King-Davis.,110742,,true,false,false,Marvin,,King-Davis,,Del,,31,34,6,7,1,,,,,0,,1,Personal,8,Foul,,,,105,105,
1,3,14,Personal foul committed by Marvin King-Davis.,110742,,true,false,false,Marvin,,King-Davis,,Del,,31,34,7,7,2,,,,,0,,1,Personal,8,Foul,,,,105,105,
1,3,14,Austin Burgett makes free throw 1st of 1-and-1.,116593,,true,false,false,Austin,,Burgett,,ND,,32,34,7,7,1,,,,,1,1,8,Free Throw 1st of 1-and-1,1,Free Throw Made,,,,46,46,
1,3,14,Austin Burgett makes free throw 2nd of 1-and-1.,116593,,true,false,false,Austin,,Burgett,,ND,,33,34,7,7,1,,,,,2,1,9,Free Throw 2nd of 1-and-1,1,Free Throw Made,,,,46,46,
1,2,55,Jarvis Threatt misses a 3-point jump shot.,110739,,true,false,false,Jarvis,,Threatt,,Del,,33,34,7,7,0,,,,,4,3,45,Jump Shot,4,Field Goal Missed,,,,105,105,
1,2,31,Jerian Grant makes a 3-point jump shot.,97480,,true,false,false,Jerian,,Grant,,ND,,36,34,7,7,0,,,,,15,3,45,Jump Shot,3,Field Goal Made,,,,46,46,
1,2,18,Davon Usher misses a 3-point jump shot.,117513,,true,false,false,Davon,,Usher,,Del,,36,34,7,7,0,,,,,11,3,45,Jump Shot,4,Field Goal Missed,,,,105,105,
1,2,07,Pat Connaughton makes a 3-point jump shot.,109491,,true,false,false,Pat,,Connaughton,,ND,,39,34,7,7,1,,,,,5,3,45,Jump Shot,3,Field Goal Made,,,,46,46,
1,1,54,Offensive foul committed by Jarvis Threatt.,110739,,true,false,false,Jarvis,,Threatt,,Del,,39,34,8,7,1,,,,,4,,4,Offensive,8,Foul,,,,105,105,
