half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,52,52,
1,19,21,Marlon Beck II misses a 3-point jump shot from 24 feet out.,120955,,true,false,false,Marlon,,Beck II,,Bing,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,8.2,23,2,2,
1,19,21,Trevor Cooney with a defensive rebound.,110467,,true,false,false,Trevor,,Cooney,,Syr,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,52,52,
1,19,11,Trevor Cooney misses a jump shot from 19 feet out.,110467,,true,false,false,Trevor,,Cooney,,Syr,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,19,10,16,52,52,
1,19,11,Magnus Richards with a defensive rebound.,120956,,true,false,false,Magnus,,Richards,,Bing,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,2,2,
1,18,33,Jordan Reed misses a layup shot.,116794,,true,false,false,Jordan,,Reed,,Bing,,0,0,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,2,2,
1,18,33,DaJuan Coleman with a defensive rebound.,116756,,true,false,false,DaJuan,,Coleman,,Syr,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,52,52,
1,18,20,Tyler Ennis makes a 3-point jump shot from 24 feet out. DaJuan Coleman with the assist.,121072,116756,true,true,false,Tyler,DaJuan,Ennis,Coleman,Syr,Syr,3,0,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,24,-9,22,52,52,
1,17,39,Marlon Beck II makes a 3-point jump shot from 25 feet out.,120955,,true,false,false,Marlon,,Beck II,,Bing,,3,3,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,25,14.9,20.7,2,2,
1,17,36,Syr take a 20-second timeout.,,,false,false,false,,,,,,,3,3,0,0,0,,,,,0,,2,Short,11,Timeout,,,,52,52,
1,17,26,Jerami Grant with a lost ball turnover: Lost Ball,116757,,true,false,false,Jerami,,Grant,,Syr,,3,3,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,52,52,
