half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,33,33,
1,19,47,Personal foul committed by Varun Ram.,117981,,true,false,false,Varun,,Ram,,MD,,0,0,1,0,1,,,,,0,,1,Personal,8,Foul,,,,14,14,
1,19,43,Maurice Creek makes a 3-point jump shot from 26 feet out. Joe McDonald with the assist.,88952,116030,true,true,false,Maurice,Joe,Creek,McDonald,GW,GW,3,0,1,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,26,19,18,33,33,
1,19,27,Jake Layman makes a jump shot from 16 feet out. Evan Smotrycz with the assist.,116731,97334,true,true,false,Jake,Evan,Layman,Smotrycz,MD,MD,3,2,1,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,16,-15,4,14,14,
1,19,13,Maurice Creek with a bad pass turnover: Bad Pass,88952,,true,false,false,Maurice,,Creek,,GW,,3,2,1,0,0,,,,,3,,1,Bad Pass,7,Turnover,,,,33,33,
1,19,07,Varun Ram with a lost ball turnover: Lost Ball,117981,,true,false,false,Varun,,Ram,,MD,,3,2,1,0,1,,,,,0,,2,Lost Ball,7,Turnover,,,,14,14,
1,18,57,Maurice Creek misses a 3-point jump shot from 23 feet out.,88952,,true,false,false,Maurice,,Creek,,GW,,3,2,1,0,0,,,,,3,3,45,Jump Shot,4,Field Goal Missed,23,-4.3,23,33,33,
1,18,57,Joe McDonald with an offensive rebound.,116030,,true,false,false,Joe,,McDonald,,GW,,3,2,1,0,0,,,,,0,,,,5,Offensive Rebound,,,,33,33,
1,18,37,Isaiah Armwood makes a layup shot. Kethan Savage with the assist.,88903,116029,true,true,false,Isaiah,Kethan,Armwood,Savage,GW,GW,5,2,1,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,33,33,
1,18,37,Shooting foul committed by Varun Ram.,117981,,true,false,false,Varun,,Ram,,MD,,5,2,2,0,2,,,,,0,,2,Shooting,8,Foul,,,,14,14,
1,18,37,Isaiah Armwood makes free throw 1 of 1.,88903,,true,false,false,Isaiah,,Armwood,,GW,,6,2,2,0,0,,,,,3,1,10,Free Throw 1 of 1,1,Free Throw Made,,,,33,33,
1,18,16,Evan Smotrycz misses a layup shot.,97334,,true,false,false,Evan,,Smotrycz,,MD,,6,2,2,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,14,14,
1,18,16,Isaiah Armwood with a defensive rebound.,88903,,true,false,false,Isaiah,,Armwood,,GW,,6,2,2,0,0,,,,,3,,,,6,Defensive Rebound,,,,33,33,
1,18,10,Personal foul committed by Roddy Peters.,120753,,true,false,false,Roddy,,Peters,,MD,,6,2,3,0,1,,,,,0,,1,Personal,8,Foul,,,,14,14,
1,18,06,Kethan Savage misses a 3-point jump shot from 21 feet out.,116029,,true,false,false,Kethan,,Savage,,GW,,6,2,3,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,21,-20,7.6,33,33,
1,18,06,Evan Smotrycz with a defensive rebound.,97334,,true,false,false,Evan,,Smotrycz,,MD,,6,2,3,0,0,,,,,0,,,,6,Defensive Rebound,,,,14,14,
1,17,48,Evan Smotrycz makes a 3-point jump shot from 23 feet out. Roddy Peters with the assist.,97334,120753,true,true,false,Evan,Roddy,Smotrycz,Peters,MD,MD,6,5,3,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,5.5,22.7,14,14,
1,17,25,Kevin Larsen misses a jump shot from 14 feet out.,116027,,true,false,false,Kevin,,Larsen,,GW,,6,5,3,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,14,-7.4,11.8,33,33,
1,17,25,Dez Wells with a defensive rebound.,109448,,true,false,false,Dez,,Wells,,MD,,6,5,3,0,0,,,,,0,,,,6,Defensive Rebound,,,,14,14,
1,17,19,Dez Wells makes a layup shot.,109448,,true,false,false,Dez,,Wells,,MD,,6,7,3,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,14,14,
1,17,03,Isaiah Armwood makes a layup shot. Kevin Larsen with the assist.,88903,116027,true,true,false,Isaiah,Kevin,Armwood,Larsen,GW,GW,8,7,3,0,0,,,,,5,2,40,Layup Shot,3,Field Goal Made,0,0,0,33,33,
1,16,44,Roddy Peters misses a 3-point jump shot from 23 feet out.,120753,,true,false,false,Roddy,,Peters,,MD,,8,7,3,0,1,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-19.1,13.2,14,14,
1,16,44,Kethan Savage with a defensive rebound.,116029,,true,false,false,Kethan,,Savage,,GW,,8,7,3,0,0,,,,,0,,,,6,Defensive Rebound,,,,33,33,
1,16,22,Maurice Creek misses a 3-point jump shot from 22 feet out.,88952,,true,false,false,Maurice,,Creek,,GW,,8,7,3,0,0,,,,,3,3,45,Jump Shot,4,Field Goal Missed,22,22,3.6,33,33,
1,16,22,Shaquille Cleare with a defensive rebound.,116734,,true,false,false,Shaquille,,Cleare,,MD,,8,7,3,0,0,,,,,0,,,,6,Defensive Rebound,,,,14,14,
1,16,10,Evan Smotrycz with a bad pass turnover: Bad Pass,97334,,true,false,false,Evan,,Smotrycz,,MD,,8,7,3,0,0,,,,,3,,1,Bad Pass,7,Turnover,,,,14,14,
1,15,59,Shooting foul committed by Charles Mitchell.,116729,,true,false,false,Charles,,Mitchell,,MD,,8,7,4,0,1,,,,,0,,2,Shooting,8,Foul,,,,14,14,
1,15,59,Official TV timeout.,,,false,false,false,,,,,,,8,7,4,0,0,,,,,0,,3,Official TV,11,Timeout,,,,33,33,
1,15,59,Maurice Creek misses free throw 1 of 2.,88952,,true,false,false,Maurice,,Creek,,GW,,8,7,4,0,0,,,,,3,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,33,33,
1,15,59,GW with an offensive rebound.,,,false,false,false,,,,,,,8,7,4,0,0,,,,,0,,,,5,Offensive Rebound,,,,33,33,
1,15,50,Maurice Creek makes free throw 2 of 2.,88952,,true,false,false,Maurice,,Creek,,GW,,9,7,4,0,0,,,,,4,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,33,33,
1,15,50,Personal foul committed by Nick Griffin.,120867,,true,false,false,Nick,,Griffin,,GW,,9,7,4,1,1,,,,,0,,1,Personal,8,Foul,,,,33,33,
1,15,49,Offensive foul committed by Evan Smotrycz.,97334,,true,false,false,Evan,,Smotrycz,,MD,,9,7,5,1,1,,,,,3,,4,Offensive,8,Foul,,,,14,14,
1,15,49,Evan Smotrycz with a  turnover:,97334,,true,false,false,Evan,,Smotrycz,,MD,,9,7,5,1,1,,,,,3,,,,7,Turnover,,,,14,14,
1,15,44,Personal foul committed by Miguel Cartagena.,120866,,true,false,false,Miguel,,Cartagena,,GW,,9,7,5,2,1,,,,,0,,1,Personal,8,Foul,,,,33,33,
