half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,242,242,
1,19,22,Lonnie Jackson misses a 3-point jump shot.,110084,,true,false,false,Lonnie,,Jackson,,BC,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,42,42,
1,19,12,Byron Wesley misses a 3-point jump shot.,110217,,true,false,false,Byron,,Wesley,,USC,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,242,242,
1,18,48,Ryan Anderson makes a 3-point jump shot.,110082,,true,false,false,Ryan,,Anderson,,BC,,0,3,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,42,42,
1,18,41,Julian Jacobs misses a layup shot.,120697,,true,false,false,Julian,,Jacobs,,USC,,0,3,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,242,242,
1,18,19,Alex Dragicevich misses a 3-point jump shot.,97479,,true,false,false,Alex,,Dragicevich,,BC,,0,3,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,42,42,
1,18,11,Nikola Jovanovic makes a layup shot.,120698,,true,false,false,Nikola,,Jovanovic,,USC,,2,3,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,242,242,
1,17,49,Joe Rahon makes a layup shot.,116004,,true,false,false,Joe,,Rahon,,BC,,2,5,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,42,42,
1,17,32,Pe'Shon Howard misses a 3-point jump shot.,97616,,true,false,false,Pe'Shon,,Howard,,USC,,2,5,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,242,242,
1,16,55,Joe Rahon makes a 3-point jump shot.,116004,,true,false,false,Joe,,Rahon,,BC,,2,8,0,0,0,,,,,5,3,45,Jump Shot,3,Field Goal Made,,,,42,42,
1,16,39,Omar Oraby misses a layup shot.,97487,,true,false,false,Omar,,Oraby,,USC,,2,8,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,242,242,
1,16,31,Alex Dragicevich misses a 3-point jump shot.,97479,,true,false,false,Alex,,Dragicevich,,BC,,2,8,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,42,42,
1,16,19,Byron Wesley makes a jump shot.,110217,,true,false,false,Byron,,Wesley,,USC,,4,8,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,242,242,
1,16,03,Ryan Anderson misses a 3-point jump shot.,110082,,true,false,false,Ryan,,Anderson,,BC,,4,8,0,0,0,,,,,3,3,45,Jump Shot,4,Field Goal Missed,,,,42,42,
1,15,49,Ryan Anderson makes a layup shot.,110082,,true,false,false,Ryan,,Anderson,,BC,,4,10,0,0,0,,,,,5,2,40,Layup Shot,3,Field Goal Made,,,,42,42,
1,15,49,Shooting foul committed by Byron Wesley.,110217,,true,false,false,Byron,,Wesley,,USC,,4,10,0,1,1,,,,,2,,2,Shooting,8,Foul,,,,242,242,
1,15,49,Official TV timeout.,,,false,false,false,,,,,,,4,10,0,1,0,,,,,0,,3,Official TV,11,Timeout,,,,242,242,
1,15,49,Ryan Anderson makes free throw 1 of 1.,110082,,true,false,false,Ryan,,Anderson,,BC,,4,11,0,1,0,,,,,6,1,10,Free Throw 1 of 1,1,Free Throw Made,,,,42,42,
1,15,30,Byron Wesley misses a layup shot.,110217,,true,false,false,Byron,,Wesley,,USC,,4,11,0,1,1,,,,,2,2,40,Layup Shot,4,Field Goal Missed,,,,242,242,
1,15,27,Roschon Prince makes a tip shot.,120700,,true,false,false,Roschon,,Prince,,USC,,6,11,0,1,0,,,,,2,2,53,Tip Shot,3,Field Goal Made,,,,242,242,
1,15,13,Offensive foul committed by KC Caudill.,110079,,true,false,false,KC,,Caudill,,BC,,6,11,1,1,1,,,,,0,,4,Offensive,8,Foul,,,,42,42,
1,15,02,Roschon Prince misses a layup shot.,120700,,true,false,false,Roschon,,Prince,,USC,,6,11,1,1,0,,,,,2,2,40,Layup Shot,4,Field Goal Missed,,,,242,242,
1,14,57,Byron Wesley misses a layup shot.,110217,,true,false,false,Byron,,Wesley,,USC,,6,11,1,1,1,,,,,2,2,40,Layup Shot,4,Field Goal Missed,,,,242,242,
1,14,32,KC Caudill makes a jump shot.,110079,,true,false,false,KC,,Caudill,,BC,,6,13,1,1,1,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,42,42,
1,14,08,Pe'Shon Howard misses a 3-point jump shot.,97616,,true,false,false,Pe'Shon,,Howard,,USC,,6,13,1,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,242,242,
1,14,02,Julian Jacobs makes a 3-point jump shot.,120697,,true,false,false,Julian,,Jacobs,,USC,,9,13,1,1,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,242,242,
1,13,43,Personal foul committed by D.J. Haley.,97685,,true,false,false,D.J.,,Haley,,USC,,9,13,1,2,1,,,,,0,,1,Personal,8,Foul,,,,242,242,
1,13,24,Eddie Odio makes a 3-point jump shot.,110078,,true,false,false,Eddie,,Odio,,BC,,9,16,1,2,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,42,42,
1,13,09,Julian Jacobs makes a layup shot.,120697,,true,false,false,Julian,,Jacobs,,USC,,11,16,1,2,0,,,,,5,2,40,Layup Shot,3,Field Goal Made,,,,242,242,
1,12,43,Personal foul committed by Julian Jacobs.,120697,,true,false,false,Julian,,Jacobs,,USC,,11,16,1,3,1,,,,,5,,1,Personal,8,Foul,,,,242,242,
1,12,32,Byron Wesley misses a jump shot.,110217,,true,false,false,Byron,,Wesley,,USC,,11,16,1,3,1,,,,,2,2,45,Jump Shot,4,Field Goal Missed,,,,242,242,
1,12,27,Nikola Jovanovic makes a layup shot.,120698,,true,false,false,Nikola,,Jovanovic,,USC,,13,16,1,3,0,,,,,4,2,40,Layup Shot,3,Field Goal Made,,,,242,242,
1,11,57,Pe'Shon Howard makes a layup shot.,97616,,true,false,false,Pe'Shon,,Howard,,USC,,15,16,1,3,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,242,242,
1,11,55,BC take a full timeout.,,,false,false,false,,,,,,,15,16,1,3,0,,,,,0,,1,Regular,11,Timeout,,,,42,42,
1,11,37,Shooting foul committed by Chass Bryan.,117973,,true,false,false,Chass,,Bryan,,USC,,15,16,1,4,1,,,,,0,,2,Shooting,8,Foul,,,,242,242,
1,11,37,Official TV timeout.,,,false,false,false,,,,,,,15,16,1,4,0,,,,,0,,3,Official TV,11,Timeout,,,,242,242,
1,11,37,Will Magarity makes free throw 1 of 2.,122015,,true,false,false,Will,,Magarity,,BC,,15,17,1,4,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,42,42,
1,11,37,Will Magarity makes free throw 2 of 2.,122015,,true,false,false,Will,,Magarity,,BC,,15,18,1,4,0,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,42,42,
1,11,25,Nikola Jovanovic misses a 3-point jump shot.,120698,,true,false,false,Nikola,,Jovanovic,,USC,,15,18,1,4,0,,,,,4,3,45,Jump Shot,4,Field Goal Missed,,,,242,242,
1,11,03,Will Magarity makes a layup shot.,122015,,true,false,false,Will,,Magarity,,BC,,15,20,1,4,0,,,,,4,2,40,Layup Shot,3,Field Goal Made,,,,42,42,
1,10,46,Chass Bryan misses a 3-point jump shot.,117973,,true,false,false,Chass,,Bryan,,USC,,15,20,1,4,1,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,242,242,
1,10,23,Nikola Jovanovic misses a hook shot.,120698,,true,false,false,Nikola,,Jovanovic,,USC,,15,20,1,4,0,,,,,4,2,55,Hook Shot,4,Field Goal Missed,,,,242,242,
1,10,19,Omar Oraby misses a layup shot.,97487,,true,false,false,Omar,,Oraby,,USC,,15,20,1,4,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,242,242,
1,10,18,Shooting foul committed by Lonnie Jackson.,110084,,true,false,false,Lonnie,,Jackson,,BC,,15,20,2,4,1,,,,,0,,2,Shooting,8,Foul,,,,42,42,
1,10,18,Nikola Jovanovic makes a layup shot.,120698,,true,false,false,Nikola,,Jovanovic,,USC,,17,20,2,4,0,,,,,6,2,40,Layup Shot,3,Field Goal Made,,,,242,242,
