half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,46,46,
1,19,32,Garrick Sherman misses a layup shot.,88941,,true,false,false,Garrick,,Sherman,,ND,,0,0,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,46,46,
1,19,21,Marshall Bjorklund makes a layup shot.,98583,,true,false,false,Marshall,,Bjorklund,,NDakSt,,0,2,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,679,679,
1,18,59,Demetrius Jackson makes a 3-point jump shot.,120755,,true,false,false,Demetrius,,Jackson,,ND,,3,2,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,46,46,
1,18,37,TrayVonn Wright makes a 3-point jump shot.,98582,,true,false,false,TrayVonn,,Wright,,NDakSt,,3,5,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,679,679,
1,18,22,Demetrius Jackson makes a 3-point jump shot.,120755,,true,false,false,Demetrius,,Jackson,,ND,,6,5,0,0,0,,,,,6,3,45,Jump Shot,3,Field Goal Made,,,,46,46,
1,18,06,Lawrence Alexander misses a jump shot.,110154,,true,false,false,Lawrence,,Alexander,,NDakSt,,6,5,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,679,679,
1,17,54,Pat Connaughton misses a layup shot.,109491,,true,false,false,Pat,,Connaughton,,ND,,6,5,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,46,46,
1,17,45,Pat Connaughton misses a 3-point jump shot.,109491,,true,false,false,Pat,,Connaughton,,ND,,6,5,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,46,46,
1,17,37,Lawrence Alexander misses a layup shot.,110154,,true,false,false,Lawrence,,Alexander,,NDakSt,,6,5,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,679,679,
1,17,26,Eric Atkins misses a jump shot.,97478,,true,false,false,Eric,,Atkins,,ND,,6,5,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,46,46,
1,17,23,Garrick Sherman makes a layup shot.,88941,,true,false,false,Garrick,,Sherman,,ND,,8,5,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,46,46,
1,17,10,Shooting foul committed by Eric Atkins.,97478,,true,false,false,Eric,,Atkins,,ND,,8,5,0,1,1,,,,,0,,2,Shooting,8,Foul,,,,46,46,
1,17,10,Marshall Bjorklund misses free throw 1 of 2.,98583,,true,false,false,Marshall,,Bjorklund,,NDakSt,,8,5,0,1,0,,,,,2,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,679,679,
1,17,10,Marshall Bjorklund makes free throw 2 of 2.,98583,,true,false,false,Marshall,,Bjorklund,,NDakSt,,8,6,0,1,0,,,,,3,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,679,679,
1,17,01,Shooting foul committed by Kory Brown.,116930,,true,false,false,Kory,,Brown,,NDakSt,,8,6,1,1,1,,,,,0,,2,Shooting,8,Foul,,,,679,679,
1,17,01,Jerian Grant misses free throw 1 of 3.,97480,,true,false,false,Jerian,,Grant,,ND,,8,6,1,1,0,,,,,0,1,13,Free Throw 1 of 3,2,Free Throw Missed,,,,46,46,
1,17,01,Jerian Grant misses free throw 2 of 3.,97480,,true,false,false,Jerian,,Grant,,ND,,8,6,1,1,0,,,,,0,1,14,Free Throw 2 of 3,2,Free Throw Missed,,,,46,46,
1,17,01,Jerian Grant makes free throw 3 of 3.,97480,,true,false,false,Jerian,,Grant,,ND,,9,6,1,1,0,,,,,1,1,15,Free Throw 3 of 3,1,Free Throw Made,,,,46,46,
1,16,43,TrayVonn Wright makes a dunk shot.,98582,,true,false,false,TrayVonn,,Wright,,NDakSt,,9,8,1,1,0,,,,,5,2,48,Dunk Shot,3,Field Goal Made,,,,679,679,
1,16,21,Garrick Sherman misses a layup shot.,88941,,true,false,false,Garrick,,Sherman,,ND,,9,8,1,1,0,,,,,2,2,40,Layup Shot,4,Field Goal Missed,,,,46,46,
1,16,17,Garrick Sherman misses a layup shot.,88941,,true,false,false,Garrick,,Sherman,,ND,,9,8,1,1,0,,,,,2,2,40,Layup Shot,4,Field Goal Missed,,,,46,46,
1,16,05,Marshall Bjorklund makes a jump shot.,98583,,true,false,false,Marshall,,Bjorklund,,NDakSt,,9,10,1,1,0,,,,,5,2,45,Jump Shot,3,Field Goal Made,,,,679,679,
1,15,43,Pat Connaughton makes a 3-point jump shot.,109491,,true,false,false,Pat,,Connaughton,,ND,,12,10,1,1,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,46,46,
1,15,24,Taylor Braun makes a 3-point jump shot.,89340,,true,false,false,Taylor,,Braun,,NDakSt,,12,13,1,1,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,679,679,
1,14,49,Jerian Grant misses a 3-point jump shot.,97480,,true,false,false,Jerian,,Grant,,ND,,12,13,1,1,0,,,,,1,3,45,Jump Shot,4,Field Goal Missed,,,,46,46,
1,14,38,Taylor Braun makes a layup shot.,89340,,true,false,false,Taylor,,Braun,,NDakSt,,12,15,1,1,0,,,,,5,2,40,Layup Shot,3,Field Goal Made,,,,679,679,
1,14,17,Official TV timeout.,,,false,false,false,,,,,,,12,15,1,1,0,,,,,0,,3,Official TV,11,Timeout,,,,46,46,
1,14,04,Shooting foul committed by Demetrius Jackson.,120755,,true,false,false,Demetrius,,Jackson,,ND,,12,15,1,2,1,,,,,6,,2,Shooting,8,Foul,,,,46,46,
1,14,04,Taylor Braun makes free throw 1 of 2.,89340,,true,false,false,Taylor,,Braun,,NDakSt,,12,16,1,2,0,,,,,6,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,679,679,
1,14,04,Taylor Braun makes free throw 2 of 2.,89340,,true,false,false,Taylor,,Braun,,NDakSt,,12,17,1,2,0,,,,,7,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,679,679,
1,13,38,Eric Atkins makes a layup shot.,97478,,true,false,false,Eric,,Atkins,,ND,,14,17,1,2,1,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,46,46,
1,13,09,Lawrence Alexander misses a jump shot.,110154,,true,false,false,Lawrence,,Alexander,,NDakSt,,14,17,1,2,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,679,679,
