half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,16,16,
1,19,46,Carlton Brundidge misses a 3-point jump shot.,110137,,true,false,false,Carlton,,Brundidge,,Det,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,131,131,
1,19,17,Anthony Barber makes a jump shot.,120606,,true,false,false,Anthony,,Barber,,NCSU,,2,0,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,16,16,
1,18,57,Jarod Williams misses a layup shot.,121267,,true,false,false,Jarod,,Williams,,Det,,2,0,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,131,131,
1,18,49,Anthony Barber misses a jump shot.,120606,,true,false,false,Anthony,,Barber,,NCSU,,2,0,0,0,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,,,,16,16,
1,18,44,Jordan Vandenberg makes a dunk shot.,88227,,true,false,false,Jordan,,Vandenberg,,NCSU,,4,0,0,0,0,,,,,2,2,48,Dunk Shot,3,Field Goal Made,,,,16,16,
1,18,32,"Juwan Howard, Jr. misses a 3-point jump shot.",97766,,true,false,false,Juwan,,"Howard, Jr.",,Det,,4,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,131,131,
1,18,04,Offensive foul committed by Ugochukwu Njoku.,117641,,true,false,false,Ugochukwu,,Njoku,,Det,,4,0,1,0,1,,,,,0,,4,Offensive,8,Foul,,,,131,131,
1,17,49,Jarod Williams makes a dunk shot.,121267,,true,false,false,Jarod,,Williams,,Det,,4,2,1,0,0,,,,,2,2,48,Dunk Shot,3,Field Goal Made,,,,131,131,
1,17,29,Desmond Lee makes a 3-point jump shot.,97477,,true,false,false,Desmond,,Lee,,NCSU,,7,2,1,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,16,16,
