half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,46,46,
1,19,45,Jeremy Hollowell misses a jump shot from 16 feet out.,116726,,true,false,false,Jeremy,,Hollowell,,Ind,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,16,-9.8,13,73,73,
1,19,45,Pat Connaughton with a defensive rebound.,109491,,true,false,false,Pat,,Connaughton,,ND,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,46,46,
1,19,21,Eric Atkins makes a 3-point jump shot from 24 feet out. Jerian Grant with the assist.,97478,97480,true,true,false,Eric,Jerian,Atkins,Grant,ND,ND,3,0,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,24,23,6,46,46,
1,19,05,Noah Vonleh makes a jump shot from 20 feet out.,121075,,true,false,false,Noah,,Vonleh,,Ind,,3,2,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,20,-20,-.1,73,73,
1,18,47,Garrick Sherman makes a hook shot from 6 feet out.,88941,,true,false,false,Garrick,,Sherman,,ND,,5,2,0,0,0,,,,,2,2,55,Hook Shot,3,Field Goal Made,6,3.3,5.3,46,46,
1,18,29,Will Sheehey misses a jump shot from 3 feet out.,97590,,true,false,false,Will,,Sheehey,,Ind,,5,2,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,3,0,3,73,73,
1,18,29,Pat Connaughton with a defensive rebound.,109491,,true,false,false,Pat,,Connaughton,,ND,,5,2,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,46,46,
1,18,27,Jerian Grant makes a 3-point jump shot from 23 feet out. Pat Connaughton with the assist.,97480,109491,true,true,false,Jerian,Pat,Grant,Connaughton,ND,ND,8,2,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,17,16,46,46,
1,18,07,Yogi Ferrell misses a 3-point jump shot from 23 feet out.,116724,,true,false,false,Yogi,,Ferrell,,Ind,,8,2,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-15.6,17.3,73,73,
1,18,07,Noah Vonleh with an offensive rebound.,121075,,true,false,false,Noah,,Vonleh,,Ind,,8,2,0,0,0,,,,,2,,,,5,Offensive Rebound,,,,73,73,
1,18,03,Noah Vonleh makes a layup shot.,121075,,true,false,false,Noah,,Vonleh,,Ind,,8,4,0,0,0,,,,,4,2,40,Layup Shot,3,Field Goal Made,0,0,0,73,73,
1,17,43,Eric Atkins misses a jump shot from 8 feet out.,97478,,true,false,false,Eric,,Atkins,,ND,,8,4,0,0,0,,,,,3,2,45,Jump Shot,4,Field Goal Missed,8,-4.3,7,46,46,
1,17,43,Noah Vonleh with a defensive rebound.,121075,,true,false,false,Noah,,Vonleh,,Ind,,8,4,0,0,0,,,,,4,,,,6,Defensive Rebound,,,,73,73,
1,17,37,Will Sheehey makes a layup shot. Yogi Ferrell with the assist.,97590,116724,true,true,false,Will,Yogi,Sheehey,Ferrell,Ind,Ind,8,6,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,73,73,
1,17,29,Garrick Sherman with a lost ball turnover: Lost Ball,88941,,true,false,false,Garrick,,Sherman,,ND,,8,6,0,0,0,,,,,2,,2,Lost Ball,7,Turnover,,,,46,46,
1,17,16,Jeremy Hollowell misses a hook shot from 8 feet out.,116726,,true,false,false,Jeremy,,Hollowell,,Ind,,8,6,0,0,0,,,,,0,2,55,Hook Shot,4,Field Goal Missed,8,-.4,8.2,73,73,
1,17,16,Pat Connaughton with a defensive rebound.,109491,,true,false,false,Pat,,Connaughton,,ND,,8,6,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,46,46,
1,17,03,Personal foul committed by Troy Williams.,121077,,true,false,false,Troy,,Williams,,Ind,,8,6,1,0,1,,,,,0,,1,Personal,8,Foul,,,,73,73,
1,16,49,Demetrius Jackson misses a 3-point jump shot from 23 feet out.,120755,,true,false,false,Demetrius,,Jackson,,ND,,8,6,1,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,22.7,.1,46,46,
1,16,49,Ind with a defensive rebound.,,,false,false,false,,,,,,,8,6,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,73,73,
1,16,36,Troy Williams misses a 3-point jump shot from 23 feet out.,121077,,true,false,false,Troy,,Williams,,Ind,,8,6,1,0,1,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,15.6,17.3,73,73,
1,16,36,Demetrius Jackson with a defensive rebound.,120755,,true,false,false,Demetrius,,Jackson,,ND,,8,6,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,46,46,
1,16,28,Shooting foul committed by Noah Vonleh.,121075,,true,false,false,Noah,,Vonleh,,Ind,,8,6,2,0,1,,,,,4,,2,Shooting,8,Foul,,,,73,73,
1,16,28,Demetrius Jackson makes free throw 1 of 2.,120755,,true,false,false,Demetrius,,Jackson,,ND,,9,6,2,0,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,46,46,
1,16,28,Demetrius Jackson makes free throw 2 of 2.,120755,,true,false,false,Demetrius,,Jackson,,ND,,10,6,2,0,0,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,46,46,
1,16,12,Personal foul committed by Pat Connaughton.,109491,,true,false,false,Pat,,Connaughton,,ND,,10,6,2,1,1,,,,,0,,1,Personal,8,Foul,,,,46,46,
1,15,58,Will Sheehey with a traveling turnover: Traveling,97590,,true,false,false,Will,,Sheehey,,Ind,,10,6,2,1,0,,,,,2,,4,Traveling,7,Turnover,,,,73,73,
1,15,58,Official TV timeout.,,,false,false,false,,,,,,,10,6,2,1,0,,,,,0,,3,Official TV,11,Timeout,,,,46,46,
1,15,43,Garrick Sherman makes a jump shot from 6 feet out.,88941,,true,false,false,Garrick,,Sherman,,ND,,12,6,2,1,0,,,,,4,2,45,Jump Shot,3,Field Goal Made,6,-4,4.8,46,46,
1,15,19,Will Sheehey makes a jump shot from 12 feet out. Troy Williams with the assist.,97590,121077,true,true,false,Will,Troy,Sheehey,Williams,Ind,Ind,12,8,2,1,0,,,,,4,2,45,Jump Shot,3,Field Goal Made,12,-1,12,73,73,
1,14,51,Jerian Grant misses a jump shot from 18 feet out.,97480,,true,false,false,Jerian,,Grant,,ND,,12,8,2,1,0,,,,,3,2,45,Jump Shot,4,Field Goal Missed,18,10.1,14.5,46,46,
1,14,51,ND with an offensive rebound.,,,false,false,false,,,,,,,12,8,2,1,0,,,,,0,,,,5,Offensive Rebound,,,,46,46,
