half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,116,116,
1,19,37,Michael Young misses a 3-point jump shot from 26 feet out.,120761,,true,false,false,Michael,,Young,,Pitt,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,26,-19.3,17.8,47,47,
1,19,37,Cin with a defensive rebound.,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,116,116,
1,19,07,Ge'Lawn Guyn makes a jump shot from 8 feet out.,110423,,true,false,false,Ge'Lawn,,Guyn,,Cin,,2,0,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,8,.8,7.6,116,116,
1,18,45,Lamar Patterson misses a jump shot from 13 feet out.,88282,,true,false,false,Lamar,,Patterson,,Pitt,,2,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,13,-1.6,12.8,47,47,
1,18,45,Shaquille Thomas with a defensive rebound.,110421,,true,false,false,Shaquille,,Thomas,,Cin,,2,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,116,116,
1,18,03,Sean Kilpatrick misses a 3-point jump shot from 26 feet out.,88656,,true,false,false,Sean,,Kilpatrick,,Cin,,2,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,26,-15.2,21.2,116,116,
1,18,03,Justin Jackson with an offensive rebound.,97297,,true,false,false,Justin,,Jackson,,Cin,,2,0,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,116,116,
1,17,53,Shaquille Thomas misses a jump shot from 13 feet out.,110421,,true,false,false,Shaquille,,Thomas,,Cin,,2,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,13,.8,12.5,116,116,
1,17,53,Justin Jackson with an offensive rebound.,97297,,true,false,false,Justin,,Jackson,,Cin,,2,0,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,116,116,
1,17,48,Justin Jackson makes a jump shot from 4 feet out.,97297,,true,false,false,Justin,,Jackson,,Cin,,4,0,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,4,1.4,3.5,116,116,
1,17,28,Talib Zanna makes a jump shot from 9 feet out. Cameron Wright with the assist.,88283,97236,true,true,false,Talib,Cameron,Zanna,Wright,Pitt,Pitt,4,2,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,9,.6,8.6,47,47,
1,16,54,Justin Jackson makes a jump shot from 8 feet out.,97297,,true,false,false,Justin,,Jackson,,Cin,,6,2,0,0,0,,,,,4,2,45,Jump Shot,3,Field Goal Made,8,3,7,116,116,
1,16,39,Cameron Wright misses a jump shot from 13 feet out.,97236,,true,false,false,Cameron,,Wright,,Pitt,,6,2,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,13,-8,10,47,47,
1,16,39,Michael Young with an offensive rebound.,120761,,true,false,false,Michael,,Young,,Pitt,,6,2,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,47,47,
1,16,34,Lamar Patterson makes a 3-point jump shot from 23 feet out. James Robinson with the assist.,88282,116087,true,true,false,Lamar,James,Patterson,Robinson,Pitt,Pitt,6,5,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,-23.2,2.8,47,47,
1,16,08,Justin Jackson makes a jump shot from 7 feet out.,97297,,true,false,false,Justin,,Jackson,,Cin,,8,5,0,0,0,,,,,6,2,45,Jump Shot,3,Field Goal Made,7,2.8,6.5,116,116,
1,15,43,Talib Zanna misses a jump shot from 12 feet out.,88283,,true,false,false,Talib,,Zanna,,Pitt,,8,5,0,0,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,12,-4,11.3,47,47,
1,15,43,Titus Rubles with a defensive rebound.,116785,,true,false,false,Titus,,Rubles,,Cin,,8,5,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,116,116,
1,15,19,Shaquille Thomas misses a jump shot from 12 feet out.,110421,,true,false,false,Shaquille,,Thomas,,Cin,,8,5,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,12,5.7,11.1,116,116,
1,15,19,Michael Young with a defensive rebound.,120761,,true,false,false,Michael,,Young,,Pitt,,8,5,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,47,47,
1,15,12,Lamar Patterson misses a 3-point jump shot from 25 feet out.,88282,,true,false,false,Lamar,,Patterson,,Pitt,,8,5,0,0,0,,,,,3,3,45,Jump Shot,4,Field Goal Missed,25,8.8,23,47,47,
1,15,12,Michael Young with an offensive rebound.,120761,,true,false,false,Michael,,Young,,Pitt,,8,5,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,47,47,
1,15,08,Personal foul committed by Titus Rubles.,116785,,true,false,false,Titus,,Rubles,,Cin,,8,5,0,1,1,,,,,0,,1,Personal,8,Foul,,,,116,116,
1,15,08,Official TV timeout.,,,false,false,false,,,,,,,8,5,0,1,0,,,,,0,,3,Official TV,11,Timeout,,,,116,116,
1,15,08,Michael Young makes free throw 1 of 2.,120761,,true,false,false,Michael,,Young,,Pitt,,8,6,0,1,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,47,47,
1,15,08,Michael Young makes free throw 2 of 2.,120761,,true,false,false,Michael,,Young,,Pitt,,8,7,0,1,0,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,47,47,
1,14,51,Ge'Lawn Guyn misses a 3-point jump shot from 24 feet out.,110423,,true,false,false,Ge'Lawn,,Guyn,,Cin,,8,7,0,1,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,24,22.7,6.4,116,116,
1,14,51,Pitt with a defensive rebound.,,,false,false,false,,,,,,,8,7,0,1,0,,,,,0,,,,6,Defensive Rebound,,,,47,47,
1,14,51,Personal foul committed by Titus Rubles.,116785,,true,false,false,Titus,,Rubles,,Cin,,8,7,0,2,2,,,,,0,,1,Personal,8,Foul,,,,116,116,
1,14,32,Derrick Randall misses a jump shot from 10 feet out.,110181,,true,false,false,Derrick,,Randall,,Pitt,,8,7,0,2,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,10,-8.4,6.2,47,47,
1,14,32,Cin with a defensive rebound.,,,false,false,false,,,,,,,8,7,0,2,0,,,,,0,,,,6,Defensive Rebound,,,,116,116,
1,14,32,Personal foul committed by Derrick Randall.,110181,,true,false,false,Derrick,,Randall,,Pitt,,8,7,1,2,1,,,,,0,,1,Personal,8,Foul,,,,47,47,
1,14,05,Sean Kilpatrick misses a 3-point jump shot from 28 feet out.,88656,,true,false,false,Sean,,Kilpatrick,,Cin,,8,7,1,2,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,28,11.5,25.1,116,116,
1,14,05,Jamel Artis with a defensive rebound.,120758,,true,false,false,Jamel,,Artis,,Pitt,,8,7,1,2,0,,,,,0,,,,6,Defensive Rebound,,,,47,47,
1,13,29,Jamel Artis misses a jump shot from 17 feet out.,120758,,true,false,false,Jamel,,Artis,,Pitt,,8,7,1,2,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,17,9.9,14.2,47,47,
1,13,29,Justin Jackson with a defensive rebound.,97297,,true,false,false,Justin,,Jackson,,Cin,,8,7,1,2,0,,,,,6,,,,6,Defensive Rebound,,,,116,116,
1,13,11,Sean Kilpatrick makes a jump shot from 6 feet out. Justin Jackson with the assist.,88656,97297,true,true,false,Sean,Justin,Kilpatrick,Jackson,Cin,Cin,10,7,1,2,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,6,2.1,5.5,116,116,
1,12,50,Lamar Patterson makes a jump shot from 14 feet out.,88282,,true,false,false,Lamar,,Patterson,,Pitt,,10,9,1,2,0,,,,,5,2,45,Jump Shot,3,Field Goal Made,14,1.4,14,47,47,
1,12,27,Titus Rubles misses a jump shot from 16 feet out.,116785,,true,false,false,Titus,,Rubles,,Cin,,10,9,1,2,2,,,,,0,2,45,Jump Shot,4,Field Goal Missed,16,-15.7,.9,116,116,
1,12,27,Cin with an offensive rebound.,,,false,false,false,,,,,,,10,9,1,2,0,,,,,0,,,,5,Offensive Rebound,,,,116,116,
1,12,23,Justin Jackson with a traveling turnover: Traveling,97297,,true,false,false,Justin,,Jackson,,Cin,,10,9,1,2,0,,,,,6,,4,Traveling,7,Turnover,,,,116,116,
1,12,08,Josh Newkirk with a lost ball turnover: Lost Ball,120759,,true,false,false,Josh,,Newkirk,,Pitt,,10,9,1,2,0,,,,,0,,2,Lost Ball,7,Turnover,,,,47,47,
1,12,06,Jermaine Sanders makes a jump shot from 6 feet out.,110424,,true,false,false,Jermaine,,Sanders,,Cin,,12,9,1,2,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,6,1.4,6.2,116,116,
1,12,06,Shooting foul committed by Josh Newkirk.,120759,,true,false,false,Josh,,Newkirk,,Pitt,,12,9,2,2,1,,,,,0,,2,Shooting,8,Foul,,,,47,47,
1,12,06,Jermaine Sanders misses free throw 1 of 1.,110424,,true,false,false,Jermaine,,Sanders,,Cin,,12,9,2,2,0,,,,,2,1,10,Free Throw 1 of 1,2,Free Throw Missed,,,,116,116,
1,12,06,Talib Zanna with a defensive rebound.,88283,,true,false,false,Talib,,Zanna,,Pitt,,12,9,2,2,0,,,,,2,,,,6,Defensive Rebound,,,,47,47,
1,11,51,Durand Johnson misses a 3-point jump shot from 27 feet out.,109493,,true,false,false,Durand,,Johnson,,Pitt,,12,9,2,2,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,27,-6.2,26.1,47,47,
1,11,51,Jermaine Sanders with a defensive rebound.,110424,,true,false,false,Jermaine,,Sanders,,Cin,,12,9,2,2,0,,,,,2,,,,6,Defensive Rebound,,,,116,116,
1,11,21,Jermaine Sanders misses a 3-point jump shot from 25 feet out.,110424,,true,false,false,Jermaine,,Sanders,,Cin,,12,9,2,2,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,25,-23,9.4,116,116,
1,11,21,Talib Zanna with a defensive rebound.,88283,,true,false,false,Talib,,Zanna,,Pitt,,12,9,2,2,0,,,,,2,,,,6,Defensive Rebound,,,,47,47,
1,11,11,Durand Johnson makes a jump shot from 4 feet out.,109493,,true,false,false,Durand,,Johnson,,Pitt,,12,11,2,2,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,4,.6,4,47,47,
1,10,36,Sean Kilpatrick misses a jump shot from 15 feet out.,88656,,true,false,false,Sean,,Kilpatrick,,Cin,,12,11,2,2,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,15,11.6,9.8,116,116,
1,10,36,Sean Kilpatrick with an offensive rebound.,88656,,true,false,false,Sean,,Kilpatrick,,Cin,,12,11,2,2,0,,,,,2,,,,5,Offensive Rebound,,,,116,116,
1,10,27,Jermaine Lawrence misses a jump shot from 15 feet out.,121445,,true,false,false,Jermaine,,Lawrence,,Cin,,12,11,2,2,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,15,3.1,14.4,116,116,
1,10,27,Jermaine Sanders with an offensive rebound.,110424,,true,false,false,Jermaine,,Sanders,,Cin,,12,11,2,2,0,,,,,2,,,,5,Offensive Rebound,,,,116,116,
1,10,23,Jermaine Sanders makes a jump shot from 5 feet out.,110424,,true,false,false,Jermaine,,Sanders,,Cin,,14,11,2,2,0,,,,,4,2,45,Jump Shot,3,Field Goal Made,5,1.4,5,116,116,
1,10,10,Personal foul committed by Jermaine Lawrence.,121445,,true,false,false,Jermaine,,Lawrence,,Cin,,14,11,2,3,1,,,,,0,,1,Personal,8,Foul,,,,116,116,
1,10,10,Official TV timeout.,,,false,false,false,,,,,,,14,11,2,3,0,,,,,0,,3,Official TV,11,Timeout,,,,116,116,
1,9,44,Cameron Wright misses a jump shot from 6 feet out.,97236,,true,false,false,Cameron,,Wright,,Pitt,,14,11,2,3,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,6,2,6.2,47,47,
1,9,44,Talib Zanna with an offensive rebound.,88283,,true,false,false,Talib,,Zanna,,Pitt,,14,11,2,3,0,,,,,2,,,,5,Offensive Rebound,,,,47,47,
1,9,42,Talib Zanna makes a jump shot from 6 feet out.,88283,,true,false,false,Talib,,Zanna,,Pitt,,14,13,2,3,0,,,,,4,2,45,Jump Shot,3,Field Goal Made,6,2.8,4.8,47,47,
1,9,04,Sean Kilpatrick misses a 3-point jump shot from 25 feet out.,88656,,true,false,false,Sean,,Kilpatrick,,Cin,,14,13,2,3,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,25,-13.9,21,116,116,
1,9,04,Talib Zanna with a defensive rebound.,88283,,true,false,false,Talib,,Zanna,,Pitt,,14,13,2,3,0,,,,,4,,,,6,Defensive Rebound,,,,47,47,
1,8,58,Cameron Wright makes a jump shot from 5 feet out. James Robinson with the assist.,97236,116087,true,true,false,Cameron,James,Wright,Robinson,Pitt,Pitt,14,15,2,3,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,5,2.8,4.5,47,47,
1,8,33,Troy Caupain with a lost ball turnover: Lost Ball,121443,,true,false,false,Troy,,Caupain,,Cin,,14,15,2,3,0,,,,,0,,2,Lost Ball,7,Turnover,,,,116,116,
1,8,26,James Robinson with a lost ball turnover: Lost Ball,116087,,true,false,false,James,,Robinson,,Pitt,,14,15,2,3,0,,,,,0,,2,Lost Ball,7,Turnover,,,,47,47,
1,8,22,Jermaine Sanders misses a jump shot from 9 feet out.,110424,,true,false,false,Jermaine,,Sanders,,Cin,,14,15,2,3,0,,,,,4,2,45,Jump Shot,4,Field Goal Missed,9,-4.8,7.7,116,116,
1,8,22,Justin Jackson with an offensive rebound.,97297,,true,false,false,Justin,,Jackson,,Cin,,14,15,2,3,0,,,,,6,,,,5,Offensive Rebound,,,,116,116,
1,8,14,Justin Jackson makes a jump shot from 5 feet out.,97297,,true,false,false,Justin,,Jackson,,Cin,,16,15,2,3,0,,,,,8,2,45,Jump Shot,3,Field Goal Made,5,3.3,3.5,116,116,
