half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,263,263,
1,19,30,Desmond Lee misses a layup shot.,97477,,true,false,false,Desmond,,Lee,,NCSU,,0,0,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,16,16,
1,19,26,T.J. Warren misses a tip shot.,116007,,true,false,false,T.J.,,Warren,,NCSU,,0,0,0,0,0,,,,,0,2,53,Tip Shot,4,Field Goal Missed,,,,16,16,
1,19,22,T.J. Warren makes a tip shot.,116007,,true,false,false,T.J.,,Warren,,NCSU,,0,2,0,0,0,,,,,2,2,53,Tip Shot,3,Field Goal Made,,,,16,16,
1,19,17,Jarnell Stokes misses a hook shot.,114959,,true,false,false,Jarnell,,Stokes,,Tenn,,0,2,0,0,0,,,,,0,2,55,Hook Shot,4,Field Goal Missed,,,,263,263,
1,18,58,Desmond Lee misses a layup shot.,97477,,true,false,false,Desmond,,Lee,,NCSU,,0,2,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,16,16,
1,18,56,Shooting foul committed by Jordan McRae.,97525,,true,false,false,Jordan,,McRae,,Tenn,,0,2,0,1,1,,,,,0,,2,Shooting,8,Foul,,,,263,263,
1,18,56,Lennard Freeman makes free throw 1 of 2.,120604,,true,false,false,Lennard,,Freeman,,NCSU,,0,3,0,1,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,16,16,
1,18,56,Lennard Freeman makes free throw 2 of 2.,120604,,true,false,false,Lennard,,Freeman,,NCSU,,0,4,0,1,0,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,16,16,
1,18,47,Antonio Barton misses a jump shot.,97319,,true,false,false,Antonio,,Barton,,Tenn,,0,4,0,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,263,263,
1,18,42,Anthony Barber makes a layup shot.,120606,,true,false,false,Anthony,,Barber,,NCSU,,0,6,0,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,16,16,
1,18,26,Jarnell Stokes misses a jump shot.,114959,,true,false,false,Jarnell,,Stokes,,Tenn,,0,6,0,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,263,263,
1,18,19,Jordan McRae misses a 3-point jump shot.,97525,,true,false,false,Jordan,,McRae,,Tenn,,0,6,0,1,1,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,263,263,
1,18,15,Jarnell Stokes misses a jump shot.,114959,,true,false,false,Jarnell,,Stokes,,Tenn,,0,6,0,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,263,263,
1,18,13,Jeronne Maymon makes a layup shot.,88277,,true,false,false,Jeronne,,Maymon,,Tenn,,2,6,0,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,263,263,
1,18,13,Shooting foul committed by Jordan Vandenberg.,88227,,true,false,false,Jordan,,Vandenberg,,NCSU,,2,6,1,1,1,,,,,0,,2,Shooting,8,Foul,,,,16,16,
1,18,13,Jeronne Maymon makes free throw 1 of 1.,88277,,true,false,false,Jeronne,,Maymon,,Tenn,,3,6,1,1,0,,,,,3,1,10,Free Throw 1 of 1,1,Free Throw Made,,,,263,263,
1,17,48,Personal foul committed by Jordan Vandenberg.,88227,,true,false,false,Jordan,,Vandenberg,,NCSU,,3,6,2,1,2,,,,,0,,1,Personal,8,Foul,,,,16,16,
1,17,43,Shooting foul committed by Beejay Anya.,120605,,true,false,false,Beejay,,Anya,,NCSU,,3,6,3,1,1,,,,,0,,2,Shooting,8,Foul,,,,16,16,
1,17,43,Jarnell Stokes makes free throw 1 of 2.,114959,,true,false,false,Jarnell,,Stokes,,Tenn,,4,6,3,1,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,263,263,
1,17,43,Jarnell Stokes makes free throw 2 of 2.,114959,,true,false,false,Jarnell,,Stokes,,Tenn,,5,6,3,1,0,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,263,263,
1,17,30,Lennard Freeman makes a hook shot.,120604,,true,false,false,Lennard,,Freeman,,NCSU,,5,8,3,1,0,,,,,4,2,55,Hook Shot,3,Field Goal Made,,,,16,16,
1,17,08,Jordan McRae misses a 3-point jump shot.,97525,,true,false,false,Jordan,,McRae,,Tenn,,5,8,3,1,1,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,263,263,
1,16,57,Desmond Lee makes a layup shot.,97477,,true,false,false,Desmond,,Lee,,NCSU,,5,10,3,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,16,16,
1,16,45,Antonio Barton misses a jump shot.,97319,,true,false,false,Antonio,,Barton,,Tenn,,5,10,3,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,263,263,
1,16,38,T.J. Warren makes a layup shot.,116007,,true,false,false,T.J.,,Warren,,NCSU,,5,12,3,1,0,,,,,4,2,40,Layup Shot,3,Field Goal Made,,,,16,16,
1,16,37,Tenn take a full timeout.,,,false,false,false,,,,,,,5,12,3,1,0,,,,,0,,1,Regular,11,Timeout,,,,263,263,
1,16,27,Jordan McRae makes a jump shot.,97525,,true,false,false,Jordan,,McRae,,Tenn,,7,12,3,1,1,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,263,263,
1,16,01,Beejay Anya misses a hook shot.,120605,,true,false,false,Beejay,,Anya,,NCSU,,7,12,3,1,1,,,,,0,2,55,Hook Shot,4,Field Goal Missed,,,,16,16,
1,15,52,Josh Richardson misses a 3-point jump shot.,109946,,true,false,false,Josh,,Richardson,,Tenn,,7,12,3,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,263,263,
1,15,28,T.J. Warren misses a jump shot.,116007,,true,false,false,T.J.,,Warren,,NCSU,,7,12,3,1,0,,,,,4,2,45,Jump Shot,4,Field Goal Missed,,,,16,16,
1,15,27,Personal foul committed by T.J. Warren.,116007,,true,false,false,T.J.,,Warren,,NCSU,,7,12,4,1,1,,,,,4,,1,Personal,8,Foul,,,,16,16,
1,15,27,Official TV timeout.,,,false,false,false,,,,,,,7,12,4,1,0,,,,,0,,3,Official TV,11,Timeout,,,,263,263,
1,15,15,A.J. Davis makes a layup shot.,120742,,true,false,false,A.J.,,Davis,,Tenn,,9,12,4,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,263,263,
1,14,53,Desmond Lee misses a jump shot.,97477,,true,false,false,Desmond,,Lee,,NCSU,,9,12,4,1,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,,,,16,16,
1,14,37,Anthony Barber makes a jump shot.,120606,,true,false,false,Anthony,,Barber,,NCSU,,9,14,4,1,0,,,,,4,2,45,Jump Shot,3,Field Goal Made,,,,16,16,
1,14,16,A.J. Davis misses a jump shot.,120742,,true,false,false,A.J.,,Davis,,Tenn,,9,14,4,1,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,,,,263,263,
1,13,49,Offensive foul committed by Robert Hubbs III.,120743,,true,false,false,Robert,,Hubbs III,,Tenn,,9,14,4,2,1,,,,,0,,4,Offensive,8,Foul,,,,263,263,
1,13,31,Anthony Barber misses a layup shot.,120606,,true,false,false,Anthony,,Barber,,NCSU,,9,14,4,2,0,,,,,4,2,40,Layup Shot,4,Field Goal Missed,,,,16,16,
1,13,25,Jarnell Stokes makes a layup shot.,114959,,true,false,false,Jarnell,,Stokes,,Tenn,,11,14,4,2,0,,,,,4,2,40,Layup Shot,3,Field Goal Made,,,,263,263,
1,12,48,Anthony Barber misses a jump shot.,120606,,true,false,false,Anthony,,Barber,,NCSU,,11,14,4,2,0,,,,,4,2,45,Jump Shot,4,Field Goal Missed,,,,16,16,
1,12,23,Darius Thompson misses a 3-point jump shot.,120745,,true,false,false,Darius,,Thompson,,Tenn,,11,14,4,2,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,263,263,
1,12,05,T.J. Warren makes a layup shot.,116007,,true,false,false,T.J.,,Warren,,NCSU,,11,16,4,2,1,,,,,6,2,40,Layup Shot,3,Field Goal Made,,,,16,16,
1,11,39,Official TV timeout.,,,false,false,false,,,,,,,11,16,4,2,0,,,,,0,,3,Official TV,11,Timeout,,,,263,263,
1,11,29,Ralston Turner makes a 3-point jump shot.,97046,,true,false,false,Ralston,,Turner,,NCSU,,11,19,4,2,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,16,16,
1,10,39,Shooting foul committed by Jeronne Maymon.,88277,,true,false,false,Jeronne,,Maymon,,Tenn,,11,19,4,3,1,,,,,3,,2,Shooting,8,Foul,,,,263,263,
1,10,39,Lennard Freeman makes free throw 1 of 2.,120604,,true,false,false,Lennard,,Freeman,,NCSU,,11,20,4,3,0,,,,,5,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,16,16,
1,10,39,Lennard Freeman makes free throw 2 of 2.,120604,,true,false,false,Lennard,,Freeman,,NCSU,,11,21,4,3,0,,,,,6,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,16,16,
