half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,15,15,
1,19,43,Demarcus Holland misses a jump shot.,116644,,true,false,false,Demarcus,,Holland,,Tex,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,0,0,0,92,92,
1,19,43,Demarcus Holland with an offensive rebound.,116644,,true,false,false,Demarcus,,Holland,,Tex,,0,0,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,92,92,
1,19,37,Demarcus Holland makes a layup shot.,116644,,true,false,false,Demarcus,,Holland,,Tex,,0,2,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,92,92,
1,19,27,J.P. Tokoto makes a jump shot from 6 feet out.,116589,,true,false,false,J.P.,,Tokoto,,UNC,,2,2,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,6,-3,5,15,15,
1,19,10,Demarcus Holland makes a layup shot.,116644,,true,false,false,Demarcus,,Holland,,Tex,,2,4,0,0,0,,,,,4,2,40,Layup Shot,3,Field Goal Made,0,0,0,92,92,
1,19,07,Kennedy Meeks makes a layup shot. Nate Britt with the assist.,121345,121344,true,true,false,Kennedy,Nate,Meeks,Britt,UNC,UNC,4,4,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,15,15,
1,18,59,Demarcus Holland makes a 3-point jump shot from 23 feet out. Kendal Yancy with the assist.,116644,122135,true,true,false,Demarcus,Kendal,Holland,Yancy,Tex,Tex,4,7,0,0,0,,,,,7,3,45,Jump Shot,3,Field Goal Made,23,-14,17,92,92,
1,18,52,James Michael McAdoo makes a jump shot from 20 feet out.,110437,,true,false,false,James Michael,,McAdoo,,UNC,,6,7,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,20,13.9,13.9,15,15,
1,18,37,Kendal Yancy misses a jump shot from 10 feet out.,122135,,true,false,false,Kendal,,Yancy,,Tex,,6,7,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,10,-3.3,8.9,92,92,
1,18,37,Jonathan Holmes with an offensive rebound.,110935,,true,false,false,Jonathan,,Holmes,,Tex,,6,7,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,92,92,
1,18,31,Shooting foul committed by Kennedy Meeks.,121345,,true,false,false,Kennedy,,Meeks,,UNC,,6,7,0,1,1,,,,,2,,2,Shooting,8,Foul,,,,15,15,
1,18,31,Jonathan Holmes makes free throw 1 of 2.,110935,,true,false,false,Jonathan,,Holmes,,Tex,,6,8,0,1,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,92,92,
1,18,31,Jonathan Holmes makes free throw 2 of 2.,110935,,true,false,false,Jonathan,,Holmes,,Tex,,6,9,0,1,0,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,92,92,
1,18,17,Nate Britt misses a jump shot from 13 feet out.,121344,,true,false,false,Nate,,Britt,,UNC,,6,9,0,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,13,4,12,15,15,
1,18,17,Cameron Ridley with a defensive rebound.,116649,,true,false,false,Cameron,,Ridley,,Tex,,6,9,0,1,0,,,,,0,,,,6,Defensive Rebound,,,,92,92,
