half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,11,11,
1,19,45,Tyler Thornton misses a jump shot from 13 feet out.,97330,,true,false,false,Tyler,,Thornton,,Duke,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,13,-12.8,-.3,11,11,
1,19,45,David Wear with a defensive rebound.,88222,,true,false,false,David,,Wear,,UCLA,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,241,241,
1,19,23,Travis Wear makes a jump shot from 4 feet out. Kyle Anderson with the assist.,88223,116666,true,true,false,Travis,Kyle,Wear,Anderson,UCLA,UCLA,0,2,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,4,3.3,1.6,241,241,
1,19,12,Rodney Hood with a traveling turnover: Traveling,109781,,true,false,false,Rodney,,Hood,,Duke,,0,2,0,0,0,,,,,0,,4,Traveling,7,Turnover,,,,11,11,
1,19,03,David Brown misses a jump shot from 19 feet out.,110507,,true,false,false,David,,Brown,,UCLA,,0,2,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,19,-2,19,241,241,
1,19,03,Rodney Hood with a defensive rebound.,109781,,true,false,false,Rodney,,Hood,,Duke,,0,2,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,11,11,
1,18,49,Rodney Hood makes a layup shot. Tyler Thornton with the assist.,109781,97330,true,true,false,Rodney,Tyler,Hood,Thornton,Duke,Duke,2,2,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,11,11,
1,18,42,Shooting foul committed by Josh Hairston.,97328,,true,false,false,Josh,,Hairston,,Duke,,2,2,0,1,1,,,,,0,,2,Shooting,8,Foul,,,,11,11,
1,18,42,Norman Powell makes free throw 1 of 2.,110511,,true,false,false,Norman,,Powell,,UCLA,,2,3,0,1,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,241,241,
1,18,42,Norman Powell misses free throw 2 of 2.,110511,,true,false,false,Norman,,Powell,,UCLA,,2,3,0,1,0,,,,,1,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,241,241,
1,18,42,Jabari Parker with a defensive rebound.,121033,,true,false,false,Jabari,,Parker,,Duke,,2,3,0,1,0,,,,,0,,,,6,Defensive Rebound,,,,11,11,
1,18,18,Rodney Hood misses a 3-point jump shot from 23 feet out.,109781,,true,false,false,Rodney,,Hood,,Duke,,2,3,0,1,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,23,-14,18,11,11,
1,18,18,Tyler Thornton with an offensive rebound.,97330,,true,false,false,Tyler,,Thornton,,Duke,,2,3,0,1,0,,,,,0,,,,5,Offensive Rebound,,,,11,11,
1,18,14,Jabari Parker makes a 3-point jump shot from 25 feet out. Tyler Thornton with the assist.,121033,97330,true,true,false,Jabari,Tyler,Parker,Thornton,Duke,Duke,5,3,0,1,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,25,4.3,24.2,11,11,
1,17,58,Jordan Adams misses a jump shot from 19 feet out.,116665,,true,false,false,Jordan,,Adams,,UCLA,,5,3,0,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,19,-1.8,18.4,241,241,
1,17,58,Duke with a defensive rebound.,,,false,false,false,,,,,,,5,3,0,1,0,,,,,0,,,,6,Defensive Rebound,,,,11,11,
1,17,33,Jabari Parker makes a layup shot.,121033,,true,false,false,Jabari,,Parker,,Duke,,7,3,0,1,0,,,,,5,2,40,Layup Shot,3,Field Goal Made,0,0,0,11,11,
1,17,33,Shooting foul committed by Travis Wear.,88223,,true,false,false,Travis,,Wear,,UCLA,,7,3,1,1,1,,,,,2,,2,Shooting,8,Foul,,,,241,241,
1,17,33,Jabari Parker makes free throw 1 of 1.,121033,,true,false,false,Jabari,,Parker,,Duke,,8,3,1,1,0,,,,,6,1,10,Free Throw 1 of 1,1,Free Throw Made,,,,11,11,
1,17,17,Travis Wear misses a 3-point jump shot from 25 feet out.,88223,,true,false,false,Travis,,Wear,,UCLA,,8,3,1,1,1,,,,,2,3,45,Jump Shot,4,Field Goal Missed,25,-16.4,18.6,241,241,
1,17,17,Jabari Parker with a defensive rebound.,121033,,true,false,false,Jabari,,Parker,,Duke,,8,3,1,1,0,,,,,6,,,,6,Defensive Rebound,,,,11,11,
1,16,59,Jabari Parker misses a 3-point jump shot from 24 feet out.,121033,,true,false,false,Jabari,,Parker,,Duke,,8,3,1,1,0,,,,,6,3,45,Jump Shot,4,Field Goal Missed,24,9.3,22,11,11,
1,16,59,Kyle Anderson with a defensive rebound.,116666,,true,false,false,Kyle,,Anderson,,UCLA,,8,3,1,1,0,,,,,0,,,,6,Defensive Rebound,,,,241,241,
1,16,53,Shooting foul committed by Rodney Hood.,109781,,true,false,false,Rodney,,Hood,,Duke,,8,3,1,2,1,,,,,2,,2,Shooting,8,Foul,,,,11,11,
1,16,53,Jordan Adams makes free throw 1 of 2.,116665,,true,false,false,Jordan,,Adams,,UCLA,,8,4,1,2,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,241,241,
