half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,16,16,
1,19,28,Lennard Freeman misses a jump shot.,120604,,true,false,false,Lennard,,Freeman,,NCSU,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,16,16,
1,19,26,Antonio Robinson misses a layup shot.,121206,,true,false,false,Antonio,,Robinson,,ECU,,0,0,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,118,118,
1,19,10,Akeem Richmond makes a jump shot.,88648,,true,false,false,Akeem,,Richmond,,ECU,,0,2,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,118,118,
1,18,52,T.J. Warren makes a 3-point jump shot.,116007,,true,false,false,T.J.,,Warren,,NCSU,,3,2,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,16,16,
1,18,39,Akeem Richmond misses a 3-point jump shot.,88648,,true,false,false,Akeem,,Richmond,,ECU,,3,2,0,0,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,,,,118,118,
1,18,27,Antonio Robinson misses a 3-point jump shot.,121206,,true,false,false,Antonio,,Robinson,,ECU,,3,2,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,118,118,
1,18,03,Antonio Robinson makes a layup shot.,121206,,true,false,false,Antonio,,Robinson,,ECU,,3,4,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,118,118,
1,17,34,Anthony Barber misses a jump shot.,120606,,true,false,false,Anthony,,Barber,,NCSU,,3,4,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,16,16,
1,17,22,Caleb White makes a 3-point jump shot.,121205,,true,false,false,Caleb,,White,,ECU,,3,7,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,118,118,
1,16,48,Desmond Lee misses a jump shot.,97477,,true,false,false,Desmond,,Lee,,NCSU,,3,7,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,16,16,
1,16,41,Paris Roberts-Campbell misses a 3-point jump shot.,110371,,true,false,false,Paris,,Roberts-Campbell,,ECU,,3,7,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,118,118,
1,16,34,Michael Zangari misses a hook shot.,116761,,true,false,false,Michael,,Zangari,,ECU,,3,7,0,0,0,,,,,0,2,55,Hook Shot,4,Field Goal Missed,,,,118,118,
1,16,29,T.J. Warren makes a jump shot.,116007,,true,false,false,T.J.,,Warren,,NCSU,,5,7,0,0,0,,,,,5,2,45,Jump Shot,3,Field Goal Made,,,,16,16,
1,16,28,Shooting foul committed by Caleb White.,121205,,true,false,false,Caleb,,White,,ECU,,5,7,1,0,1,,,,,3,,2,Shooting,8,Foul,,,,118,118,
1,16,28,T.J. Warren makes free throw 1 of 1.,116007,,true,false,false,T.J.,,Warren,,NCSU,,6,7,1,0,0,,,,,6,1,10,Free Throw 1 of 1,1,Free Throw Made,,,,16,16,
1,16,08,Michael Zangari makes a layup shot.,116761,,true,false,false,Michael,,Zangari,,ECU,,6,9,1,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,118,118,
1,16,01,Desmond Lee misses a layup shot.,97477,,true,false,false,Desmond,,Lee,,NCSU,,6,9,1,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,16,16,
1,15,53,Akeem Richmond misses a 3-point jump shot.,88648,,true,false,false,Akeem,,Richmond,,ECU,,6,9,1,0,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,,,,118,118,
1,15,45,Anthony Barber makes a layup shot.,120606,,true,false,false,Anthony,,Barber,,NCSU,,8,9,1,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,16,16,
1,15,32,Caleb White makes a jump shot.,121205,,true,false,false,Caleb,,White,,ECU,,8,11,1,0,1,,,,,5,2,45,Jump Shot,3,Field Goal Made,,,,118,118,
1,15,05,T.J. Warren misses a 3-point jump shot.,116007,,true,false,false,T.J.,,Warren,,NCSU,,8,11,1,0,0,,,,,6,3,45,Jump Shot,4,Field Goal Missed,,,,16,16,
1,14,58,Caleb White misses a jump shot.,121205,,true,false,false,Caleb,,White,,ECU,,8,11,1,0,1,,,,,5,2,45,Jump Shot,4,Field Goal Missed,,,,118,118,
1,14,56,Shooting foul committed by Lennard Freeman.,120604,,true,false,false,Lennard,,Freeman,,NCSU,,8,11,1,1,1,,,,,0,,2,Shooting,8,Foul,,,,16,16,
1,14,56,Official TV timeout.,,,false,false,false,,,,,,,8,11,1,1,0,,,,,0,,3,Official TV,11,Timeout,,,,16,16,
1,14,56,Michael Zangari makes free throw 1 of 2.,116761,,true,false,false,Michael,,Zangari,,ECU,,8,12,1,1,0,,,,,3,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,118,118,
1,14,56,Michael Zangari makes free throw 2 of 2.,116761,,true,false,false,Michael,,Zangari,,ECU,,8,13,1,1,0,,,,,4,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,118,118,
1,14,23,Akeem Richmond makes a jump shot.,88648,,true,false,false,Akeem,,Richmond,,ECU,,8,15,1,1,0,,,,,4,2,45,Jump Shot,3,Field Goal Made,,,,118,118,
1,13,56,Kyle Washington misses a jump shot.,120608,,true,false,false,Kyle,,Washington,,NCSU,,8,15,1,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,16,16,
1,13,54,Jordan Vandenberg misses a tip shot.,88227,,true,false,false,Jordan,,Vandenberg,,NCSU,,8,15,1,1,0,,,,,0,2,53,Tip Shot,4,Field Goal Missed,,,,16,16,
1,13,41,Prince Williams makes a layup shot.,116760,,true,false,false,Prince,,Williams,,ECU,,8,17,1,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,118,118,
1,13,29,T.J. Warren makes a jump shot.,116007,,true,false,false,T.J.,,Warren,,NCSU,,10,17,1,1,0,,,,,8,2,45,Jump Shot,3,Field Goal Made,,,,16,16,
1,13,15,Ralston Turner makes a layup shot.,97046,,true,false,false,Ralston,,Turner,,NCSU,,12,17,1,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,16,16,
1,13,02,Caleb White makes a layup shot.,121205,,true,false,false,Caleb,,White,,ECU,,12,19,1,1,1,,,,,7,2,40,Layup Shot,3,Field Goal Made,,,,118,118,
1,12,49,T.J. Warren makes a layup shot.,116007,,true,false,false,T.J.,,Warren,,NCSU,,14,19,1,1,0,,,,,10,2,40,Layup Shot,3,Field Goal Made,,,,16,16,
1,12,48,ECU take a 20-second timeout.,,,false,false,false,,,,,,,14,19,1,1,0,,,,,0,,2,Short,11,Timeout,,,,118,118,
1,12,34,Brandan Stith misses a layup shot.,121207,,true,false,false,Brandan,,Stith,,ECU,,14,19,1,1,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,118,118,
1,12,28,Shooting foul committed by Brandan Stith.,121207,,true,false,false,Brandan,,Stith,,ECU,,14,19,2,1,1,,,,,0,,2,Shooting,8,Foul,,,,118,118,
1,12,28,T.J. Warren misses free throw 1 of 2.,116007,,true,false,false,T.J.,,Warren,,NCSU,,14,19,2,1,0,,,,,10,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,16,16,
1,12,28,T.J. Warren makes free throw 2 of 2.,116007,,true,false,false,T.J.,,Warren,,NCSU,,15,19,2,1,0,,,,,11,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,16,16,
1,12,10,Paris Roberts-Campbell misses a layup shot.,110371,,true,false,false,Paris,,Roberts-Campbell,,ECU,,15,19,2,1,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,118,118,
1,11,54,T.J. Warren makes a dunk shot.,116007,,true,false,false,T.J.,,Warren,,NCSU,,17,19,2,1,0,,,,,13,2,48,Dunk Shot,3,Field Goal Made,,,,16,16,
1,11,41,Akeem Richmond makes a layup shot.,88648,,true,false,false,Akeem,,Richmond,,ECU,,17,21,2,1,0,,,,,6,2,40,Layup Shot,3,Field Goal Made,,,,118,118,
1,11,19,T.J. Warren misses a 3-point jump shot.,116007,,true,false,false,T.J.,,Warren,,NCSU,,17,21,2,1,0,,,,,13,3,45,Jump Shot,4,Field Goal Missed,,,,16,16,
1,11,12,Prince Williams makes a jump shot.,116760,,true,false,false,Prince,,Williams,,ECU,,17,23,2,1,0,,,,,4,2,45,Jump Shot,3,Field Goal Made,,,,118,118,
1,10,57,Tyler Lewis misses a 3-point jump shot.,116006,,true,false,false,Tyler,,Lewis,,NCSU,,17,23,2,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,16,16,
1,10,48,Brandan Stith makes a layup shot.,121207,,true,false,false,Brandan,,Stith,,ECU,,17,25,2,1,1,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,118,118,
1,10,35,Jordan Vandenberg makes a dunk shot.,88227,,true,false,false,Jordan,,Vandenberg,,NCSU,,19,25,2,1,0,,,,,2,2,48,Dunk Shot,3,Field Goal Made,,,,16,16,
1,10,25,Caleb White makes a 3-point jump shot.,121205,,true,false,false,Caleb,,White,,ECU,,19,28,2,1,1,,,,,10,3,45,Jump Shot,3,Field Goal Made,,,,118,118,
1,10,13,Personal foul committed by Caleb White.,121205,,true,false,false,Caleb,,White,,ECU,,19,28,3,1,2,,,,,10,,1,Personal,8,Foul,,,,118,118,
1,10,13,Official TV timeout.,,,false,false,false,,,,,,,19,28,3,1,0,,,,,0,,3,Official TV,11,Timeout,,,,16,16,
1,9,51,T.J. Warren misses a jump shot.,116007,,true,false,false,T.J.,,Warren,,NCSU,,19,28,3,1,0,,,,,13,2,45,Jump Shot,4,Field Goal Missed,,,,16,16,
1,9,41,Paris Roberts-Campbell misses a 3-point jump shot.,110371,,true,false,false,Paris,,Roberts-Campbell,,ECU,,19,28,3,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,118,118,
1,9,34,Anthony Barber makes a layup shot.,120606,,true,false,false,Anthony,,Barber,,NCSU,,21,28,3,1,0,,,,,4,2,40,Layup Shot,3,Field Goal Made,,,,16,16,
1,9,13,Prince Williams makes a jump shot.,116760,,true,false,false,Prince,,Williams,,ECU,,21,30,3,1,0,,,,,6,2,45,Jump Shot,3,Field Goal Made,,,,118,118,
1,8,49,T.J. Warren makes a layup shot.,116007,,true,false,false,T.J.,,Warren,,NCSU,,23,30,3,1,0,,,,,15,2,40,Layup Shot,3,Field Goal Made,,,,16,16,
1,8,30,Antonio Robinson misses a jump shot.,121206,,true,false,false,Antonio,,Robinson,,ECU,,23,30,3,1,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,,,,118,118,
1,8,02,Anthony Barber misses a jump shot.,120606,,true,false,false,Anthony,,Barber,,NCSU,,23,30,3,1,0,,,,,4,2,45,Jump Shot,4,Field Goal Missed,,,,16,16,
1,7,58,T.J. Warren makes a layup shot.,116007,,true,false,false,T.J.,,Warren,,NCSU,,25,30,3,1,0,,,,,17,2,40,Layup Shot,3,Field Goal Made,,,,16,16,
1,7,28,Brandan Stith makes a dunk shot.,121207,,true,false,false,Brandan,,Stith,,ECU,,25,32,3,1,1,,,,,4,2,48,Dunk Shot,3,Field Goal Made,,,,118,118,
1,7,03,Beejay Anya makes a dunk shot.,120605,,true,false,false,Beejay,,Anya,,NCSU,,27,32,3,1,0,,,,,2,2,48,Dunk Shot,3,Field Goal Made,,,,16,16,
1,6,36,Paris Roberts-Campbell makes a 3-point jump shot.,110371,,true,false,false,Paris,,Roberts-Campbell,,ECU,,27,35,3,1,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,118,118,
