half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,79,79,
1,19,43,Amir Williams misses a hook shot from 6 feet out.,110165,,true,false,false,Amir,,Williams,,OhioSt,,0,0,0,0,0,,,,,0,2,55,Hook Shot,4,Field Goal Missed,6,1.6,6,79,79,
1,19,43,Pat Connaughton with a defensive rebound.,109491,,true,false,false,Pat,,Connaughton,,ND,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,46,46,
1,19,30,Demetrius Jackson with a lost ball turnover: Lost Ball,120755,,true,false,false,Demetrius,,Jackson,,ND,,0,0,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,46,46,
1,19,20,Amir Williams makes a layup shot. Shannon Scott with the assist.,110165,110162,true,true,false,Amir,Shannon,Williams,Scott,OhioSt,OhioSt,2,0,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,79,79,
1,19,07,Garrick Sherman misses a layup shot.,88941,,true,false,false,Garrick,,Sherman,,ND,,2,0,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,46,46,
1,19,07,Amir Williams with a defensive rebound.,110165,,true,false,false,Amir,,Williams,,OhioSt,,2,0,0,0,0,,,,,2,,,,6,Defensive Rebound,,,,79,79,
1,19,02,Personal foul committed by Eric Atkins.,97478,,true,false,false,Eric,,Atkins,,ND,,2,0,1,0,1,,,,,0,,1,Personal,8,Foul,,,,46,46,
1,18,57,Lenzelle Smith Jr. with a lost ball turnover: Lost Ball,97510,,true,false,false,Lenzelle,,Smith Jr.,,OhioSt,,2,0,1,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,79,79,
1,18,51,Jerian Grant with a lost ball turnover: Lost Ball,97480,,true,false,false,Jerian,,Grant,,ND,,2,0,1,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,46,46,
1,18,38,Shannon Scott misses a 3-point jump shot from 24 feet out.,110162,,true,false,false,Shannon,,Scott,,OhioSt,,2,0,1,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,-20.7,11.8,79,79,
1,18,38,Pat Connaughton with a defensive rebound.,109491,,true,false,false,Pat,,Connaughton,,ND,,2,0,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,46,46,
1,18,09,Garrick Sherman makes a layup shot.,88941,,true,false,false,Garrick,,Sherman,,ND,,2,2,1,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,46,46,
1,17,51,Shooting foul committed by Garrick Sherman.,88941,,true,false,false,Garrick,,Sherman,,ND,,2,2,2,0,1,,,,,2,,2,Shooting,8,Foul,,,,46,46,
1,17,51,Amir Williams misses free throw 1 of 2.,110165,,true,false,false,Amir,,Williams,,OhioSt,,2,2,2,0,0,,,,,2,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,79,79,
1,17,51,OhioSt with an offensive rebound.,,,false,false,false,,,,,,,2,2,2,0,0,,,,,0,,,,5,Offensive Rebound,,,,79,79,
1,17,51,Amir Williams makes free throw 2 of 2.,110165,,true,false,false,Amir,,Williams,,OhioSt,,3,2,2,0,0,,,,,3,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,79,79,
1,17,29,Demetrius Jackson misses a 3-point jump shot from 22 feet out.,120755,,true,false,false,Demetrius,,Jackson,,ND,,3,2,2,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,22,-22.4,1.8,46,46,
1,17,29,Amir Williams with a defensive rebound.,110165,,true,false,false,Amir,,Williams,,OhioSt,,3,2,2,0,0,,,,,3,,,,6,Defensive Rebound,,,,79,79,
1,17,23,LaQuinton Ross with a traveling turnover: Traveling,110161,,true,false,false,LaQuinton,,Ross,,OhioSt,,3,2,2,0,0,,,,,0,,4,Traveling,7,Turnover,,,,79,79,
1,17,08,Jerian Grant misses a jump shot from 16 feet out.,97480,,true,false,false,Jerian,,Grant,,ND,,3,2,2,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,16,12.8,9.3,46,46,
1,17,08,LaQuinton Ross with a defensive rebound.,110161,,true,false,false,LaQuinton,,Ross,,OhioSt,,3,2,2,0,0,,,,,0,,,,6,Defensive Rebound,,,,79,79,
1,16,54,Amir Williams makes a dunk shot. LaQuinton Ross with the assist.,110165,110161,true,true,false,Amir,LaQuinton,Williams,Ross,OhioSt,OhioSt,5,2,2,0,0,,,,,5,2,48,Dunk Shot,3,Field Goal Made,0,0,0,79,79,
1,16,29,Pat Connaughton misses a 3-point jump shot from 23 feet out.,109491,,true,false,false,Pat,,Connaughton,,ND,,5,2,2,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-17.8,14.5,46,46,
1,16,29,ND with an offensive rebound.,,,false,false,false,,,,,,,5,2,2,0,0,,,,,0,,,,5,Offensive Rebound,,,,46,46,
1,16,26,Garrick Sherman makes a layup shot. Jerian Grant with the assist.,88941,97480,true,true,false,Garrick,Jerian,Sherman,Grant,ND,ND,5,4,2,0,1,,,,,4,2,40,Layup Shot,3,Field Goal Made,0,0,0,46,46,
1,16,12,Personal foul committed by Jerian Grant.,97480,,true,false,false,Jerian,,Grant,,ND,,5,4,3,0,1,,,,,0,,1,Personal,8,Foul,,,,46,46,
1,15,42,Aaron Craft misses a jump shot from 16 feet out.,97508,,true,false,false,Aaron,,Craft,,OhioSt,,5,4,3,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,16,14,7.7,79,79,
1,15,42,ND with a defensive rebound.,,,false,false,false,,,,,,,5,4,3,0,0,,,,,0,,,,6,Defensive Rebound,,,,46,46,
1,15,42,Official TV timeout.,,,false,false,false,,,,,,,5,4,3,0,0,,,,,0,,3,Official TV,11,Timeout,,,,79,79,
1,15,23,Garrick Sherman misses a hook shot from 7 feet out.,88941,,true,false,false,Garrick,,Sherman,,ND,,5,4,3,0,1,,,,,4,2,55,Hook Shot,4,Field Goal Missed,7,.8,7.2,46,46,
1,15,23,Shannon Scott with a defensive rebound.,110162,,true,false,false,Shannon,,Scott,,OhioSt,,5,4,3,0,0,,,,,0,,,,6,Defensive Rebound,,,,79,79,
1,15,12,Shannon Scott makes a 3-point jump shot from 23 feet out. Aaron Craft with the assist.,110162,97508,true,true,false,Shannon,Aaron,Scott,Craft,OhioSt,OhioSt,8,4,3,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,17.3,14.5,79,79,
1,14,51,Garrick Sherman misses a hook shot from 8 feet out.,88941,,true,false,false,Garrick,,Sherman,,ND,,8,4,3,0,1,,,,,4,2,55,Hook Shot,4,Field Goal Missed,8,-2.1,7.2,46,46,
1,14,51,LaQuinton Ross with a defensive rebound.,110161,,true,false,false,LaQuinton,,Ross,,OhioSt,,8,4,3,0,0,,,,,0,,,,6,Defensive Rebound,,,,79,79,
1,14,42,Amir Williams with a lost ball turnover: Lost Ball,110165,,true,false,false,Amir,,Williams,,OhioSt,,8,4,3,0,0,,,,,5,,2,Lost Ball,7,Turnover,,,,79,79,
1,14,23,Zach Auguste misses a jump shot from 18 feet out.,116591,,true,false,false,Zach,,Auguste,,ND,,8,4,3,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,18,-5.9,16.9,46,46,
